city,country,admin_name
Hengyang,China,Hunan
Khartoum,Sudan,Khartoum
Nantong,China,Jiangsu
Yancheng,China,Jiangsu
Nanning,China,Guangxi
Xi’an,China,Shaanxi
Shenyang,China,Liaoning
Tangshan,China,Hebei
Santiago,Chile,Región Metropolitana
Zhengzhou,China,Henan
Shangqiu,China,Henan
Yantai,China,Shandong
Riyadh,Saudi Arabia,Ar Riyāḑ
Dar es Salaam,Tanzania,Dar es Salaam
Xinyang,China,Henan
Shangrao,China,Jiangxi
Luoyang,China,Henan
Bijie,China,Guizhou
Quanzhou,China,Fujian
Hangzhou,China,Zhejiang
Miami,United States,Florida
Huanggang,China,Hubei
Maoming,China,Guangdong
Kunming,China,Yunnan
Nanchong,China,Sichuan
Zunyi,China,Guizhou
Jieyang,China,Guangdong
Lu’an,China,Anhui
Yichun,China,Jiangxi
Madrid,Spain,Madrid
Changde,China,Hunan
Taizhou,China,Zhejiang
Liaocheng,China,Shandong
Qujing,China,Yunnan
Sūrat,India,Gujarāt
Baghdad,Iraq,Baghdād
Qingdao,China,Shandong
Singapore,Singapore,Central Singapore
Dallas,United States,Texas
Dazhou,China,Sichuan
Suzhou,China,Anhui
Xiangyang,China,Hubei
Philadelphia,United States,Pennsylvania
Giza,Egypt,Al Jīzah
Nairobi,Kenya,Nairobi City
Nangandao,China,Henan
Ankara,Turkey,Ankara
Tai’an,China,Shandong
Yulin,China,Guangxi
Dezhou,China,Shandong
Houston,United States,Texas
Atlanta,United States,Georgia
Yongzhou,China,Hunan
Rangoon,Myanmar,Yangon
Toronto,Canada,Ontario
Suihua,China,Heilongjiang
Washington,United States,District of Columbia
Qiqihar,China,Heilongjiang
Jinhua,China,Zhejiang
Saint Petersburg,Russia,Sankt-Peterburg
Shantou,China,Guangdong
Sydney,Australia,New South Wales
Weinan,China,Shaanxi
Suqian,China,Jiangsu
Guadalajara,Mexico,Jalisco
Suzhou,China,Jiangsu
Fuzhou,China,Fujian
Zhaotong,China,Yunnan
Pudong,China,Shanghai
Belo Horizonte,Brazil,Minas Gerais
Zhangzhou,China,Fujian
Bozhou,China,Anhui
Melbourne,Australia,Victoria
Nanchang,China,Jiangxi
Xianyang,China,Shaanxi
Taizhou,China,Jiangsu
Surabaya,Indonesia,Jawa Timur
Abidjan,Côte D’Ivoire,Abidjan
Huaihua,China,Hunan
Ji’an,China,Jiangxi
Mianyang,China,Sichuan
Xiaoganzhan,China,Hubei
Shaoxing,China,Zhejiang
Alexandria,Egypt,Al Iskandarīyah
Yuncheng,China,Shanxi
Pingdingshan,China,Henan
Huizhou,China,Guangdong
Huai’an,China,Jiangsu
Xinpu,China,Jiangsu
Chenzhou,China,Hunan
Guilin,China,Guangxi
Jiujiang,China,Jiangxi
Anqing,China,Anhui
Boston,United States,Massachusetts
Huanglongsi,China,Henan
Jiangmen,China,Guangdong
Changzhou,China,Jiangsu
Barcelona,Spain,Catalonia
Wuxi,China,Jiangsu
Zibo,China,Shandong
Jiaxing,China,Zhejiang
Dalian,China,Liaoning
Hengshui,China,Hebei
Harbin,China,Heilongjiang
Yangzhou,China,Jiangsu
Yibin,China,Sichuan
Johannesburg,South Africa,Gauteng
Yiyang,China,Hunan
Meizhou,China,Guangdong
Chifeng,China,Inner Mongolia
Casablanca,Morocco,Casablanca-Settat
Guiyang,China,Guizhou
Langfang,China,Hebei
Zhangjiakou,China,Hebei
İzmir,Turkey,İzmir
Linfen,China,Shanxi
Wenzhou,China,Zhejiang
Monterrey,Mexico,Nuevo León
Luzhou,China,Sichuan
Jiangguanchi,China,Henan
Neijiang,China,Sichuan
Phoenix,United States,Arizona
Yanjiang,China,Sichuan
Zhaoqing,China,Guangdong
Xiaoxita,China,Hubei
Guigang,China,Guangxi
Xiamen,China,Fujian
Chuzhou,China,Anhui
Fuzhou,China,Jiangxi
Zhuzhou,China,Hunan
Amman,Jordan,Al ‘Āşimah
Jeddah,Saudi Arabia,Makkah al Mukarramah
Loudi,China,Hunan
Deyang,China,Sichuan
Qingyuan,China,Guangdong
Wuhu,China,Anhui
Hechi,China,Guangxi
Seattle,United States,Washington
Binzhou,China,Shandong
Yokohama,Japan,Kanagawa
Liuzhou,China,Guangxi
Baojishi,China,Shaanxi
Guang’an,China,Sichuan
Hanzhong,China,Shaanxi
Kabul,Afghanistan,Kābul
Zaozhuang,China,Shandong
Berlin,Germany,Berlin
Anshan,China,Liaoning
Lanzhou,China,Gansu
Chengde,China,Hebei
San Francisco,United States,California
Puyang,China,Henan
Suining,China,Sichuan
Jiaozuo,China,Henan
Bengbu,China,Anhui
Montréal,Canada,Quebec
Detroit,United States,Michigan
Baicheng,China,Guangxi
Busan,"Korea, South",Busan
Algiers,Algeria,Alger
Qincheng,China,Gansu
Taiyuan,China,Shanxi
Shiyan,China,Hubei
Lucknow,India,Uttar Pradesh
Chaoyang,China,Liaoning
Hechi,China,Guangxi
Leshan,China,Sichuan
Yulinshi,China,Shaanxi
Siping,China,Jilin
Zhongshan,China,Guangdong
Changzhi,China,Shanxi
San Diego,United States,California
Faisalabad,Pakistan,Punjab
Santa Cruz,Bolivia,Santa Cruz
Qinhuangdao,China,Hebei
Bazhou,China,Sichuan
Zhenjiang,China,Jiangsu
Ürümqi,China,Xinjiang
Tongliao,China,Inner Mongolia
Heyuan,China,Guangdong
Tongren,China,Guizhou
Qinzhou,China,Guangxi
Jaipur,India,Rājasthān
Xinzhou,China,Shanxi
Addis Ababa,Ethiopia,Ādīs Ābeba
Meishan,China,Sichuan
Brasília,Brazil,Distrito Federal
Mashhad,Iran,Khorāsān-e Raẕavī
Jinzhou,China,Liaoning
Tieling,China,Liaoning
Shaoguan,China,Guangdong
Kuwait City,Kuwait,Al ‘Āşimah
Shanwei,China,Guangdong
Minneapolis,United States,Minnesota
Kyiv,Ukraine,"Kyyiv, Misto"
Sanaa,Yemen,Amānat al ‘Āşimah
Quezon City,Philippines,Quezon
Dingxi,China,Gansu
Incheon,"Korea, South",Incheon
Bursa,Turkey,Bursa
Ningde,China,Fujian
Tampa,United States,Florida
Daqing,China,Heilongjiang
Birmingham,United Kingdom,Birmingham
Putian,China,Fujian
Huzhou,China,Zhejiang
Salvador,Brazil,Bahia
Wuzhou,China,Guangxi
Xiangtan,China,Hunan
Denver,United States,Colorado
Rome,Italy,Lazio
La Paz,Bolivia,La Paz
Pyongyang,"Korea, North",P’yŏngyang
Kano,Nigeria,Kano
Taichung,Taiwan,Taichung
Omdurman,Sudan,Khartoum
Zigong,China,Sichuan
Mudanjiang,China,Heilongjiang
Huludao,China,Liaoning
Kaohsiung,Taiwan,Kaohsiung
Guayaquil,Ecuador,Guayas
Rizhao,China,Shandong
Manchester,United Kingdom,Manchester
Cawnpore,India,Uttar Pradesh
Baotou,China,Inner Mongolia
Taipei,Taiwan,Taipei
Nanping,China,Fujian
Chaozhou,China,Guangdong
Longyan,China,Fujian
Ibadan,Nigeria,Oyo
Hohhot,China,Inner Mongolia
Antananarivo,Madagascar,Antananarivo
Longba,China,Gansu
Weihai,China,Shandong
Chattogram,Bangladesh,Chittagong
Santo Domingo,Dominican Republic,Ozama
Xuanzhou,China,Anhui
Sanming,China,Fujian
Brooklyn,United States,New York
Yangjiang,China,Guangdong
Medellín,Colombia,Antioquia
Yunfu,China,Guangdong
Brisbane,Australia,Queensland
Baoshan,China,Yunnan
Dubai,United Arab Emirates,Dubayy
Luohe,China,Henan
Qinbaling,China,Gansu
Mirzāpur,India,Uttar Pradesh
Guangyuan,China,Sichuan
Cali,Colombia,Valle del Cauca
Huangshi,China,Hubei
Daegu,"Korea, South",Daegu
Fortaleza,Brazil,Ceará
Guatemala City,Guatemala,Guatemala
Yaoundé,Cameroon,Centre
Douala,Cameroon,Littoral
Jilin,China,Jilin
Lianshan,China,Liaoning
Lincang,China,Yunnan
Antalya,Turkey,Antalya
Tashkent,Uzbekistan,Toshkent
Bandung,Indonesia,Jawa Barat
Nāgpur,India,Mahārāshtra
Huainan,China,Anhui
Dandong,China,Liaoning
Shangzhou,China,Shaanxi
Bekasi,Indonesia,Jawa Barat
Ghāziābād,India,Uttar Pradesh
Tijuana,Mexico,Baja California
Jiamusi,China,Heilongjiang
Accra,Ghana,Greater Accra
Yuxi,China,Yunnan
Anshun,China,Guizhou
Vancouver,Canada,British Columbia
Tangerang,Indonesia,Jawa Barat
Konya,Turkey,Konya
Queens,United States,New York
Yingkou,China,Liaoning
Adana,Turkey,Adana
Medan,Indonesia,Sumatera Utara
Sanmenxia,China,Henan
Indore,India,Madhya Pradesh
Ma’anshan,China,Anhui
Pingliang,China,Gansu
Quzhou,China,Zhejiang
Baku,Azerbaijan,Bakı
Gaoping,China,Sichuan
Huaibei,China,Anhui
Xining,China,Qinghai
Harare,Zimbabwe,Harare
Yan’an,China,Shaanxi
Havana,Cuba,La Habana
Phnom Penh,Cambodia,Phnom Penh
Fukuoka,Japan,Fukuoka
Mogadishu,Somalia,Banaadir
Jincheng,China,Shanxi
Puning,China,Guangdong
Lishui,China,Zhejiang
Qingyang,China,Fujian
Riverside,United States,California
Baltimore,United States,Maryland
Haiphong,Vietnam,Hải Phòng
Las Vegas,United States,Nevada
Laibin,China,Guangxi
Rawalpindi,Pakistan,Punjab
Kumasi,Ghana,Ashanti
Portland,United States,Oregon
Vadodara,India,Gujarāt
Perth,Australia,Western Australia
San Antonio,United States,Texas
Vishākhapatnam,India,Andhra Pradesh
Gujranwala,Pakistan,Punjab
Gaziantep,Turkey,Gaziantep
Fushun,China,Liaoning
St. Louis,United States,Missouri
Bamako,Mali,Bamako
Quito,Ecuador,Pichincha
Minsk,Belarus,Minsk
Pingxiang,China,Jiangxi
Chongzuo,China,Guangxi
Şanlıurfa,Turkey,Şanlıurfa
Kananga,Congo (Kinshasa),Kasaï Central
Peshawar,Pakistan,Khyber Pakhtunkhwa
Sapporo,Japan,Hokkaidō
Hezhou,China,Guangxi
Jixi,China,Heilongjiang
Caracas,Venezuela,Distrito Capital
Fuxin,China,Liaoning
Aleppo,Syria,Ḩalab
Almaty,Kazakhstan,Almaty
Dayr az Zawr,Syria,Dayr az Zawr
Vienna,Austria,Wien
Leeds,United Kingdom,Leeds
Sacramento,United States,California
Blantyre,Malawi,Blantyre
Tainan,Taiwan,Tainan
Zhuhai,China,Guangdong
Bucharest,Romania,Bucureşti
Wuwei,China,Gansu
Bhopāl,India,Madhya Pradesh
Curitiba,Brazil,Paraná
Multan,Pakistan,Punjab
Xiping,China,Shanxi
Asunción,Paraguay,Asunción
Saidu Sharif,Pakistan,Khyber Pakhtunkhwa
Hamburg,Germany,Hamburg
Meru,Kenya,Meru
Brazzaville,Congo (Brazzaville),Brazzaville
Orlando,United States,Florida
Mersin,Turkey,Mersin
Kyōto,Japan,Kyōto
Manaus,Brazil,Amazonas
Liaoyang,China,Liaoning
Baiyin,China,Gansu
San Jose,United States,California
Warsaw,Poland,Mazowieckie
Shengli,China,Shandong
Lubumbashi,Congo (Kinshasa),Haut-Katanga
Haikou,China,Hainan
Damascus,Syria,Dimashq
Shuyangzha,China,Jiangsu
Brussels,Belgium,Brussels-Capital Region
Eşfahān,Iran,Eşfahān
Budapest,Hungary,Budapest
Heihe,China,Heilongjiang
Lusaka,Zambia,Lusaka
Hyderabad City,Pakistan,Sindh
Diyarbakır,Turkey,Diyarbakır
Chinchvad,India,Mahārāshtra
Shuozhou,China,Shanxi
Cleveland,United States,Ohio
Pittsburgh,United States,Pennsylvania
Patna,India,Bihār
Mosul,Iraq,Nīnawá
Austin,United States,Texas
Sanzhou,China,Chongqing
Mecca,Saudi Arabia,Makkah al Mukarramah
Conakry,Guinea,Conakry
Kampala,Uganda,Kampala
Ecatepec,Mexico,México
Cincinnati,United States,Ohio
Makassar,Indonesia,Sulawesi Selatan
Yushan,China,Jiangsu
Ludhiāna,India,Punjab
Newcastle,United Kingdom,Newcastle upon Tyne
Depok,Indonesia,Jawa Barat
Zhongli,Taiwan,Taoyuan
Kansas City,United States,Missouri
Ouagadougou,Burkina Faso,Centre
Davao,Philippines,Davao
Manhattan,United States,New York
Semarang,Indonesia,Jawa Tengah
Yinchuan,China,Ningxia
Caloocan City,Philippines,Caloocan
Novosibirsk,Russia,Novosibirskaya Oblast’
Chengtangcun,China,Shandong
Āgra,India,Uttar Pradesh
Karaj,Iran,Alborz
Indianapolis,United States,Indiana
Jingdezhen,China,Jiangxi
Puebla,Mexico,Puebla
Kalyān,India,Mahārāshtra
Madurai,India,Tamil Nādu
Benxi,China,Liaoning
Jamshedpur,India,Jharkhand
Recife,Brazil,Pernambuco
Columbus,United States,Ohio
Tabrīz,Iran,Āz̄arbāyjān-e Sharqī
Maracaibo,Venezuela,Zulia
Zhangjiajie,China,Hunan
Beihai,China,Guangxi
Shuangyashan,China,Heilongjiang
Kōbe,Japan,Hyōgo
Charlotte,United States,North Carolina
Yucheng,China,Sichuan
Changshu,China,Jiangsu
Lianjiang,China,Guangdong
Ximeicun,China,Fujian
Jianguang,China,Jiangxi
Madīnat as Sādis min Uktūbar,Egypt,Al Jīzah
Xushan,China,Zhejiang
Belém,Brazil,Pará
Guiping,China,Guangxi
Leizhou,China,Guangdong
Gwangju,"Korea, South",Gwangju
Nāsik,India,Mahārāshtra
Porto Alegre,Brazil,Rio Grande do Sul
Valencia,Venezuela,Carabobo
Onitsha,Nigeria,Anambra
Virginia Beach,United States,Virginia
Daejeon,"Korea, South",Daejeon
Munich,Germany,Bavaria
Auckland,New Zealand,Auckland
Yekaterinburg,Russia,Sverdlovskaya Oblast’
Huangshan,China,Anhui
Huazhou,China,Henan
Shīrāz,Iran,Fārs
Pizhou,China,Jiangsu
Palembang,Indonesia,Sumatera Selatan
León de los Aldama,Mexico,Guanajuato
El Kelaa des Srarhna,Morocco,Marrakech-Safi
Kharkiv,Ukraine,Kharkivs’ka Oblast’
Kawanakajima,Japan,Kanagawa
Yangshe,China,Jiangsu
Chizhou,China,Anhui
Guyuan,China,Ningxia
Rui’an,China,Zhejiang
Birstall,United Kingdom,Leicester
Muscat,Oman,Masqaţ
Hebi,China,Henan
Bronx,United States,New York
Gaozhou,China,Guangdong
The Hague,Netherlands,Zuid-Holland
Owerri,Nigeria,Imo
Sharjah,United Arab Emirates,Ash Shāriqah
Farīdābād,India,Haryāna
Ulaanbaatar,Mongolia,Ulaanbaatar
Goiânia,Brazil,Goiás
Kayseri,Turkey,Kayseri
Yueqing,China,Zhejiang
Belgrade,Serbia,Beograd
Pingdu,China,Shandong
Milan,Italy,Lombardy
Aurangābād,India,Mahārāshtra
Yutan,China,Hunan
Wenling,China,Zhejiang
Milwaukee,United States,Wisconsin
Sofia,Bulgaria,Sofia-Grad
Adelaide,Australia,South Australia
Prague,Czechia,"Praha, Hlavní Město"
Samsun,Turkey,Samsun
Rājkot,India,Gujarāt
Liangshi,China,Hunan
Khulna,Bangladesh,Khulna
Córdoba,Argentina,Córdoba
Guarulhos,Brazil,São Paulo
Juárez,Mexico,Chihuahua
Saitama,Japan,Saitama
Montevideo,Uruguay,Montevideo
Mbuji-Mayi,Congo (Kinshasa),Kasaï Oriental
Fuqing,China,Fujian
Xintai,China,Shandong
Doha,Qatar,Ad Dawḩah
Hiroshima,Japan,Hiroshima
Meerut,India,Uttar Pradesh
Yushu,China,Jilin
Rongcheng,China,Yunnan
Huazhou,China,Guangdong
Yangquan,China,Shanxi
Haicheng,China,Liaoning
Yingtan,China,Jiangxi
Huaiyin,China,Jiangsu
Wuzhong,China,Ningxia
Barranquilla,Colombia,Atlántico
Jabalpur,India,Madhya Pradesh
Thāne,India,Mahārāshtra
Zhangye,China,Gansu
Rucheng,China,Jiangsu
Nizhniy Novgorod,Russia,Nizhegorodskaya Oblast’
Comayagüela,Honduras,Francisco Morazán
Shaoyang,China,Jiangsu
Dhanbād,India,Jharkhand
Yichun,China,Heilongjiang
Laiwu,China,Shandong
Jingling,China,Hubei
Kazan,Russia,Tatarstan
Dayan,China,Yunnan
Suwon,"Korea, South",Gyeonggi
Jiangyin,China,Jiangsu
Yongcheng,China,Henan
Calgary,Canada,Alberta
Cần Thơ,Vietnam,Cần Thơ
Abuja,Nigeria,Federal Capital Territory
Yiwu,China,Zhejiang
Mandalay,Myanmar,Mandalay
Beidao,China,Gansu
Al Başrah,Iraq,Al Başrah
Shuangshui,China,Guizhou
Vila Velha,Brazil,Amapá
Allahābād,India,Uttar Pradesh
Vārānasi,India,Uttar Pradesh
Chelyabinsk,Russia,Chelyabinskaya Oblast’
Mombasa,Kenya,Mombasa
Providence,United States,Rhode Island
Qom,Iran,Qom
Maiduguri,Nigeria,Borno
Maputo,Mozambique,Maputo
Rosario,Argentina,Santa Fe
Benin City,Nigeria,Edo
Xinyu,China,Jiangxi
Pikine,Senegal,Dakar
Ahvāz,Iran,Khūzestān
Dublin,Ireland,Dublin
Jacksonville,United States,Florida
Medina,Saudi Arabia,Al Madīnah al Munawwarah
Srīnagar,India,Jammu and Kashmīr
Omsk,Russia,Omskaya Oblast’
Cilacap,Indonesia,Jawa Tengah
Bandar Lampung,Indonesia,Lampung
Samara,Russia,Samarskaya Oblast’
Guankou,China,Hunan
Ulsan,"Korea, South",Ulsan
Dingzhou,China,Hebei
Campinas,Brazil,São Paulo
Lianyuan,China,Hunan
Rongcheng,China,Hubei
Kaiyuan,China,Henan
Nay Pyi Taw,Myanmar,Nay Pyi Taw
Dakar,Senegal,Dakar
Zhuji,China,Zhejiang
Kigali,Rwanda,Kigali
Zapopan,Mexico,Jalisco
Leiyang,China,Hunan
Santiago,Dominican Republic,Cibao Norte
Dadukou,China,Sichuan
Xiantao,China,Hubei
Amritsar,India,Punjab
Callao,Peru,Callao
Alīgarh,India,Uttar Pradesh
Yingchuan,China,Henan
Tegucigalpa,Honduras,Francisco Morazán
Ciudad Nezahualcóyotl,Mexico,México
Tripoli,Libya,Ţarābulus
Rostov,Russia,Rostovskaya Oblast’
Nezahualcóyotl,Mexico,México
Bhiwandi,India,Mahārāshtra
Zhoushan,China,Zhejiang
Tbilisi,Georgia,Tbilisi
Ufa,Russia,Bashkortostan
Fès,Morocco,Fès-Meknès
Sevilla,Spain,Andalusia
Mexicali,Mexico,Baja California
Biên Hòa,Vietnam,Đồng Nai
Gwalior,India,Madhya Pradesh
Ankang,China,Shaanxi
Ikare,Nigeria,Ondo
Huambo,Angola,Huambo
Hegang,China,Heilongjiang
Salt Lake City,United States,Utah
Bhilai,India,Chhattīsgarh
Yuyao,China,Zhejiang
N’Djamena,Chad,Ville de N’Djaména
Hanchuan,China,Hubei
Gongzhuling,China,Jilin
Irbid,Jordan,Irbid
Hāora,India,West Bengal
Cologne,Germany,North Rhine-Westphalia
Krasnoyarsk,Russia,Krasnoyarskiy Kray
Yicheng,China,Jiangsu
São Gonçalo,Brazil,Rio de Janeiro
Nashville,United States,Tennessee
Yerevan,Armenia,Yerevan
Rānchi,India,Jharkhand
Nur-Sultan,Kazakhstan,Astana
Nouakchott,Mauritania,
Vereeniging,South Africa,Gauteng
Richmond,United States,Virginia
São Luís,Brazil,Maranhão
San Pedro Sula,Honduras,Cortés
Taixing,China,Jiangsu
Memphis,United States,Tennessee
Goyang,"Korea, South",Gyeonggi
Bezwāda,India,Andhra Pradesh
Edmonton,Canada,Alberta
Mizhou,China,Shandong
Tunis,Tunisia,Tunis
Xishan,China,Hunan
Ezhou,China,Hubei
Barquisimeto,Venezuela,Lara
Sendai,Japan,Miyagi
Voronezh,Russia,Voronezhskaya Oblast’
Perm,Russia,Permskiy Kray
Changwon,"Korea, South",Gyeongnam
Zhongwei,China,Ningxia
Shouguang,China,Shandong
Bogor,Indonesia,Jawa Barat
Raleigh,United States,North Carolina
Cartagena,Colombia,Bolívar
Chandīgarh,India,Chandīgarh
Bishkek,Kyrgyzstan,Bishkek
Matola,Mozambique,Maputo
Ogbomoso,Nigeria,Oyo
Ashgabat,Turkmenistan,Ahal
Maceió,Brazil,Alagoas
Niamey,Niger,Niamey
Managua,Nicaragua,Managua
Patam,Indonesia,Kepulauan Riau
Tekirdağ,Turkey,Tekirdağ
Shubrā al Khaymah,Egypt,Al Qalyūbīyah
Linhai,China,Zhejiang
Monrovia,Liberia,Montserrado
Wafangdian,China,Liaoning
Zhongxiang,China,Hubei
Odesa,Ukraine,Odes’ka Oblast’
Shymkent,Kazakhstan,Ongtüstik Qazaqstan
New Orleans,United States,Louisiana
Thủ Đức,Vietnam,Hồ Chí Minh
Volgograd,Russia,Volgogradskaya Oblast’
Port-au-Prince,Haiti,Ouest
Islamabad,Pakistan,Islāmābād
Mysore,India,Karnātaka
Xinyi,China,Guangdong
Kathmandu,Nepal,Bāgmatī
Raipur,India,Chhattīsgarh
Nice,France,Provence-Alpes-Côte d’Azur
Arequipa,Peru,Arequipa
Port Harcourt,Nigeria,Rivers
Louisville,United States,Kentucky
Zaoyang,China,Hubei
Shuizhai,China,Henan
Dnipro,Ukraine,Dnipropetrovs’ka Oblast’
Kota,India,Rājasthān
Quetta,Pakistan,Balochistān
Abu Dhabi,United Arab Emirates,Abū Z̧aby
Stockholm,Sweden,Stockholm
Ottawa,Canada,Ontario
Asmara,Eritrea,Ma’ākel
Freetown,Sierra Leone,Western Area
Jerusalem,Israel,Southern
Bangui,Central African Republic,Bangui
Panama City,Panama,Panamá
Amsterdam,Netherlands,Noord-Holland
Lomé,Togo,Maritime
Libreville,Gabon,Estuaire
Zagreb,Croatia,"Zagreb, Grad"
Dushanbe,Tajikistan,Dushanbe
Lilongwe,Malawi,Lilongwe
Cotonou,Benin,Littoral
Vientiane,Laos,Viangchan
Colombo,Sri Lanka,Western
Pretoria,South Africa,Gauteng
Winnipeg,Canada,Manitoba
Quebec City,Canada,Quebec
Oslo,Norway,Oslo
Athens,Greece,Attikí
Bujumbura,Burundi,Bujumbura Mairie
Helsinki,Finland,Uusimaa
Skopje,Macedonia,Skopje
Chisinau,Moldova,Chişinău
Riga,Latvia,Rīga
Copenhagen,Denmark,Hovedstaden
Kingston,Jamaica,Kingston
Rabat,Morocco,Rabat-Salé-Kénitra
Vilnius,Lithuania,Vilniaus Miestas
San Salvador,El Salvador,San Salvador
Djibouti,Djibouti,Djibouti
Lisbon,Portugal,Lisboa
Kitchener,Canada,Ontario
Tallinn,Estonia,Harjumaa
Cape Town,South Africa,Western Cape
Bratislava,Slovakia,Bratislavský
Tirana,Albania,Tiranë
Canberra,Australia,Australian Capital Territory
Wellington,New Zealand,Wellington
Beirut,Lebanon,Beyrouth
Dodoma,Tanzania,Dodoma
Halifax,Canada,Nova Scotia
Bissau,Guinea-Bissau,Bissau
Juba,South Sudan,Central Equatoria
Port Moresby,Papua New Guinea,National Capital
Yamoussoukro,Côte D’Ivoire,Yamoussoukro
Victoria,Canada,British Columbia
Maseru,Lesotho,Maseru
Nicosia,Cyprus,Lefkosía
Windhoek,Namibia,Khomas
Porto-Novo,Benin,Ouémé
Sucre,Bolivia,Chuquisaca
San José,Costa Rica,San José
Ljubljana,Slovenia,Ljubljana
Sarajevo,Bosnia And Herzegovina,"Bosnia and Herzegovina, Federation of"
Nassau,"Bahamas, The",
Bloemfontein,South Africa,Free State
Fort-de-France,Martinique,
Gaborone,Botswana,Gaborone
Paramaribo,Suriname,Paramaribo
Dili,Timor-Leste,Díli
Pristina,Kosovo,Prishtinë
Georgetown,Guyana,Demerara-Mahaica
Malabo,Equatorial Guinea,Bioko Norte
Gibraltar,Gibraltar,
Saint-Denis,Reunion,
Male,Maldives,Maale
Podgorica,Montenegro,Podgorica
Manama,Bahrain,Al ‘Āşimah
Port Louis,Mauritius,Port Louis
Willemstad,Curaçao,
New Delhi,India,Delhi
Bern,Switzerland,Bern
Papeete,French Polynesia,Îles du Vent
Reykjavík,Iceland,
Praia,Cabo Verde,Praia
Luxembourg,Luxembourg,Luxembourg
Sri Jayewardenepura Kotte,Sri Lanka,Western
Bridgetown,Barbados,Saint Michael
Moroni,Comoros,Grande Comore
Thimphu,Bhutan,Thimphu
Mbabane,Swaziland,Hhohho
Nouméa,New Caledonia,Province Sud
Honiara,Solomon Islands,Honiara
Suva,Fiji,Rewa
Castries,Saint Lucia,Castries
Cayenne,French Guiana,
São Tomé,Sao Tome And Principe,São Tomé
Port-Vila,Vanuatu,Shefa
Hamilton,Bermuda,Hamilton
Bandar Seri Begawan,Brunei,Brunei and Muara
Monaco,Monaco,
Gitega,Burundi,Gitega
Port of Spain,Trinidad And Tobago,Port of Spain
Apia,Samoa,Tuamasaga
Douglas,Isle Of Man,
Oranjestad,Aruba,
Saint Helier,Jersey,
Vaduz,Liechtenstein,Vaduz
Banjul,"Gambia, The",Banjul
Mamoudzou,Mayotte,
Majuro,Marshall Islands,Majuro
Tarawa,Kiribati,
George Town,Cayman Islands,
Victoria,Seychelles,English River
Kingstown,Saint Vincent And The Grenadines,Saint George
Saint John’s,Antigua And Barbuda,Saint John
Nuku‘alofa,Tonga,Tongatapu
Andorra la Vella,Andorra,Andorra la Vella
Nuuk,Greenland,Sermersooq
Belmopan,Belize,Cayo
Roseau,Dominica,Saint George
Basseterre,Saint Kitts And Nevis,Saint George Basseterre
Tórshavn,Faroe Islands,
Pago Pago,American Samoa,
Valletta,Malta,Valletta
Gaza,Gaza Strip,
Grand Turk,Turks And Caicos Islands,
Palikir,"Micronesia, Federated States Of",Pohnpei
Funafuti,Tuvalu,Funafuti
Lobamba,Swaziland,Hhohho
Avarua,Cook Islands,
Saint George’s,Grenada,Saint George
San Marino,San Marino,San Marino Città
Al Quds,West Bank,
Capitol Hill,Northern Mariana Islands,
Basse-Terre,Guadeloupe,
