vendor_no,vendor_name,vendor_city,country,region,order_no,order_date,delivery_no,promised_date,delivery_date,days_variance,otd_ld
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1722,2021-04-14,18034906,2021-10-11,2021-09-11,30,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/3043,2021-06-10,17200132,2021-10-11,2021-09-11,30,"On-Time Delivery"
K02169,"Hans-Erich Gemmel & Co GmbH",Berlin,Germany,Germany,EB21/3001,2021-07-10,KP0064C037,2021-10-18,2021-10-17,-2,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2742,2021-10-09,05920408,2021-10-18,2021-10-17,-2,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2742,2021-10-09,05920406,2021-10-18,2021-10-17,-2,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2773,2021-09-17,05920403,2021-10-15,2021-10-14,1,"On-Time Delivery"
K01386,"Stempel Freiberg Berlin",Berlin,Germany,Germany,EB21/2990,2021-06-10,HES0000006,2021-12-10,2021-11-10,-26,"Late Delivery"
K01282,"NOVAPAX - Kunststofftechnik",Berlin,Germany,Germany,EB21/2939,2021-04-10,M20020270,2021-12-10,2021-10-10,31,"On-Time Delivery"
K04413,"Kuhle Industrie-Galvanik GmbH",Berlin,Germany,Germany,EB21/2883,2021-01-10,KS00520739-1,2021-11-10,2021-07-10,153,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/2576,2021-02-07,19600145,2021-08-10,2021-07-10,31,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2435,2021-08-18,28001499,2021-09-17,2021-09-16,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2356,2021-03-09,38000465,2021-09-17,2021-09-16,1,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/2363,2021-08-18,00345677,2021-09-15,2021-09-14,1,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/2363,2021-08-18,00345655,2021-09-15,2021-09-14,1,"On-Time Delivery"
K00018,Germania-Werk,Berlin,Germany,Germany,EB21/2580,2021-08-17,"O3 1412632-1",2021-09-14,2021-09-13,1,"On-Time Delivery"
K02169,"Hans-Erich Gemmel & Co GmbH",Berlin,Germany,Germany,EB21/2238,2021-02-08,17000309,2021-09-14,2021-09-13,26,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2388,2021-06-08,27601531,2021-09-13,2021-12-09,-61,"Late Delivery"
K03230,"FSD Lwerk Berlin Brandenburg",Berlin,Germany,Germany,EB21/2520,2021-07-19,KU00021831,2021-09-13,2021-12-09,-87,"Late Delivery"
K04490,"Th. Geyer GmbH & Co. KG",Berlin,Germany,Germany,EB21/2623,2021-03-09,M0000104,2021-09-09,2021-08-09,39,"On-Time Delivery"
K04876,"Albis Distribution GmbH & Co. KG",Berlin,Germany,Germany,EB21/2178,2021-01-09,RB00843904,2021-09-09,2021-08-09,61,"On-Time Delivery"
K00092,"Max Witte GmbH",Berlin,Germany,Germany,EB21/1717,2021-07-06,"O3 1412839-1",2021-08-09,2021-07-09,92,"On-Time Delivery"
K04876,"Albis Distribution GmbH & Co. KG",Berlin,Germany,Germany,EB21/1642,2021-04-05,M20020355,2021-08-09,2021-07-09,92,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2357,2021-04-08,KU00022240-1,2021-08-09,2021-07-09,31,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2075,2021-07-19,29203546,2021-08-16,2021-08-15,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1614,2021-07-19,19500009,2021-08-16,2021-08-15,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0815,2021-03-16,05920210,2021-08-16,2021-08-15,2,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/2068,2021-07-15,17200132,2021-11-08,2021-10-08,-56,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1969,2021-02-07,27601561,2021-07-16,2021-07-15,1,"On-Time Delivery"
K00623,"Brenntag GmbH",Berlin,Germany,Germany,EB21/1406,2021-06-04,M20020211,2021-07-14,2021-07-13,1,"On-Time Delivery"
K04876,"Albis Distribution GmbH & Co. KG",Berlin,Germany,Germany,EB21/0730,2021-02-18,M20020315,2021-12-07,2021-11-07,-114,"Late Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/1733,2021-06-14,00345655,2021-09-07,2021-08-07,122,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/1733,2021-06-14,00345677,2021-09-07,2021-08-07,122,"On-Time Delivery"
K00016,Höttges,Berlin,Germany,Germany,EB21/1635,2021-01-06,40063519,2021-06-07,2021-05-07,123,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0560,2020-10-16,02271822,2021-06-14,2021-06-13,146,"On-Time Delivery"
K00033,"Bezet-Werk GmbH",Berlin,Germany,Germany,EB21/1533,2021-05-17,KP0064C015,2021-06-17,2021-06-16,2,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0560,2020-10-16,02271822,2021-06-14,2021-06-13,146,"On-Time Delivery"
K00018,Germania-Werk,Berlin,Germany,Germany,EB21/0051,2021-01-14,27901267,2021-10-06,2021-09-06,-83,"Late Delivery"
K02699,"Ahlberg Metalltechnik GmbH",Berlin,Germany,Germany,EB21/1413,2021-02-17,KU00322240,2021-09-06,2021-08-06,31,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1347,2021-01-15,27601528,2021-04-06,2021-03-06,31,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1070,2021-04-14,KU00022235,2021-05-18,2021-05-17,0,"On-Time Delivery"
K01282,"NOVAPAX - Kunststofftechnik",Berlin,Germany,Germany,EB21/1440,2021-05-05,M20020270,2021-12-05,2021-11-05,30,"On-Time Delivery"
K03230,"FSD Lwerk Berlin Brandenburg",Berlin,Germany,Germany,EB21/1207,2021-01-20,KU00034994,2021-12-05,2021-11-05,30,"On-Time Delivery"
K04876,"Albis Distribution GmbH & Co. KG",Berlin,Germany,Germany,EB21/0914,2021-04-16,M20020104,2021-10-05,2021-06-05,122,"On-Time Delivery"
K02699,"Ahlberg Metalltechnik GmbH",Berlin,Germany,Germany,EB21/0190,2021-01-13,24000007,2021-07-05,2021-06-05,-31,"Late Delivery"
K02699,"Ahlberg Metalltechnik GmbH",Berlin,Germany,Germany,EB21/0190,2021-01-13,24000001,2021-07-05,2021-06-05,-31,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1054,2021-04-16,27602408,2021-07-05,2021-06-05,30,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1156,2021-04-19,KP0064C108,2021-07-05,2021-06-05,30,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/0534,2021-02-18,17000186,2021-04-19,2021-04-18,1,"On-Time Delivery"
K04413,"Kuhle Industrie-Galvanik GmbH",Berlin,Germany,Germany,EB21/0873,2021-02-04,KS00520711-1,2021-04-16,2021-04-15,1,"On-Time Delivery"
K04413,"Kuhle Industrie-Galvanik GmbH",Berlin,Germany,Germany,EB21/0874,2021-02-04,KS00525009-1,2021-04-16,2021-04-15,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0810,2021-03-19,27601531,2021-04-14,2021-04-13,3,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/2109,2020-09-18,18034906,2021-04-14,2021-04-13,3,"On-Time Delivery"
K00011,"SCHERDEL Berlin GmbH & Co. KG",Berlin,Germany,Germany,EB21/0533,2021-02-03,17000183,2021-09-04,2021-08-04,-113,"Late Delivery"
K00011,"SCHERDEL Berlin GmbH & Co. KG",Berlin,Germany,Germany,EB21/0360,2021-04-02,17000183,2021-09-04,2021-08-04,31,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0647,2021-02-03,17200132,2021-07-04,2021-06-04,30,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0489,2021-02-17,38000465,2021-03-19,2021-03-18,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0460,2021-03-03,ABB0038943,2021-03-17,2021-03-16,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0421,2021-03-03,38001158,2021-03-17,2021-03-16,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/0054,2021-01-14,38001147,2021-10-02,2021-09-02,91,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/2505,2020-10-12,17200125,2021-01-15,2021-01-14,-1,"Late Delivery"
K00016,Höttges,Berlin,Germany,Germany,EB20/2190,2020-05-11,40063526,2021-01-13,2021-12-01,-320,"Late Delivery"
K00016,Höttges,Berlin,Germany,Germany,EB20/2190,2020-05-11,40063527,2021-01-13,2021-12-01,-320,"Late Delivery"
K00016,Höttges,Berlin,Germany,Germany,EB20/2190,2020-05-11,40063529,2021-01-13,2021-12-01,-320,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/2356,2020-09-12,KU00022240-1,2021-01-13,2021-12-01,-322,"Late Delivery"
K02699,"Ahlberg Metalltechnik GmbH",Berlin,Germany,Germany,EB20/2119,2020-02-11,17200124,2020-09-12,2020-08-12,31,"On-Time Delivery"
K02440,"B. Grauel GmbH",Berlin,Germany,Germany,EB20/1630,2020-08-09,00986648,2020-09-14,2020-09-13,5,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB20/1282,2020-07-17,00345655,2020-12-08,2020-11-08,30,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB20/1282,2020-07-17,00345677,2020-12-08,2020-11-08,30,"On-Time Delivery"
K04374,"Dr. Kieburg GmbH",Berlin,Germany,Germany,EB20/0705,2020-07-05,KP0064B323,2020-05-13,2020-12-05,424,"On-Time Delivery"
K04374,"Dr. Kieburg GmbH",Berlin,Germany,Germany,EB20/0705,2020-04-17,KP0064B321,2020-05-13,2020-12-05,424,"On-Time Delivery"
K00016,Höttges,Berlin,Germany,Germany,EB20/0803,2020-03-04,40063527,2020-07-05,2020-06-05,-21,"Late Delivery"
K00016,Höttges,Berlin,Germany,Germany,EB20/0803,2020-03-04,40063526,2020-07-05,2020-06-05,-21,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0739,2020-03-13,KU00022240-1,2020-04-20,2020-04-19,-2,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0607,2020-01-04,27601088,2020-04-15,2020-04-14,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0733,2020-03-04,KP0100M659,2020-08-04,2020-07-04,62,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0733,2020-03-04,KP0026M935,2020-08-04,2020-07-04,-30,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0733,2020-03-04,KP0064C108,2020-08-04,2020-07-04,62,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0569,2020-02-03,00451187,2020-06-04,2020-05-04,-61,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0383,2020-02-19,28000916,2020-04-03,2020-03-03,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001110,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001109,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001108,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001107,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001106,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001105,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001104,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001103,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001102,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001101,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-05-02,KP00001098,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-05-02,KP00001097,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04403,"Metrofunk Kabel-Union GmbH",Berlin,Germany,Germany,EB20/0272,2020-04-02,KP00001096,2020-11-02,2020-10-02,31,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB19/0294,2020-06-01,18004656,2020-11-02,2020-09-02,30,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB19/1921,2020-06-01,28035555,2020-11-02,2020-09-02,30,"On-Time Delivery"
K00016,Höttges,Berlin,Germany,Germany,EB19/3738,2019-03-12,KU00057378,2020-04-02,2020-02-02,-16,"Late Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB20/0026,2020-01-20,90082808,2020-04-02,2020-02-02,29,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB19/3776,2019-09-12,27602463,2020-01-17,2020-01-16,748,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB19/3806,2019-12-17,90082951,2020-01-17,2020-01-16,-3,"Late Delivery"
K00623,"Brenntag GmbH",Berlin,Germany,Germany,EB19/3820,2019-12-12,00980239,2020-01-17,2020-01-16,259,"On-Time Delivery"
K00295,"ALBIS Plastic GmbH",Berlin,Germany,Germany,EB19/2287,2019-08-07,HDE0953402,2020-01-15,2020-01-14,261,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB19/3704,2019-03-12,KU00024748-4,2020-10-01,2020-09-01,-31,"Late Delivery"
K01401,"TransPak GmbH",Berlin,Germany,Germany,EB19/3940,2019-12-19,KU00080860,2020-07-01,2020-06-01,122,"On-Time Delivery"
K03475,"K. D. Feddersen GmbH & Co. KG",Hamburg,Germany,Germany,EB20/2198,2020-05-11,HDE0004011,2020-12-11,2020-11-11,2,"On-Time Delivery"
K03475,"K. D. Feddersen GmbH & Co. KG",Hamburg,Germany,Germany,EB20/0603,2020-06-03,HDE0004011,2020-11-03,2020-09-03,30,"On-Time Delivery"
K00951,"Three Bond GmbH",Düsseldorf,Germany,Germany,EB21/1655,2021-02-06,00980107,2021-05-08,2021-04-08,0,"On-Time Delivery"
K03094,"Trelleborg Sealing Solutions",Stuttgart,Germany,Germany,EB21/0624,2021-01-03,HDE0H05003,2021-11-05,2021-10-05,61,"On-Time Delivery"
K03094,"Trelleborg Sealing Solutions",Stuttgart,Germany,Germany,EB21/0643,2019-12-06,WA00300413,2021-05-05,2021-04-05,30,"On-Time Delivery"
K03094,"Trelleborg Sealing Solutions",Stuttgart,Germany,Germany,EB21/0615,2020-11-19,RA00000280,2021-10-03,2021-09-03,61,"On-Time Delivery"
K03094,"Trelleborg Sealing Solutions",Stuttgart,Germany,Germany,EB20/2180,2020-05-11,HDE0H05003,2021-04-02,2021-03-02,61,"On-Time Delivery"
K04877,"nic media GmbH Onlineshops",Stuttgart,Germany,Germany,EB20/2476,2020-08-12,KP0090M658,2020-12-16,2020-12-15,3,"On-Time Delivery"
K03094,"Trelleborg Sealing Solutions",Stuttgart,Germany,Germany,EB20/1309,2020-03-07,RA00000260,2020-06-11,2020-05-11,31,"On-Time Delivery"
K03094,"Trelleborg Sealing Solutions",Stuttgart,Germany,Germany,EB20/1493,2020-03-08,HDE0H05003,2020-10-16,2020-10-15,4,"On-Time Delivery"
K03154,"Schlegel Etiketten",Stuttgart,Germany,Germany,EB20/0178,2020-05-15,KU00033805,2020-06-16,2020-06-15,1,"On-Time Delivery"
K00875,"AIR LIQUIDE Deutschland GmbH",Leipzig,Germany,Germany,EB21/3620,2021-10-12,M0000005,2021-12-14,2021-12-13,1,"On-Time Delivery"
K04796,"TE Connectivity Solutions GmbH",Bydgoszcz,Poland,Europe,EB20/0806,2020-06-04,"S1 1412409-6",2020-12-06,2020-11-06,30,"On-Time Delivery"
K04796,"TE Connectivity Solutions GmbH",Bydgoszcz,Poland,Europe,EB20/0806,2020-06-04,"S1 1412409-5",2020-12-06,2020-11-06,30,"On-Time Delivery"
K04536,"SGL CARBON GmbH",Bonn,Germany,Germany,EB21/2671,2021-10-09,BI00315009,2021-12-13,2021-12-12,2,"On-Time Delivery"
K04536,"SGL CARBON GmbH",Bonn,Germany,Germany,EB21/2667,2021-10-09,BI00115012,2021-11-18,2021-11-17,2,"On-Time Delivery"
K04536,"SGL CARBON GmbH",Bonn,Germany,Germany,EB21/2668,2021-09-09,BI00099045,2021-11-11,2021-10-11,61,"On-Time Delivery"
K03938,"Robert Bosch GmbH",Karlsruhe,Germany,Germany,EB21/2716,2021-09-13,BI00300017,2022-01-24,2022-01-20,40,"On-Time Delivery"
K03465,"LATI Industria Termoplastici",Wiesbaden,Germany,Germany,EB21/3291,2021-08-13,WA00963902,2022-01-14,2022-01-13,1,"On-Time Delivery"
K03822,"MWS- Mechanische Werkstatt",Braunschweig,Germany,Germany,EB20/2285,2020-11-18,KU00024748-5,2021-04-02,2021-03-02,153,"On-Time Delivery"
K02650,"Bandstahlservice Schlag GmbH",Chemnitz,Germany,Germany,EB19/3412,2019-05-11,04322453,2020-10-01,2020-09-01,30,"On-Time Delivery"
K02740,Gevag,Hagen,Germany,Germany,EB21/0435,2021-02-15,17000122,2021-10-05,2021-09-05,91,"On-Time Delivery"
K04074,"Hoffmann GmbH",Pforzheim,Germany,Germany,EB21/2815,2021-01-10,MV00491357,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04074,"Hoffmann GmbH",Pforzheim,Germany,Germany,EB21/0453,2021-06-08,KS00100703,2021-10-15,2021-10-14,1,"On-Time Delivery"
K02549,"Heimerle + Meule",Pforzheim,Germany,Germany,EB21/2621,2021-01-09,01550046,2021-10-09,2021-09-09,8,"On-Time Delivery"
K02734,"G. Rau GmbH & Co. KG",Pforzheim,Germany,Germany,EB21/0535,2021-02-18,17000120,2021-07-13,2021-12-07,-146,"Late Delivery"
K04074,"Hoffmann GmbH",Pforzheim,Germany,Germany,EB21/0260,2021-03-02,KS00100703,2021-04-13,2021-12-04,-234,"Late Delivery"
K02734,"G. Rau GmbH & Co. KG",Pforzheim,Germany,Germany,EB19/2750,2019-12-09,KP00A1C072,2020-05-03,2020-04-03,0,"On-Time Delivery"
K02756,"Wolters GmbH",Gütersloh,Germany,Germany,EB21/2334,2021-11-08,17000127,2021-12-15,2021-12-14,1,"On-Time Delivery"
K04895,"TE Connectivity Solutions GmbH",Évora,Portugal,Europe,EB21/2236,2021-02-08,18000000,2021-04-10,2021-03-10,153,"On-Time Delivery"
K04537,"Swoboda CZ s.r.o.",Jihlava,Czechia,Europe,EB21/1782,2021-06-14,BI00486029,2021-09-08,2021-08-08,92,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB21/1123,2021-04-14,M0000009,2021-04-16,2021-04-15,0,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB21/0699,2021-05-03,M0000009,2021-09-03,2021-08-03,31,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB21/0488,2021-02-16,M0000009,2021-02-18,2021-02-17,1,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB21/0088,2021-01-15,M0000009,2021-01-19,2021-01-18,1,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB20/2534,2020-12-15,M0000009,2020-12-17,2020-12-16,1,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB20/2487,2020-08-12,M0000009,2020-10-12,2020-09-12,30,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB20/1897,2020-05-10,M0000009,2020-07-10,2020-06-10,61,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB20/1408,2020-07-08,M0000009,2020-12-08,2020-10-08,31,"On-Time Delivery"
K00876,"Air Liquide Deutschland GmbH",Kornwestheim,Germany,Germany,EB20/1226,2020-02-07,M0000009,2020-07-07,2020-06-07,30,"On-Time Delivery"
K04137,"Heismann Drehtechnik",Velbert,Germany,Germany,EB21/2824,2021-10-12,MV00491619,2022-04-02,2022-02-02,59,"On-Time Delivery"
K04137,"Heismann Drehtechnik",Velbert,Germany,Germany,EB21/2824,2021-10-12,MV00491619,2022-04-02,2022-02-02,59,"On-Time Delivery"
K04137,"Heismann Drehtechnik",Velbert,Germany,Germany,EB21/0965,2021-07-16,MV00491619,2021-09-13,2021-12-09,-61,"Late Delivery"
K04137,"Heismann Drehtechnik",Velbert,Germany,Germany,EB21/0963,2021-06-18,MV00491619,2021-08-19,2021-08-18,-5,"Late Delivery"
K04137,"Heismann Drehtechnik",Velbert,Germany,Germany,EB21/0649,2021-02-04,MV00491619,2021-06-17,2021-06-16,2,"On-Time Delivery"
K04137,"Heismann Drehtechnik",Velbert,Germany,Germany,EB21/0073,2021-03-02,MV00491619,2021-12-04,2021-11-04,-205,"Late Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB22/0020,2021-11-18,HDE0001154,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB22/0021,2021-11-11,HDE0001156,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB22/0022,2021-11-18,HDE0001157,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB22/0026,2021-06-08,HDE0H11032,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB22/0026,2021-06-08,HDE0H11032,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB22/0027,2021-06-10,HDE0H17008,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0031,2021-06-10,HDE0001156,2021-12-17,2021-12-16,1,"On-Time Delivery"
K04659,"Robert Bosch GmbH",Bamberg,Germany,Germany,EB21/0033,2021-03-12,HDE0001158,2021-12-17,2021-12-16,29,"On-Time Delivery"
