Creditor No_;Datev Account No_;Fax No_;Group Vendor No_;ILN No_;No_ Series;No_;Our Account No_;Pay-to Vendor No_;Phone No_;Primary Contact No_;Registration No_;Telex No_;VAT Registration No_;Validate EU Vat Reg_ No_;akq No_ of Entries Paym_ Adv_;akq Payment Vendor No_;Address 2;Address;Application Method;Base Calendar Code;Block Payment Tolerance;Blocked;Budgeted Amount;Cash Flow Payment Terms Code;City;Construction Service;Contact;Country_Region Code;County;Currency Code;Currency Id;Datev Addressee Type;Datev Export Date;Delivery Reminder Terms;Diverse Vendors;Document Sending Profile;Don_t Export Bank Account;E-Mail;Fin_ Charge Terms Code;GLN;Gen_ Bus_ Posting Group;Global Dimension 1 Code;Global Dimension 2 Code;Home Page;IC Partner Code;Id;Image;Invoice Disc_ Code;Language Code;Last Date Modified;Last Modified Date Time;Lead Time Calculation;Location Code;Name 2;Name;Partner Type;Payment Method Code;Payment Method Id;Payment Terms Code;Payment Terms Id;Picture;Post Code;Preferred Bank Account Code;Prepayment _;Prices Including VAT;Priority;Privacy Blocked;Purchaser Code;Release Status;Release Until;Responsibility Center;SSCC Nos_;Search Name;Shipment Method Code;Shipping Agent Code;Statistics Group;Tax Area Code;Tax Liable;Telex Answer Back;Territory Code;VAT Bus_ Posting Group;Vendor Posting Group;akq Allow Payment 3rd parties;akq DTAZV Charges Rule;akq DTAZV Currency Instruction;akq Direction Code;akq Payment Type;akq Single Payment;timestamp
;;030/339384 33;;;;K00021;10576;;030/339384 24;;;;;0;0;;;Päwesiner Weg 20;0;KRED;0;0;0,00000000000000000000;;Berlin;0;Herrn Finzel;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@treske.de;;;IL;;;www.treske.de;;{BD529AE5-B2B2-4D67-9D99-5A863116A105};{00000000-0000-0000-0000-000000000000};K00021;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;;Karl Treske;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;13581;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;TRESKE;53;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE0E
;;030-347948 48;;;;K00022;D157413;K04381;030-347948 32;;;;DE811220824;0;0;;;Ernst-Reuter-Platz 10;0;KRED;0;2;0,00000000000000000000;;Berlin;0;Herrn Torsten Schäfer;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;www.rohde-schwarz.com;;{9D219F0A-E32C-46E9-BEF7-F3492375FFC2};{00000000-0000-0000-0000-000000000000};K00022;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;Vertriebs-GmbH;Rohde & Schwarz;0;;{00000000-0000-0000-0000-000000000000};;{00000000-0000-0000-0000-000000000000};;10587;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;ROHDE & SCHWARZ;12;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE13
;;030/740 678-10;;;;K00025;70106;;030/740 678 0;;;;;0;0;;;Ederstraße 18;0;KRED;0;0;0,00000000000000000000;;Berlin;0;Frau Marcia Behrens;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;styropor@fapack.de;;;IL;;;http://www.fapack.de/;;{B6949403-4465-4B6D-A083-3B296F9B1CD8};{00000000-0000-0000-0000-000000000000};K00025;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;Kartonage / Verwaltung;FAPACK;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;12059;LB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;FAPACK;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE18
;;030-21733244;;;;K00026;;;030-21733255;;;18832235;;0;0;;;Albert-Einstein-Ring 1;0;KRED;0;2;0,00000000000000000000;;Kleinmachnow;0;Herrn Stefan Blass;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{2AE8879A-B76A-4235-B4DA-65F3CA08D4A7};{00000000-0000-0000-0000-000000000000};K00026;;20.10.2021 00:00:00;20.10.2021 08:22:20;;A-01;;Atlas Copco GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};30;{0638B4F7-4DD4-4179-BE79-3D1D4AD8A9D4};;14532;SEB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;ATLAS COPCO;12;;0;;0;;;IL;IL;0;0;0;;;0;00000000594C81CD
;;06196/493 288;;;;K00029;;;06196/493 0;;;783883;;0;0;;;Katharina-Paulus-Straße 8;0;KRED;0;2;0,00000000000000000000;;Schwalbach;0;Frau Petra Backhaus;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;c.hopf@hopf-online.de;;;IL;;;www.hopf-online.de;;{CC215A16-106E-4CAC-A142-7012F67E7F49};{00000000-0000-0000-0000-000000000000};K00029;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;Camp Phönix Park Eschborn;#Hopf Vertriebsgesellschaft#;0;;{00000000-0000-0000-0000-000000000000};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;65824;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#HOPF VERTRIEBSGESELLSCHAFT#;93;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE27
;;05235-3 41200;;;;K00030;720001;;05235-3 00;;;;;0;0;;;Flachsmarktstr. 8;0;KRED;0;0;0,00000000000000000000;;Blomberg;0;Herrn Sven Hartmann;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;www.phoenixcontact.de;;{0F86AB59-9692-4D1E-9D84-83FB9484E15B};{00000000-0000-0000-0000-000000000000};K00030;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;;Phoenix Contact GmbH & Co. KG;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};300802;{FA1D5AE3-AEE1-4D7B-B671-B23F106DA126};;32825;COBA;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;PHOENIX;12;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE2C
;;09122/87-1349;;;;K00031;81;;09122/87-1543;;;;;0;0;;;Bahnhofstr. 16-18;0;KRED;0;0;0,00000000000000000000;;Schwabach;0;Frau Brückner;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;hermine.brueckner@ribe.de;;;IL;;;www.ribe.de;;{B8361669-13F9-40B4-9F7E-950D1B7A87B7};{00000000-0000-0000-0000-000000000000};K00031;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;technik GmbH & Co. KG;Richard Bergner Verbindungs-;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};6030021403;{7FB61C1C-9272-4A15-A162-B39C02D134F7};;91126;COBA;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;RIBE RICHARD BERGNER;92;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE31
;;+49 30 72387-702;;;;K00033;42600;;+49 30 72387-0;;29/410/06563;;DE813843488;0;0;;;Nahmitzer Damm 30;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@bezet-werk.de;;;IL;;;www.bezet-werk.de;;{F302ED9E-68DA-4686-910C-D65B4688EDF3};{00000000-0000-0000-0000-000000000000};K00033;;21.04.2020 00:00:00;21.04.2020 09:58:59;;A-01;;Bezet-Werk GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};30;{0638B4F7-4DD4-4179-BE79-3D1D4AD8A9D4};;12277;VB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;BEZET-WERK GMBH;1;;0;;0;;;IL;IL;0;0;0;;;0;000000005467E96E
;;030/7519005;;;;K00035;115207;;030/7550763;;;;DE145339206;0;0;;;Franz-Jacob-Str. 4;0;KRED;0;2;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;vb_berlin@de.festo.com;;;IL;;;http://www.festo.de;;{1FDD137F-4C7B-49D1-8CDD-0C3A0B2209B7};{00000000-0000-0000-0000-000000000000};K00035;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;;#Festo AG & Co. KG#;0;;{00000000-0000-0000-0000-000000000000};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;10369;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#FESTO AG#;93;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE40
;;02374/93596 99;;;;K00038;;;02374/93596 16;;;;;0;0;;;Breslauer Str. 21;0;KRED;0;0;0,00000000000000000000;;Iserlohn;0;Herr Stindt;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@nobitschek.de;;;IL;;;www.nobitschek.de;;{FD323704-703E-4E59-A492-B1A415EA0EC0};{00000000-0000-0000-0000-000000000000};K00038;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;;Georg Nobitschek GmbH & Co. KG;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;58642;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;NOBITSCHEK;92;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE4F
;;07129/697100;;;;K00039;;;07129/697133;;;729821;;0;0;;;Friedrich-List-Straße 131;0;KRED;0;0;0,00000000000000000000;;Lichtenstein;0;Frau Brenner;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;melanie.brenner@baumann-springs.com;;;IL;;;www.baumann-federn.de;;{95C89568-F24C-4937-9220-60F276C333ED};{00000000-0000-0000-0000-000000000000};K00039;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;;Baumann GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};30;{0638B4F7-4DD4-4179-BE79-3D1D4AD8A9D4};;72805;COBA;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;BAUMANN;93;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE54
;;030 3932069;;;;K00040;310838;;030 3911001;;;;;0;0;;;Dillenburger Str. 53;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;geyerber@thgeyer.de;;;IL;;;www.thgeyer.de;;{0045A6E9-0A0E-48BD-BB4A-2D0504C6F004};{00000000-0000-0000-0000-000000000000};K00040;;25.01.2020 00:00:00;25.01.2020 09:35:51;;B-01;;#Th. Geyer Berlin GmbH#;0;;{00000000-0000-0000-0000-000000000000};281402;{35666D59-99C6-442B-B47C-D5DF814371E0};;14199;LB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#GEYER;1;;0;;0;;;IL;IL;0;0;0;;;0;000000005329740A
;;040/49095430;;;;K00041;;;040/4909-0;;;;;0;0;;;Unnastr. 48;0;KRED;0;0;0,00000000000000000000;;Hamburg;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;Kontakt@Beiersdorf.com;;;IL;;;;;{0C702765-A87D-44F2-BF32-EE837089A2E6};{00000000-0000-0000-0000-000000000000};K00041;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;Niederlassung Nord Tesa;BDF Beiersdorf AG;0;;{00000000-0000-0000-0000-000000000000};9014033002;{408AD001-4091-4155-BDD5-95592A8FE913};;20253;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;BEIERSDORF;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE59
;;03375/578 739;;;;K00043;127055;;03375/5787 20;;89079/43487;;DE172155500;0;0;;Gewerbepark 31;;0;KRED;0;0;0,00000000000000000000;;Wildau;0;Frau Sabine Ludolph;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;sabine.ludolph@storopack.com;;;IL;;;www.storopack.com;;{599B6A8D-7761-4BA3-93FB-ECD28C9F97FA};{00000000-0000-0000-0000-000000000000};K00043;;12.04.2021 00:00:00;12.04.2021 11:55:26;;A-01;Deutschland GmbH & Co. KG;Storopack;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};300802;{FA1D5AE3-AEE1-4D7B-B671-B23F106DA126};;15745;SPK;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;STOROPACK SCHULZE;1;;0;;0;;;IL;IL;0;0;0;;;0;000000005783CE0D
;;08669/38609;;;;K00044;193625;;08669/31-1630;;;0;;0;0;;;Dr.-Johannes-Heidenhain-Str. 5;0;KRED;0;0;0,00000000000000000000;;Traunreut;0;Frau Heitauer;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@heidenhain.de;;;IL;;;www.heidenhain.de;;{E0633626-14A8-43D7-A7B8-4CC1A7C89F25};{00000000-0000-0000-0000-000000000000};K00044;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;;Dr. Johannes Heidenhain GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;83301;HYPO;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;HEIDENHAIN;12;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE63
;;+41/32/3875779;;;;K00045;;;0041/32/3875513;;;;;0;0;;;Industriering 53;0;KRED;0;0;0,00000000000000000000;;Lyss;0;Herr Beat Staempfli;CH;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;AL;;;www.feintool.com;;{6068B8C1-3C04-4ECE-A0BD-17547177732D};{00000000-0000-0000-0000-000000000000};K00045;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;Teile & Komponenten AG;Feintool;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;CH-250;DEUBA;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;FEINTOOL;12;;0;;0;;;AL;AL;0;0;0;;;0;0000000053C3DE68
;;04523-402 464;;;;K00046;6004748 / 130189;;04523-402 260;;;;DE253873573;0;0;;Lütjenburger Str. 101;Passenger Cars;0;KRED;0;0;0,00000000000000000000;;Malente;0;Frau Fettinger;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;sales-ics@kendrion.com;;;IL;;;www.kuhnke.com;;{7E325847-EB02-44A9-AD22-155A3AE06EF3};{00000000-0000-0000-0000-000000000000};K00046;;07.04.2020 00:00:00;07.04.2020 04:39:48;;A-01;GmbH;Kendrion Kuhnke Automation;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301403;{4FB8830C-274F-4731-B5F9-54CA116F85C5};;23714;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;KENDRION KUHNKE;93;;0;;0;;;IL;IL;0;0;0;;;0;00000000543EF5DB
;;07621/40 24-66;;;;K00050;10276000;;07621/40 24-33;;;;;0;0;;;Tullastraße 12;0;KRED;0;0;0,00000000000000000000;;Lörrach;0;Herrn Mayer;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;thomas.mayer@nsi-precision.de;;;IL;;;www.nsi-precision.de;;{1A748165-B7A5-401A-9A5C-6F8A09870C71};{B87A86E9-B7CF-42A7-89FB-8C87A7F4E21F};K00050;;09.12.2020 00:00:00;09.12.2020 12:45:16;;A-01;Präzisionsdrehteile GmbH;NSI;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};300802;{FA1D5AE3-AEE1-4D7B-B671-B23F106DA126};;79540;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;NSI;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000056502706
;;061342901 44;;;;K00051;;;06134-2901 0;;;;;0;0;;;Fritz-Ullmann-Str. 9;0;KRED;0;0;0,00000000000000000000;;Mainz-Kastel;0;Herrn Hans-Georg Hoffmann;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@netter-vibration.com;;;IL;;;www.netter-vibration.com;;{882DF4C7-1A30-4E43-9930-D1F860A2A9B2};{00000000-0000-0000-0000-000000000000};K00051;;21.02.2020 00:00:00;21.02.2020 20:44:59;;A-01;Netter Vibration NV;Netter GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;55252;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;NETTER GMBH;12;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE77
