lieferzeile_no,order_no,buy_from_city,buy_from_post_code,buy_from_vendor_name,location_code,order_date,original_date,posting_date,promised_receipt_date,quantity_invoiced,quantity,really_receipt_datetime,requested_receipt_date
KP0064C006,EB19/3814,Oranienburg,16515,SURFACED GmbH,A-01,2019-11-12,2019-12-20,2020-09-01,2019-12-20,2250,2250,2020-08-01,2019-12-20
17000147,EB19/3367,Deizisau,73779,HALA Dichtungen & Isolierteile,B-01,2019-01-11,2020-10-01,2020-09-01,2020-10-01,10085,10085,1753-01-01,2020-10-01
HDE0H06007,EB19/2636,Kronach,96317,Horst Scholz GmbH & Co. KG,A-01,2019-12-08,2020-03-01,2020-07-01,2020-03-01,9200,9200,2020-06-01,2020-03-01
HDE0H06006,EB19/2636,Kronach,96317,Horst Scholz GmbH & Co. KG,A-01,2019-12-08,2020-03-01,2020-07-01,2020-03-01,10000,10000,2020-06-01,2019-03-01
22001030,EB19/2934,Wolfach,77709,Carl Leipold GmbH,B-01,2019-11-09,2019-12-18,2020-09-01,2019-12-18,5330,5330,1753-01-01,2019-12-18
RS00491568,EB19/3233,Egesheim,78592,Gebrüder Dreher,B-01,2019-10-21,2019-11-29,2020-09-01,2019-11-29,1065,1065,1753-01-01,2019-11-29
17000216,EB19/3537,Neustadt,96456,Dietz GmbH,B-01,2019-11-15,2020-10-01,2020-09-01,2020-10-01,20000,20000,1753-01-01,2020-10-01
KU00080860,EB19/3940,Berlin,13509,TransPak GmbH,A-01,2019-12-19,2020-10-01,2020-07-01,2020-10-01,1000,1000,2020-06-01,2020-10-01
M0000009,EB20/0011,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2020-08-01,2020-09-01,2020-08-01,2020-09-01,1,1,2020-07-01,2020-09-01
RA00000305,EB19/3735,Selb,95100,Rausch & Pausch GmbH,A-01,2019-03-12,2020-10-01,2020-09-01,2020-10-01,673,673,2020-08-01,2019-06-12
HDE0H39001,EB19/3348,Oberursel,61440,Weppler Filter GmbH,A-01,2019-10-31,2020-10-01,2020-09-01,2020-10-01,5000,5000,2020-08-01,2020-10-01
RA00000320,EB19/3711,Selb,95100,Rausch & Pausch GmbH,A-01,2019-11-28,2020-10-01,2020-09-01,2020-10-01,2000,2000,2020-08-01,2019-12-13
ZG00003066,EB19/3261,Blaichach,87542,Robert Bosch GmbH,A-01,2019-10-23,2020-07-01,2020-10-01,2020-07-01,650,650,2020-09-01,2020-07-01
17000305,EB19/3272,Egesheim,78592,Gebrüder Dreher,A-01,2019-10-23,2019-12-20,2020-10-01,2019-12-20,1084,1084,2020-09-01,2019-12-20
02175132,EB19/2615,Sundern,59846,ON Metall GmbH,A-01,2019-09-08,2020-10-01,2020-10-01,2020-10-01,51,51,2020-09-01,2019-12-13
04322453,EB19/3412,Chemnitz,09126,Bandstahlservice Schlag GmbH,A-01,2019-05-11,2020-10-01,2020-10-01,2020-10-01,21,21,2020-09-01,2020-10-01
KS00750003,EB19/2974,Schonach,78133,BIW,B-01,2019-09-16,2020-10-01,2020-10-01,2020-10-01,1744,1744,1753-01-01,2020-10-01
WA00801019,EB19/3674,Remseck  OT Hochberg,71686,Baumgärtner Kunststoffe GmbH,B-01,2019-11-26,2020-10-01,2020-10-01,2020-10-01,6000,6000,1753-01-01,2020-10-01
WA00801026,EB19/3674,Remseck  OT Hochberg,71686,Baumgärtner Kunststoffe GmbH,B-01,2019-11-26,2020-10-01,2020-10-01,2020-10-01,5000,5000,1753-01-01,2020-10-01
KU00024748-4,EB19/3704,Berlin,14167,Diehl Metal Applications GmbH,A-01,2019-03-12,2020-08-01,2020-10-01,2020-08-01,2781,2781,2020-09-01,2020-08-01
M0000138,EB19/3795,Berlin,10553,Th. Geyer GmbH & Co. KG,B-01,2019-11-12,2022-02-02,2020-01-16,2022-02-02,25,25,1753-01-01,2020-08-01
HDE0001158,EB19/0258,Bamberg,96052,Robert Bosch GmbH,A-01,2020-09-01,2020-09-01,2020-10-01,2020-09-01,1500,1500,2020-09-01,2020-09-01
DR00326032,EB19/2845,Obergünzburg,87634,COPROTEC Systeme GmbH,B-01,2019-02-09,2020-10-01,2020-01-13,2020-10-01,1633,1633,1753-01-01,2020-10-01
WA00801028,EB19/3959,Remseck  OT Hochberg,71686,Baumgärtner Kunststoffe GmbH,B-01,2019-12-20,2020-01-17,2020-01-13,2020-01-17,20500,20500,1753-01-01,2020-01-15
M080000142,EB19/3854,Dornhan,72175,EAP Großhandels GmbH,A-01,2019-12-13,2020-10-01,2020-01-13,2020-10-01,150,150,2020-12-01,2020-10-01
18000038,EB19/3669,Großpostwitz,02692,miunske GmbH,A-01,2019-11-25,2020-10-01,2020-01-13,2020-10-01,1000,1000,2020-12-01,2020-10-01
18000092,EB19/3669,Großpostwitz,02692,miunske GmbH,A-01,2019-11-25,2020-10-01,2020-01-13,2020-10-01,500,500,2020-12-01,2020-10-01
18000095,EB19/3669,Großpostwitz,02692,miunske GmbH,A-01,2019-11-25,2020-10-01,2020-01-13,2020-10-01,400,400,2020-12-01,2020-10-01
M0000162,EB19/2684,Leipzig,04315,BCD Chemie GmbH,B-01,2019-11-12,2022-02-02,2020-01-13,2022-02-02,23,23,1753-01-01,2020-10-01
MV00409230,EB19/3122,Blomberg,32825,SynFlex Elektro GmbH,B-01,2019-08-10,2020-08-01,2020-01-13,2020-08-01,503,503,1753-01-01,2020-08-01
BI00106006,EB19/3052,Villongo BG,IT-24060,Argomm S.p.A.,B-01,2019-09-26,2020-10-01,2020-01-13,2020-10-01,5000,5000,1753-01-01,2020-10-01
17000212,EB19/3778,Gütersloh,33262,Wolters GmbH,B-01,2019-09-12,2020-01-13,2020-01-13,2020-01-17,10000,10000,1753-01-01,2020-01-23
NW00000600,EB19/3676,Isernhagen,30916,Nordpack GmbH,B-01,2019-11-26,2020-10-01,2020-01-13,2020-10-01,15120,15120,1753-01-01,2020-10-01
17000189,EB19/1752,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-10-01,2020-01-13,2020-10-01,2744,2744,1753-01-01,2020-10-01
28000652,EB19/3277,Neuhausen/Enzkreis,75242,Adam Bornbaum GmbH,A-01,2019-10-23,2020-10-01,2020-01-13,2020-10-01,64500,64500,2020-12-01,2020-10-01
17000161,EB19/1747,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-10-01,2020-01-13,2020-10-01,242,242,1753-01-01,2020-10-01
17000188,EB19/1751,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-10-01,2020-01-13,2020-10-01,3000,3000,1753-01-01,2020-10-01
17000188,EB19/1751,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-10-01,2020-01-13,2020-10-01,1000,1000,1753-01-01,2020-10-01
17000162,EB19/1748,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-10-01,2020-01-13,2020-10-01,904,904,1753-01-01,2020-10-01
MV00491409,EB19/2898,Pforzheim,75177,Hoffmann GmbH,B-01,2019-09-09,2020-08-01,2020-01-13,2020-08-01,43750,43750,1753-01-01,2020-08-01
17000202,EB19/2665,Ispringen,75110,Egon Nesper GmbH & Co. KG,B-01,2019-08-14,2020-10-01,2020-01-13,2020-10-01,10900,10900,1753-01-01,2020-10-01
17000217,EB19/3372,Weißenstadt,95163,Raithel & Co. GmbH,B-01,2019-01-11,2020-10-01,2020-01-13,2020-10-01,4120,4120,1753-01-01,2020-10-01
17000040,EB19/3860,Mörfelden-Walldorf,64546,RS Components GmbH,B-01,2020-10-01,2020-10-01,2020-01-13,2020-10-01,25,25,1753-01-01,2020-10-01
BI00300806-1,EB19/3081,Bad Driburg,33014,INTEG GmbH,B-01,2020-01-14,2020-01-14,2020-01-13,2020-01-14,2520,2520,1753-01-01,2020-01-14
HDE0210796,EB19/3347,Stuttgart,70565,Trelleborg Sealing Solutions,A-01,2019-10-31,2020-10-01,2020-01-13,2020-10-01,25000,25000,2020-12-01,2020-10-01
18200833,EB19/3666,Bad Driburg,33014,INTEG GmbH,A-01,2019-11-25,2020-10-01,2020-01-13,2020-10-01,1000,1000,2020-12-01,2020-10-01
18200837,EB19/3670,Bad Driburg,33014,INTEG GmbH,A-01,2019-11-25,2020-10-01,2020-01-13,2020-10-01,500,500,2020-12-01,2020-10-01
NW00002101,EB19/3743,Wiggensbach,87487,Swoboda KG,B-01,2019-03-12,2022-02-02,2020-01-13,2022-02-02,14560,14560,1753-01-01,2020-11-03
BI00099045,EB20/0045,Bonn,53170,SGL CARBON GmbH,B-01,2019-10-18,2020-01-13,2020-01-13,2020-01-13,1991,1991,1753-01-01,2020-01-13
HDE0900204,EB19/3346,Lohne,49393,Pöppelmann GmbH & Co. KG,A-01,2019-10-31,2020-10-01,2020-01-13,2020-10-01,6000,6000,2020-12-01,2020-10-01
26003010,EB19/3878,Karben,61184,SHC GmbH,A-01,2019-12-16,2022-02-02,2020-01-13,2022-02-02,20,20,2020-12-01,2020-01-17
HDE0446705,EB19/3657,Renningen,71272,F. & W. Schmidt oHG,A-01,2019-11-25,2020-01-24,2020-01-13,2020-01-24,9600,9600,2020-12-01,2020-01-24
HES0068901,EB19/3258,Lippstadt,59556,WfB Lippstadt GmbH,A-01,2019-10-22,2020-10-01,2020-01-13,2020-10-01,10000,10000,2020-12-01,2020-10-01
RS00989021,EB19/2029,Kirchlengern,32278,Grässlin Nord GmbH,B-01,2019-06-19,2033-03-03,2020-01-14,2033-03-03,80,80,1753-01-01,2020-01-15
NW00002101,EB19/3743,Wiggensbach,87487,Swoboda KG,B-01,2019-03-12,2022-02-02,2020-01-14,2022-02-02,8320,8320,1753-01-01,2020-11-03
BI00290072,EB19/3649,Bonn,53170,SGL CARBON GmbH,B-01,2020-01-14,2020-01-14,2020-01-14,2020-01-14,1612,1612,1753-01-01,2020-01-14
M20020077,EB19/3229,Bensheim,64625,TE Connectivity Germany GmbH,B-01,2019-10-21,2020-01-17,2020-01-14,2020-01-17,1000,1000,1753-01-01,2020-10-01
17000411,EB19/3763,Witzhave,22969,Hologram Company RAKO GmbH,B-01,2019-12-18,2020-01-14,2020-01-14,2020-01-14,40000,40000,1753-01-01,2020-01-14
M0000009,EB20/0040,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2020-01-13,2020-09-01,2020-01-14,2020-01-14,1,1,2020-01-13,2020-01-14
BI00115012,EB19/3173,Bonn,53170,SGL CARBON GmbH,B-01,2020-01-14,2020-01-14,2020-01-15,2020-01-14,2186,2186,1753-01-01,2020-01-14
22000938,EB19/3499,Allersberg,90584,Gebr. Wagner GmbH,B-01,2019-11-13,2020-10-01,2020-01-15,2020-10-01,2500,2500,1753-01-01,2020-10-01
17000118,EB19/2663,Pforzheim,75172,G. Rau GmbH & Co. KG,B-01,2019-08-14,2033-03-03,2020-01-15,2019-06-12,20000,20000,1753-01-01,2019-06-12
17000266,EB19/3812,Isernhagen,30916,Nordpack GmbH,B-01,2020-10-01,2020-01-17,2020-01-15,2020-01-17,1800,1800,1753-01-01,2020-10-01
RA00000380,EB19/3290,Selb,95100,Rausch & Pausch GmbH,A-01,2019-09-26,2020-01-16,2020-01-15,2020-01-16,9900,9900,2020-01-14,2019-10-28
KU00022208,EB19/3848,Berlin,12103,Hans-Erich Gemmel & Co GmbH,B-01,2019-12-13,2020-01-15,2020-01-15,2020-01-15,10,10,1753-01-01,2020-01-15
05920408,EB19/3678,Berlin,14167,Diehl Metal Applications GmbH,B-01,2019-11-26,2020-10-01,2020-01-15,2020-10-01,5187,5187,1753-01-01,2020-10-01
22001533,EB19/3676,Isernhagen,30916,Nordpack GmbH,B-01,2019-11-26,2020-01-17,2020-01-15,2020-01-17,2970,2970,1753-01-01,2020-10-01
17000441,EB19/3587,Isernhagen,30916,Nordpack GmbH,B-01,2019-11-19,2020-01-17,2020-01-15,2020-01-17,4160,4160,1753-01-01,2020-10-01
HDE0953402,EB19/2287,Berlin,10713,ALBIS Plastic GmbH,A-01,2019-08-07,2020-10-01,2020-01-15,2020-10-01,1000,1000,2020-01-14,2020-10-01
22001642,EB19/3587,Isernhagen,30916,Nordpack GmbH,B-01,2019-11-19,2020-01-17,2020-01-15,2020-01-17,3300,3300,1753-01-01,2020-10-01
17000466,EB19/3540,Isernhagen,30916,Nordpack GmbH,B-01,2019-11-15,2020-10-01,2020-01-15,2020-10-01,940,940,1753-01-01,2020-10-01
MV00491411,EB19/3108,Frittlingen,78665,A. Wenzler GmbH & Co. KG,B-01,2019-07-10,2020-10-01,2020-01-15,2020-10-01,30000,30000,1753-01-01,2020-10-01
NW00000700,EB19/3271,Isernhagen,30916,Nordpack GmbH,B-01,2019-04-11,2020-01-17,2020-01-15,2020-01-17,2880,2880,1753-01-01,2020-01-16
NW00000500,EB19/3270,Isernhagen,30916,Nordpack GmbH,B-01,2019-10-23,2020-01-17,2020-01-15,2020-01-17,14400,14400,1753-01-01,2020-01-16
HDE0001152,EB19/0257,Bamberg,96052,Robert Bosch GmbH,A-01,2020-01-17,2020-01-17,2020-01-15,2020-01-17,1500,1500,2020-01-14,2020-01-17
HDE0001156,EB19/0260,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-01,2020-10-01,2020-01-15,2020-10-01,1500,1500,2020-01-14,2020-10-01
05920406,EB19/3678,Berlin,14167,Diehl Metal Applications GmbH,B-01,2019-11-26,2020-10-01,2020-01-15,2020-10-01,5187,5187,1753-01-01,2020-10-01
HDE0001154,EB19/0805,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-01,2020-10-01,2020-01-15,2020-10-01,500,500,2020-01-14,2020-10-01
HDE0H17015,EB19/0254,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-01,2020-10-01,2020-01-15,2020-10-01,6912,6912,2020-01-14,2020-10-01
HDE0H11023,EB19/0255,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-01,2020-10-01,2020-01-15,2020-10-01,3360,3360,2020-01-14,2020-10-01
HDE0H11032,EB19/0259,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-01,2020-10-01,2020-01-15,2020-10-01,3360,3360,2020-01-14,2020-10-01
M0000166,EB19/3573,Bad Rappenau,74906,XIFA Kunststoffvertrieb GmbH,B-01,2019-11-18,2020-01-15,2020-01-15,2020-01-15,250,250,1753-01-01,2020-01-15
HDE0001114,EB19/0261,Bamberg,96052,Robert Bosch GmbH,A-01,2019-11-25,2020-01-15,2020-01-15,2020-01-15,500,500,2020-01-14,2020-01-15
HDE0001157,EB19/0262,Bamberg,96052,Robert Bosch GmbH,A-01,2020-10-01,2020-10-01,2020-01-15,2020-10-01,500,500,2020-01-14,2020-10-01
O3 1412619-2,EB19/3704,Berlin,14167,Diehl Metal Applications GmbH,A-01,2019-11-28,2020-01-13,2020-10-01,2020-01-13,17000,17000,2020-09-01,2020-10-01
HDE0H03451,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,954,954,2020-09-01,2020-10-01
HDE0H03450,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,960,960,2020-09-01,2020-10-01
HDE0H03449,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,960,960,2020-09-01,2020-10-01
HDE0H03447,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,960,960,2020-09-01,2020-10-01
HDE0H03352,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,954,954,2020-09-01,2020-10-01
HDE0H03350,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,960,960,2020-09-01,2020-10-01
HDE0H03349,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,960,960,2020-09-01,2020-10-01
HDE0H03348,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,1600,1600,2020-09-01,2020-10-01
HDE0H03347,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,960,960,2020-09-01,2020-10-01
HDE0H03346,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,1127,1127,2020-09-01,2020-10-01
HDE0H03354,EB19/3659,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,948,948,2020-09-01,2020-10-01
39403559,EB20/0008,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2019-11-27,2020-01-13,2020-01-15,2020-01-13,750,750,2020-01-14,2020-01-13
6 099 302 805,EB19/3600,Isernhagen,30916,Nordpack GmbH,B-01,2019-11-20,2020-01-17,2020-01-16,2020-01-17,1260,1260,1753-01-01,2020-01-17
NW00002101,EB19/3744,Wiggensbach,87487,Swoboda KG,B-01,2019-03-12,2022-02-02,2020-01-16,2022-02-02,6240,6240,1753-01-01,2020-04-22
RS00300562,EB19/2317,Waiblingen,71332,Robert Bosch GmbH,B-01,2019-09-07,2020-09-01,2020-01-16,2020-09-01,18000,18000,1753-01-01,2020-09-01
RS00300562,EB19/2317,Waiblingen,71332,Robert Bosch GmbH,B-01,2019-09-07,2020-09-01,2020-01-16,2020-09-01,16000,16000,1753-01-01,2020-09-01
RS00300562,EB19/2317,Waiblingen,71332,Robert Bosch GmbH,B-01,2019-09-07,2020-09-01,2020-01-16,2020-09-01,2000,2000,1753-01-01,2020-09-01
M0000009,EB20/0066,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2020-01-15,2020-09-01,2020-01-16,2020-01-16,1,1,2020-01-15,2020-01-16
17000141,EB19/3543,Egesheim,78592,Gebrüder Dreher,B-01,2019-11-15,2020-01-17,2020-01-16,2020-01-17,704,704,1753-01-01,2020-01-17
DMR0000015,EB19/0232,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2019-11-21,2020-10-01,2020-01-16,2020-10-01,8000,8000,2020-01-15,2020-10-01
BI00591173,EB19/3383,Jihlava,CZ  -  58626,Swoboda CZ s.r.o.,B-01,2019-04-11,2020-01-16,2020-01-16,2020-01-16,5000,5000,1753-01-01,2020-01-16
NW00006601,EB19/3149,Wiggensbach,87487,Swoboda KG,B-01,2019-10-10,2022-02-02,2020-01-16,2022-02-02,2080,2080,1753-01-01,2020-01-17
17000137,EB19/3535,Lüdenscheid,58477,Fr. Schulte,B-01,2019-11-15,2020-01-17,2020-01-16,2020-01-17,4500,4500,1753-01-01,2020-10-01
03685850,EB19/3493,Völklingen,66333,Saar-Bandstahl GmbH,B-01,2019-11-15,2020-01-21,2020-01-16,2020-01-21,722,722,1753-01-01,2020-01-21
ZG00003070,EB19/3452,Blaichach,87542,Robert Bosch GmbH,A-01,2019-07-11,2020-01-17,2020-01-16,2020-01-17,400,400,2020-01-15,2020-01-17
25000045,EB19/3843,Schnaittach,91220,Clever Systemtechnik GmbH,A-01,2019-12-13,2020-01-17,2020-01-16,2020-01-17,10,10,2020-01-15,2020-01-17
17000122,EB19/3371,Hagen,58091,Gevag,B-01,2019-01-11,2020-01-17,2020-01-17,2020-01-17,114450,114450,1753-01-01,2019-12-19
BI00449810,EB19/3601,Kraftsdorf,07586,BÖWE Elektrik GmbH,B-01,2019-11-20,2020-01-24,2020-01-17,2020-01-24,1777,1777,1753-01-01,2020-10-01
RB00402314,EB19/3183,Kressberg-Marktlustenau,74594,KE Elektronik GmbH,B-01,2019-10-15,2020-01-20,2020-01-17,2020-01-20,400,400,1753-01-01,2020-08-01
00980239,EB19/3820,Berlin,12347,Brenntag GmbH,A-01,2019-12-12,2020-10-01,2020-01-17,2020-10-01,30,30,2020-01-16,2020-10-01
MV00491619-1,EB19/3773,Benshausen,98554,Menz Industriedienst-,B-01,2019-09-12,2022-02-02,2020-01-17,2022-02-02,8704,8704,1753-01-01,2020-10-01
22000652,EB20/0036,Fürth,90765,Guggenberger-Aschenauer,B-01,2020-10-01,2022-02-02,2020-01-17,2020-01-31,5330,5330,1753-01-01,2020-03-31
90082951,EB19/3806,Berlin,14167,Diehl Metal Applications GmbH,A-01,2019-12-17,2020-01-13,2020-01-17,2020-01-13,3100,3100,2020-01-16,2020-01-13
27602463,EB19/3776,Berlin,14167,Diehl Metal Applications GmbH,A-01,2019-09-12,2019-09-12,2020-01-17,2022-02-02,54500,54500,2020-01-16,2020-01-17
18000000,EB19/3663,Karben,61184,SHC GmbH,A-01,2019-11-25,2020-01-17,2020-01-17,2020-01-17,1000,1000,2020-01-16,2020-01-17
29301050,EB19/3278,Weißenstadt,95163,Raithel & Co. GmbH,A-01,2019-10-23,2020-01-17,2020-01-17,2020-01-17,10520,10520,2020-01-16,2020-01-17
KU00017704,EB19/3415,Weißenstadt,95163,Raithel & Co. GmbH,A-01,2019-05-11,2020-01-17,2020-01-17,2020-01-17,3180,3180,2020-01-16,2020-01-17
17000404,EB19/3544,Donauwörth,86609,DS Smith Packaging,B-01,2019-11-15,2022-02-02,2020-01-20,2022-02-02,2840,2840,1753-01-01,2020-01-17
17000187,EB19/2149,Berlin,10969,Gebr. Geisler GmbH,B-01,2019-12-17,2020-01-20,2020-01-20,2020-01-20,10000,10000,1753-01-01,2020-01-31
17000189,EB19/1752,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-10-01,2020-01-20,2020-10-01,6,6,1753-01-01,2020-10-01
17000189,EB19/1752,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-02-17,2020-01-20,2020-10-01,1250,1250,1753-01-01,2020-10-01
17000194,EB19/1756,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2019-05-06,2020-01-29,2020-01-20,2020-10-01,4500,4500,1753-01-01,2020-10-01
NW00006601,EB19/3149,Wiggensbach,87487,Swoboda KG,B-01,2019-10-10,2022-02-02,2020-01-20,2020-01-17,2080,2080,1753-01-01,2020-01-17
KS90525701,EB20/0002,Oranienburg,16515,SURFACED GmbH,B-01,2020-02-01,2020-01-22,2020-01-21,1753-01-01,500,500,1753-01-01,2020-01-22
KS90355002,EB20/0003,Oranienburg,16515,SURFACED GmbH,B-01,2020-02-01,2020-01-22,2020-01-21,1753-01-01,2000,2000,1753-01-01,2020-01-22
17000206,EB19/3548,Egesheim,78592,Gebrüder Dreher,B-01,2019-11-15,2020-01-31,2020-01-21,2020-01-31,1893,1893,1753-01-01,2020-02-21
OE00492472,EB19/3354,Schwabach,91126,Richard Bergner Verbindungs-,A-01,2019-01-11,2020-01-17,2020-01-20,2020-01-17,5500,5500,2020-01-19,2020-01-17
00987816,EB19/3786,Landsham/Pliening,85652,Epoxonic GmbH,A-01,2019-10-12,2020-01-17,2020-01-20,2020-01-17,200,200,2020-01-19,2020-01-17
00987836,EB19/3786,Landsham/Pliening,85652,Epoxonic GmbH,A-01,2019-10-12,2020-01-17,2020-01-20,2020-01-17,10,10,2020-01-19,2020-01-17
17000150,EB19/3376,Herzogenaurach,91074,Erhard Fröhlich GmbH,B-01,2019-01-11,2020-01-13,2020-01-21,2020-01-13,5000,5000,1753-01-01,2020-01-13
