vendor_no,vendor_name,order_no,delivery_no,city,postcode,country,longitude,latitude,expected_date,order_date,posting_date,promised_date,requested_date,delivery_date,region,days_variance,otd_ld
K04797,Rausch & Pausch GmbH,EB19/3735,RA00000305,Selb,95100,Germany,12.1406449046142,50.1604995169849,2020-10-01,2019-03-12,2020-09-01,2020-10-01,2019-06-12,2020-08-01,Germany,61,On-Time Delivery
K03447,Weppler Filter GmbH,EB19/3348,HDE0H39001,Oberursel,61440,Germany,8.55251901954204,50.2097968873942,2020-10-01,2019-10-31,2020-09-01,2020-10-01,2020-10-01,2020-08-01,Germany,61,On-Time Delivery
K04797,Rausch & Pausch GmbH,EB19/3711,RA00000320,Selb,95100,Germany,12.1406449046142,50.1604995169849,2020-10-01,2019-11-28,2020-09-01,2020-10-01,2019-12-13,2020-08-01,Germany,61,On-Time Delivery
K03959,Robert Bosch GmbH,EB19/3261,ZG00003066,Blaichach,87542,Germany,,,2020-07-01,2019-10-23,2020-10-01,2020-07-01,2020-07-01,2020-09-01,Germany,-62,Late Delivery
K02728,Gebrüder Dreher,EB19/3272,17000305,Egesheim,78592,Germany,8.86628812341722,48.1165942867859,2019-12-20,2019-10-23,2020-10-01,2019-12-20,2019-12-20,2020-09-01,Germany,-256,Late Delivery
K04820,ON Metall GmbH,EB19/2615,02175132,Sundern,59846,Germany,8.00446923438857,51.3128894759164,2020-10-01,2019-09-08,2020-10-01,2020-10-01,2019-12-13,2020-09-01,Germany,30,On-Time Delivery
K02650,Bandstahlservice Schlag GmbH,EB19/3412,04322453,Chemnitz,09126,Germany,,,2020-10-01,2019-05-11,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/3704,KU00024748-4,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-08-01,2019-03-12,2020-10-01,2020-08-01,2020-08-01,2020-09-01,Germany,-31,Late Delivery
K04573,EAP Großhandels GmbH,EB19/3854,M080000142,Dornhan,72175,Germany,8.53181548678086,48.3588322341889,2020-10-01,2019-12-13,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K00752,Adam Bornbaum GmbH,EB19/3277,28000652,Neuhausen/Enzkreis,75242,Germany,8.76784216609842,48.8087716132108,2020-10-01,2019-10-23,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210796,Stuttgart,70565,Germany,9.12160901883465,48.7180160962776,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03665,INTEG GmbH,EB19/3666,18200833,Bad Driburg,33014,Germany,9.03938946669355,51.7264934967476,2020-10-01,2019-11-25,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03665,INTEG GmbH,EB19/3670,18200837,Bad Driburg,33014,Germany,9.03938946669355,51.7264934967476,2020-10-01,2019-11-25,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K02517,Pöppelmann GmbH & Co. KG,EB19/3346,HDE0900204,Lohne,49393,Germany,8.22881571940841,52.6651038014258,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K00967,SHC GmbH,EB19/3878,26003010,Karben,61184,Germany,8.76638154614189,50.2360498594055,2022-02-02,2019-12-16,2020-01-13,2022-02-02,2020-01-17,2020-12-01,Germany,428,On-Time Delivery
K04661,F. & W. Schmidt oHG,EB19/3657,HDE0446705,Renningen,71272,Germany,8.92582889668616,48.7731279175676,2020-01-24,2019-11-25,2020-01-13,2020-01-24,2020-01-24,2020-12-01,Germany,-312,Late Delivery
K04717,WfB Lippstadt GmbH,EB19/3258,HES0068901,Lippstadt,59556,Germany,8.27822932250214,51.6698782874065,2020-10-01,2019-10-22,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K04797,Rausch & Pausch GmbH,EB19/3290,RA00000380,Selb,95100,Germany,12.1406449046142,50.1604995169849,2020-01-16,2019-09-26,2020-01-15,2020-01-16,2019-10-28,2020-01-14,Germany,2,On-Time Delivery
K00295,ALBIS Plastic GmbH,EB19/2287,HDE0953402,Berlin,10713,Germany,13.3161107580713,52.4869762041054,2020-10-01,2019-08-07,2020-01-15,2020-10-01,2020-10-01,2020-01-14,Germany,261,On-Time Delivery
K04659,Robert Bosch GmbH,EB19/0261,HDE0001114,Bamberg,96052,Germany,10.8999192593864,49.9127651768062,2020-01-15,2019-11-25,2020-01-15,2020-01-15,2020-01-15,2020-01-14,Germany,1,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/3704,O3 1412619-2,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-01-13,2019-11-28,2020-10-01,2020-01-13,2020-10-01,2020-09-01,Germany,-232,Late Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03451,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03450,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03449,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03447,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03352,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03350,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03349,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03348,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03347,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03346,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03354,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0008,39403559,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-01-13,2019-11-27,2020-01-15,2020-01-13,2020-01-13,2020-01-14,Germany,-1,Late Delivery
K03252,TE Connectivity Germany GmbH,EB19/0232,DMR0000015,Bensheim,64625,Germany,8.62367317247249,49.6931091860376,2020-10-01,2019-11-21,2020-01-16,2020-10-01,2020-10-01,2020-01-15,Germany,260,On-Time Delivery
K03959,Robert Bosch GmbH,EB19/3452,ZG00003070,Blaichach,87542,Germany,,,2020-01-17,2019-07-11,2020-01-16,2020-01-17,2020-01-17,2020-01-15,Germany,2,On-Time Delivery
K02826,Clever Systemtechnik GmbH,EB19/3843,25000045,Schnaittach,91220,Germany,11.3448673876141,49.5821745253185,2020-01-17,2019-12-13,2020-01-16,2020-01-17,2020-01-17,2020-01-15,Germany,2,On-Time Delivery
K00623,Brenntag GmbH,EB19/3820,00980239,Berlin,12347,Germany,13.4335618050316,52.4545967334104,2020-10-01,2019-12-12,2020-01-17,2020-10-01,2020-10-01,2020-01-16,Germany,259,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/3806,90082951,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-01-13,2019-12-17,2020-01-17,2020-01-13,2020-01-13,2020-01-16,Germany,-3,Late Delivery
K00967,SHC GmbH,EB19/3663,18000000,Karben,61184,Germany,8.76638154614189,50.2360498594055,2020-01-17,2019-11-25,2020-01-17,2020-01-17,2020-01-17,2020-01-16,Germany,1,On-Time Delivery
K02742,Raithel & Co. GmbH,EB19/3278,29301050,Weißenstadt,95163,Germany,11.888663943097,50.1091247647347,2020-01-17,2019-10-23,2020-01-17,2020-01-17,2020-01-17,2020-01-16,Germany,1,On-Time Delivery
K02742,Raithel & Co. GmbH,EB19/3415,KU00017704,Weißenstadt,95163,Germany,11.888663943097,50.1091247647347,2020-01-17,2019-05-11,2020-01-17,2020-01-17,2020-01-17,2020-01-16,Germany,1,On-Time Delivery
K00031,Richard Bergner Verbindungs-,EB19/3354,OE00492472,Schwabach,91126,Germany,11.0005570237917,49.3152621576025,2020-01-17,2019-01-11,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K01031,Epoxonic GmbH,EB19/3786,00987816,Landsham/Pliening,85652,Germany,11.7967535109086,48.2009630882097,2020-01-17,2019-10-12,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K01031,Epoxonic GmbH,EB19/3786,00987836,Landsham/Pliening,85652,Germany,11.7967535109086,48.2009630882097,2020-01-17,2019-10-12,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K03902,Rene Schwab,EB19/3946,22001649,Schnelldorf,91625,Germany,10.1848925909678,49.2028661870132,2020-01-21,2019-12-19,2020-01-20,2020-01-21,2020-01-21,2020-01-19,Germany,2,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3857,17200120,Heroldsberg,90562,Germany,11.1156435940194,49.5422254083584,2020-01-31,2019-12-13,2020-01-20,2020-01-31,2020-01-24,2020-01-19,Germany,12,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,28003127,Heroldsberg,90562,Germany,11.1156435940194,49.5422254083584,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,28004304,Heroldsberg,90562,Germany,11.1156435940194,49.5422254083584,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29300313,Heroldsberg,90562,Germany,11.1156435940194,49.5422254083584,2020-01-31,2019-10-23,2020-01-20,2020-01-31,2020-01-31,2020-01-19,Germany,12,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29301259,Heroldsberg,90562,Germany,11.1156435940194,49.5422254083584,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29301270,Heroldsberg,90562,Germany,11.1156435940194,49.5422254083584,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K03665,INTEG GmbH,EB19/3665,18200831,Bad Driburg,33014,Germany,9.03938946669355,51.7264934967476,2020-01-17,2019-11-25,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K03665,INTEG GmbH,EB19/3886,18200836,Bad Driburg,33014,Germany,9.03938946669355,51.7264934967476,2020-01-24,2019-12-16,2020-01-22,2020-01-24,2020-01-24,2020-01-21,Germany,3,On-Time Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210815,Stuttgart,70565,Germany,9.12160901883465,48.7180160962776,2020-01-24,2019-10-31,2020-01-13,2020-01-24,2020-01-24,2020-12-01,Germany,-312,Late Delivery
K00806,Erich Rothe GmbH & Co KG,EB19/3821,11000040,Kitzingen,97318,Germany,10.1359757427998,49.7472928372332,2020-01-24,2019-12-12,2020-01-23,2020-01-24,2020-01-24,2020-01-22,Germany,2,On-Time Delivery
K03909,Nordpack GmbH,EB19/3654,HDE0700479,Isernhagen,30916,Germany,9.85034511237563,52.4578558876933,2020-01-24,2019-11-25,2020-01-23,2020-01-24,2020-01-24,2020-01-22,Germany,2,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3430,HDE0H26001,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-01-17,2019-06-11,2020-01-24,2020-01-17,2020-01-17,2020-01-22,Germany,-5,Late Delivery
K03447,Weppler Filter GmbH,EB19/3348,HDE0430752,Oberursel,61440,Germany,8.55251901954204,50.2097968873942,2020-01-24,2019-10-31,2020-01-24,2020-01-24,2020-01-24,2020-01-22,Germany,2,On-Time Delivery
K00293,Grashorn & Co GmbH,EB19/3310,27601550,Wildeshausen,27779,Germany,,,2020-01-24,2019-10-29,2020-01-24,2020-01-24,2020-01-24,2020-01-22,Germany,2,On-Time Delivery
K03498,Dr. Theodor Stiebel,EB19/3333,26001012,Holzminden,37603,Germany,9.50897307713671,51.7959224103253,2020-01-24,2019-10-30,2020-01-24,2020-01-24,2020-01-24,2020-01-22,Germany,2,On-Time Delivery
K04803,Telegärtner Kunststofftechnik,EB19/3742,PVP0405439,Steinenbronn,71144,Germany,9.11992890514924,48.6634840449154,2020-01-24,2019-03-12,2020-01-24,2020-01-24,2020-10-01,2020-01-22,Germany,2,On-Time Delivery
K04803,Telegärtner Kunststofftechnik,EB19/3318,PVP0405439,Steinenbronn,71144,Germany,9.11992890514924,48.6634840449154,2020-01-24,2019-10-29,2020-01-24,2020-01-24,2019-11-29,2020-01-22,Germany,2,On-Time Delivery
K04803,Telegärtner Kunststofftechnik,EB19/3742,PVP0405439,Steinenbronn,71144,Germany,9.11992890514924,48.6634840449154,2020-01-31,2019-03-12,2020-01-24,2020-01-31,2020-01-24,2020-01-22,Germany,9,On-Time Delivery
K04797,Rausch & Pausch GmbH,EB19/3711,RA00000245,Selb,95100,Germany,12.1406449046142,50.1604995169849,2020-01-24,2019-11-28,2020-01-24,2020-01-24,2019-12-13,2020-01-23,Germany,1,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0043,39403559,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-01-27,2020-01-13,2020-01-27,2020-01-27,2020-01-27,2020-01-26,Germany,1,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0043,O3 4-1393565-3,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-01-27,2020-01-13,2020-01-27,2020-01-27,2020-01-27,2020-01-26,Germany,1,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0043,O3 3-1393565-4,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-01-27,2020-01-13,2020-01-27,2020-01-27,2020-01-27,2020-01-26,Germany,1,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0090,39403559,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-01-31,2019-12-17,2020-01-27,2020-01-31,2020-01-31,2020-01-26,Germany,5,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/1512,02271822,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-01-24,2019-08-02,2020-01-24,2020-01-24,2020-01-24,2020-01-26,Germany,-2,Late Delivery
K04663,K.S.Kunststoff Innovation GmbH,EB19/3658,HDE0900274,Zweibrücken,66482,Germany,7.36848828534588,49.2482710740877,2020-01-24,2019-11-25,2020-01-27,2020-01-24,2020-01-24,2020-01-27,Germany,-3,Late Delivery
K04660,Horst Scholz GmbH & Co. KG,EB19/2743,HDE0H22013,Kronach,96317,Germany,11.336161555901,50.2462852462477,2020-01-24,2019-08-21,2020-01-27,2020-01-24,2020-01-24,2020-01-27,Germany,-3,Late Delivery
K04660,Horst Scholz GmbH & Co. KG,EB19/2744,HDE0H22021,Kronach,96317,Germany,11.336161555901,50.2462852462477,2020-01-24,2019-08-21,2020-01-27,2020-01-24,2020-01-24,2020-01-27,Germany,-3,Late Delivery
K00268,Electrovac Hacht & Huber GmbH,EB19/2961,27602381,Salzweg,94121,Germany,13.4769034691767,48.624597746639,2020-01-24,2019-09-13,2020-01-28,2020-01-24,2020-01-24,2020-01-26,Germany,-2,Late Delivery
K03252,TE Connectivity Germany GmbH,EB19/0229,DMR0000013,Bensheim,64625,Germany,8.62367317247249,49.6931091860376,2020-01-24,2019-11-21,2020-01-29,2020-01-24,2020-01-24,2020-01-28,Germany,-4,Late Delivery
K00967,SHC GmbH,EB19/3664,18000028,Karben,61184,Germany,8.76638154614189,50.2360498594055,2020-01-30,2019-11-28,2020-01-31,2020-01-30,2020-01-30,2020-01-29,Germany,1,On-Time Delivery
K03665,INTEG GmbH,EB19/3667,18200833,Bad Driburg,33014,Germany,9.03938946669355,51.7264934967476,2020-01-30,2019-02-21,2020-01-31,2020-01-30,2020-01-30,2020-01-29,Germany,1,On-Time Delivery
K03398,SKP Technik GmbH,EB19/3668,18201251,Neunkirchen,91077,Germany,11.1403446398452,49.6232913184795,2020-01-31,2019-11-25,2020-03-02,2020-01-31,2020-01-31,2020-01-30,Germany,1,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3941,HDE0H03347,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-01-31,2019-12-19,2020-03-02,2020-01-31,2020-01-31,2020-01-30,Germany,1,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3941,HDE0H03448,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-01-31,2019-12-19,2020-03-02,2020-01-31,2020-01-31,2020-01-30,Germany,1,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3941,HDE0H03445,Bretten,75015,Germany,8.70609866530866,49.0447225640361,2020-01-31,2019-12-19,2020-03-02,2020-01-31,2020-01-31,2020-01-30,Germany,1,On-Time Delivery
K03252,TE Connectivity Germany GmbH,EB20/0111,TF00000002,Bensheim,64625,Germany,8.62367317247249,49.6931091860376,2020-03-02,2020-01-22,2020-04-02,2020-03-02,2020-01-31,2020-03-02,Germany,0,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB20/0006,17200125,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-03-02,2019-12-30,2020-04-02,2020-03-02,2020-03-02,2020-02-02,Germany,29,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/3799,17200132,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-03-02,2019-12-30,2020-04-02,2020-03-02,2020-03-02,2020-02-02,Germany,29,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB20/0026,90082808,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-03-02,2020-01-20,2020-04-02,2020-03-02,2020-03-02,2020-02-02,Germany,29,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB20/0039,KU00022240-1,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-03-02,2019-12-30,2020-01-16,2020-03-02,2020-03-02,2020-02-02,Germany,29,On-Time Delivery
K00876,Air Liquide Deutschland GmbH,EB20/0205,M0000005,Kornwestheim,70806,Germany,9.18489873746271,48.8680494158472,2020-04-02,2020-01-30,2020-04-02,2020-04-02,2020-04-02,2020-03-02,Germany,31,On-Time Delivery
K00016,Höttges,EB19/3738,KU00057378,Berlin,13437,Germany,13.3313128005558,52.5918836351775,2020-01-17,2019-03-12,2020-04-02,2020-01-17,2020-01-17,2020-02-02,Germany,-16,Late Delivery
K04797,Rausch & Pausch GmbH,EB20/0169,RA00000340,Selb,95100,Germany,12.1406449046142,50.1604995169849,2020-07-02,2020-01-22,2020-05-02,2020-07-02,2020-05-02,2020-04-02,Germany,91,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0159,O3 1-1393565-8,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-06-02,2020-01-23,2020-06-02,2020-06-02,2020-06-02,2020-05-02,Germany,31,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0159,O3 1393582-4,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-06-02,2020-01-23,2020-06-02,2020-06-02,2020-06-02,2020-05-02,Germany,31,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0159,25000041,Teltow,14513,Germany,13.2772322454355,52.3868799999217,2020-06-02,2020-01-30,2020-06-02,2020-06-02,2020-06-02,2020-05-02,Germany,31,On-Time Delivery
K00206,Kaiser & Waltermann GmbH,EB19/3849,KU00021686,Sunder/Amecke,59846,Germany,8.00446923438857,51.3128894759164,2020-07-02,2019-12-13,2020-06-02,2020-07-02,2020-07-02,2020-04-02,Germany,91,On-Time Delivery
K02742,Raithel & Co. GmbH,EB19/3841,29300358,Weißenstadt,95163,Germany,11.888663943097,50.1091247647347,2020-01-31,2019-12-13,2020-06-02,2020-01-31,2020-01-31,2020-04-02,Germany,-62,Late Delivery
K03252,TE Connectivity Germany GmbH,EB20/0190,DMR0000003,Bensheim,64625,Germany,8.62367317247249,49.6931091860376,2020-02-04,2019-11-25,2020-06-02,2020-02-04,2020-01-31,2020-04-02,Germany,-58,Late Delivery
K03252,TE Connectivity Germany GmbH,EB20/0112,TF00000005,Bensheim,64625,Germany,8.62367317247249,49.6931091860376,2020-05-02,2020-01-22,2020-06-02,2020-05-02,2020-02-14,2020-04-02,Germany,30,On-Time Delivery
K03447,Weppler Filter GmbH,EB19/3653,HDE0H39001,Oberursel,61440,Germany,8.55251901954204,50.2097968873942,2020-07-02,2019-11-25,2020-06-02,2020-07-02,2020-07-02,2020-05-02,Germany,61,On-Time Delivery
K03545,Püplichhuisen Kabeltechnik Gmb,EB19/3896,17200142,Sömmerda,99610,Germany,11.1821657694853,51.1498659920144,2020-07-02,2019-12-16,2020-06-02,2020-07-02,2020-07-02,2020-05-02,Germany,61,On-Time Delivery
K02814,Igus GmbH,EB19/3897,17200145,Köln,51147,Germany,7.10995826326036,50.8700551931042,2020-07-02,2019-12-16,2020-06-02,2020-07-02,2020-07-02,2020-05-02,Germany,61,On-Time Delivery
K00258,Tampoprint GmbH,EB20/0186,05934686,Korntal-Münchingen,70825,Germany,9.10080576610693,48.8486224696136,2020-07-02,2020-01-29,2020-07-02,2020-07-02,2020-07-02,2020-06-02,Germany,30,On-Time Delivery
K02683,Allbox NV,EB19/3700,S1 0-1498024-1,Harelbeke,BE-8530,Belgium,,,2020-07-02,2020-01-17,2020-10-02,2020-07-02,2020-07-02,2020-09-02,Europe,-62,Late Delivery
K02747,PRETTL GmbH,EB19/3651,HDE0H20006,Pfullingen,72793,Germany,9.21930540701823,48.4528374340342,2020-07-02,2019-11-25,2020-10-02,2020-07-02,2020-07-02,2020-09-02,Germany,-62,Late Delivery
K03959,Robert Bosch GmbH,EB19/3261,ZG00003066,Blaichach,87542,Germany,,,2020-07-02,2019-10-23,2020-10-02,2020-07-02,2020-07-02,2020-09-02,Germany,-62,Late Delivery
K03398,SKP Technik GmbH,EB19/3769,D410114063,Neunkirchen,91077,Germany,11.1403446398452,49.6232913184795,2020-05-02,2019-01-11,2020-10-02,2020-05-02,2020-10-01,2020-09-02,Germany,-123,Late Delivery
K04797,Rausch & Pausch GmbH,EB20/0169,RA00000340,Selb,95100,Germany,12.1406449046142,50.1604995169849,2022-02-02,2020-01-31,2020-10-02,2022-02-02,2020-02-14,2020-09-02,Germany,518,On-Time Delivery
K04797,Rausch & Pausch GmbH,EB20/0169,RA00000340,Selb,95100,Germany,12.1406449046142,50.1604995169849,2022-02-02,2020-02-14,2020-10-02,2022-02-02,2020-02-28,2020-09-02,Germany,518,On-Time Delivery
K03252,TE Connectivity Germany GmbH,EB19/0230,DMR0000014,Bensheim,64625,Germany,8.62367317247249,49.6931091860376,2022-02-02,2019-11-21,2020-11-02,2022-02-02,2020-10-01,2020-10-02,Germany,488,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/1921,28035555,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-10-02,2020-06-01,2020-11-02,2020-10-02,2020-10-02,2020-09-02,Germany,30,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB20/0071,28000916,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-10-02,2020-01-27,2020-11-02,2020-10-02,2020-10-02,2020-09-02,Germany,30,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/0288,05920210,Berlin,14167,Germany,13.2796062383123,52.4232104487911,2020-10-02,2019-12-23,2020-11-02,2020-10-02,2020-10-02,2020-09-02,Germany,30,On-Time Delivery
