vendor_no,vendor_name,order_no,delivery_no,city,postcode,state,community,country,longitude,latitude,expected_date,order_date,posting_date,promised_date,requested_date,delivery_date,region,days_variance,otd_ld
K02650,Bandstahlservice Schlag GmbH,EB19/3412,04322453,Chemnitz,09126,,,Germany,,,2020-10-01,2019-05-11,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/3704,KU00024748-4,Berlin,14167,Berlin,"Berlin, Stadt",Germany,13.2765,52.4212,2020-08-01,2019-03-12,2020-10-01,2020-08-01,2020-08-01,2020-09-01,Germany,-31,Late Delivery
K04573,EAP Großhandels GmbH,EB19/3854,M080000142,Dornhan,72175,Baden-Württemberg,Rottweil,Germany,8.509,48.3501,2020-10-01,2019-12-13,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K00752,Adam Bornbaum GmbH,EB19/3277,28000652,Neuhausen/Enzkreis,75242,Baden-Württemberg,Enzkreis,Germany,8.7765,48.7926,2020-10-01,2019-10-23,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210796,Stuttgart,70565,Baden-Württemberg,Stuttgart,Germany,9.1464,48.7258,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210796,Stuttgart,70565,Baden-Württemberg,Stuttgart,Germany,9.1509,48.7124,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210796,Stuttgart,70565,Baden-Württemberg,Stuttgart,Germany,9.1181,48.7195,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210796,Stuttgart,70565,Baden-Württemberg,Stuttgart,Germany,9.1247,48.7249,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210796,Stuttgart,70565,Baden-Württemberg,Stuttgart,Germany,9.106,48.7172,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03094,Trelleborg Sealing Solutions,EB19/3347,HDE0210796,Stuttgart,70565,Baden-Württemberg,Stuttgart,Germany,9.1833,48.7667,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03665,INTEG GmbH,EB19/3666,18200833,Bad Driburg,33014,Nordrhein-Westfalen,Höxter,Germany,9.0197,51.733,2020-10-01,2019-11-25,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K03665,INTEG GmbH,EB19/3670,18200837,Bad Driburg,33014,Nordrhein-Westfalen,Höxter,Germany,9.0197,51.733,2020-10-01,2019-11-25,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K02517,Pöppelmann GmbH & Co. KG,EB19/3346,HDE0900204,Lohne,49393,Niedersachsen,Vechta,Germany,8.225,52.6589,2020-10-01,2019-10-31,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K00967,SHC GmbH,EB19/3878,26003010,Karben,61184,Hessen,Wetteraukreis,Germany,8.7716,50.2302,2022-02-02,2019-12-16,2020-01-13,2022-02-02,2020-01-17,2020-12-01,Germany,428,On-Time Delivery
K04661,F. & W. Schmidt oHG,EB19/3657,HDE0446705,Renningen,71272,Baden-Württemberg,Böblingen,Germany,8.9387,48.7697,2020-01-24,2019-11-25,2020-01-13,2020-01-24,2020-01-24,2020-12-01,Germany,-312,Late Delivery
K04717,WfB Lippstadt GmbH,EB19/3258,HES0068901,Lippstadt,59556,Nordrhein-Westfalen,Soest,Germany,8.35,51.6667,2020-10-01,2019-10-22,2020-01-13,2020-10-01,2020-10-01,2020-12-01,Germany,-61,Late Delivery
K04797,Rausch & Pausch GmbH,EB19/3290,RA00000380,Selb,95100,Bayern,Wunsiedel i.Fichtelgebirge,Germany,12.1305,50.1706,2020-01-16,2019-09-26,2020-01-15,2020-01-16,2019-10-28,2020-01-14,Germany,2,On-Time Delivery
K00295,ALBIS Plastic GmbH,EB19/2287,HDE0953402,Berlin,10713,Berlin,"Berlin, Stadt",Germany,13.3133,52.4851,2020-10-01,2019-08-07,2020-01-15,2020-10-01,2020-10-01,2020-01-14,Germany,261,On-Time Delivery
K04659,Robert Bosch GmbH,EB19/0261,HDE0001114,Bamberg,96052,Bayern,Bamberg,Germany,10.8951,49.9083,2020-01-15,2019-11-25,2020-01-15,2020-01-15,2020-01-15,2020-01-14,Germany,1,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/3704,O3 1412619-2,Berlin,14167,Berlin,"Berlin, Stadt",Germany,13.2765,52.4212,2020-01-13,2019-11-28,2020-10-01,2020-01-13,2020-10-01,2020-09-01,Germany,-232,Late Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03451,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03450,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03449,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03447,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03352,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03350,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03349,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03348,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03347,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03346,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K04152,Klumpp GmbH & Co. KG,EB19/3659,HDE0H03354,Bretten,75015,Baden-Württemberg,Karlsruhe,Germany,8.7075,49.0369,2020-10-01,2019-11-25,2020-10-01,2020-10-01,2020-10-01,2020-09-01,Germany,30,On-Time Delivery
K00633,Teltower Diakon. Werkstätten,EB20/0008,39403559,Teltow,14513,Brandenburg,Landkreis Potsdam-Mittelmark,Germany,13.2601,52.4031,2020-01-13,2019-11-27,2020-01-15,2020-01-13,2020-01-13,2020-01-14,Germany,-1,Late Delivery
K03252,TE Connectivity Germany GmbH,EB19/0232,DMR0000015,Bensheim,64625,Hessen,Bergstraße,Germany,8.6184,49.6837,2020-10-01,2019-11-21,2020-01-16,2020-10-01,2020-10-01,2020-01-15,Germany,260,On-Time Delivery
K03959,Robert Bosch GmbH,EB19/3452,ZG00003070,Blaichach,87542,,,Germany,,,2020-01-17,2019-07-11,2020-01-16,2020-01-17,2020-01-17,2020-01-15,Germany,2,On-Time Delivery
K02826,Clever Systemtechnik GmbH,EB19/3843,25000045,Schnaittach,91220,Bayern,Nürnberger Land,Germany,11.3433,49.5596,2020-01-17,2019-12-13,2020-01-16,2020-01-17,2020-01-17,2020-01-15,Germany,2,On-Time Delivery
K00623,Brenntag GmbH,EB19/3820,00980239,Berlin,12347,Berlin,"Berlin, Stadt",Germany,13.4281,52.4509,2020-10-01,2019-12-12,2020-01-17,2020-10-01,2020-10-01,2020-01-16,Germany,259,On-Time Delivery
K04386,Diehl Metal Applications GmbH,EB19/3806,90082951,Berlin,14167,Berlin,"Berlin, Stadt",Germany,13.2765,52.4212,2020-01-13,2019-12-17,2020-01-17,2020-01-13,2020-01-13,2020-01-16,Germany,-3,Late Delivery
K00967,SHC GmbH,EB19/3663,18000000,Karben,61184,Hessen,Wetteraukreis,Germany,8.7716,50.2302,2020-01-17,2019-11-25,2020-01-17,2020-01-17,2020-01-17,2020-01-16,Germany,1,On-Time Delivery
K02742,Raithel & Co. GmbH,EB19/3278,29301050,Weißenstadt,95163,Bayern,Wunsiedel i.Fichtelgebirge,Germany,11.8885,50.1022,2020-01-17,2019-10-23,2020-01-17,2020-01-17,2020-01-17,2020-01-16,Germany,1,On-Time Delivery
K02742,Raithel & Co. GmbH,EB19/3415,KU00017704,Weißenstadt,95163,Bayern,Wunsiedel i.Fichtelgebirge,Germany,11.8885,50.1022,2020-01-17,2019-05-11,2020-01-17,2020-01-17,2020-01-17,2020-01-16,Germany,1,On-Time Delivery
K00031,Richard Bergner Verbindungs-,EB19/3354,OE00492472,Schwabach,91126,Bayern,Kreisfreie Stadt Schwabach,Germany,11.0235,49.3305,2020-01-17,2019-01-11,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K00031,Richard Bergner Verbindungs-,EB19/3354,OE00492472,Schwabach,91126,Bayern,Landkreis Roth,Germany,10.9728,49.2932,2020-01-17,2019-01-11,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K00031,Richard Bergner Verbindungs-,EB19/3354,OE00492472,Schwabach,91126,Bayern,Landkreis Roth,Germany,11.08,49.3009,2020-01-17,2019-01-11,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K01031,Epoxonic GmbH,EB19/3786,00987816,Landsham/Pliening,85652,Bayern,Landkreis Ebersberg,Germany,11.8007,48.1956,2020-01-17,2019-10-12,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K01031,Epoxonic GmbH,EB19/3786,00987836,Landsham/Pliening,85652,Bayern,Landkreis Ebersberg,Germany,11.8007,48.1956,2020-01-17,2019-10-12,2020-01-20,2020-01-17,2020-01-17,2020-01-19,Germany,-2,Late Delivery
K03902,Rene Schwab,EB19/3946,22001649,Schnelldorf,91625,Bayern,Landkreis Ansbach,Germany,10.2321,49.1705,2020-01-21,2019-12-19,2020-01-20,2020-01-21,2020-01-21,2020-01-19,Germany,2,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3857,17200120,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1555,49.5325,2020-01-31,2019-12-13,2020-01-20,2020-01-31,2020-01-24,2020-01-19,Germany,12,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3857,17200120,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1335,49.5579,2020-01-31,2019-12-13,2020-01-20,2020-01-31,2020-01-24,2020-01-19,Germany,12,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,28003127,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1555,49.5325,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,28003127,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1335,49.5579,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,28004304,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1555,49.5325,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,28004304,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1335,49.5579,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29300313,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1555,49.5325,2020-01-31,2019-10-23,2020-01-20,2020-01-31,2020-01-31,2020-01-19,Germany,12,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29300313,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1335,49.5579,2020-01-31,2019-10-23,2020-01-20,2020-01-31,2020-01-31,2020-01-19,Germany,12,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29301259,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1555,49.5325,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29301259,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1335,49.5579,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
K00168,Walter Schön GmbH,EB19/3275,29301270,Heroldsberg,90562,Bayern,Landkreis Erlangen-Höchstadt,Germany,11.1555,49.5325,2020-01-24,2019-10-23,2020-01-20,2020-01-24,2020-10-01,2020-01-19,Germany,5,On-Time Delivery
