provider_no,city,last_date_modified,location_code,post_code,search_name
K00255,Eching,2020-02-21,A-01,84174,MEKU/ WANDERER
K00258,Korntal-Münchingen,2021-12-10,A-01,70825,TAMPOPRINT
K00259,Welden,2021-01-06,A-01,86463,FRITSCH
K00260,Salach,2020-02-21,A-01,73084,OTRA
K00262,Berlin,2021-10-20,A-01,12103,MEUMANN
K00263,Teltow,2021-10-20,A-01,14513,DH
K00264,Esslingen,2020-01-25,B-01,73701,BÄDER
K00267,Dietingen,2020-02-21,A-01,78661,OHNMACHT G
K00268,Salzweg,2021-10-13,A-01,94121,ELECTROVAC HACHT & HUBER GMBH
K00269,Berlin,2020-02-21,A-01,12103,SPK
K00270,Peiting-Herzogsägmühle,2020-02-21,A-01,86971,HERZOGSÄGMÜHLER WERKSTÄTTEN
K00272,Tiefenbronn,2020-02-21,A-01,75233,PRÄZISA(ALT:BISCHOFF&SCHNEIDER
K00273,Neu-Isenburg,2021-05-17,A-01,63263,ARROW
K00276,Bünde,2020-02-21,A-01,32257,BOPLA
K00278,Trebbin,2022-01-18,B-01,14959,ÖL- & FILTER VERTRIEBS GMBH
K00282,Haan,2020-02-21,A-01,42781,DONALDSON/ ULTRAFILTER/
K00285,Pfaffenhofen,2020-02-21,A-01,85276,MATSUSHITA
K00286,Metzingen,2021-05-28,A-01,72541,GUTEKUNST FEDER
K00287,Pfalzgrafenweiler,2020-02-21,A-01,72285,GUTEKUNST STAHL
K00289,Karlsfeld,2020-02-21,A-01,85757,PLETTNER
K00293,Wildeshausen,2020-02-21,A-01,27779,GRASHORN
K00295,Berlin,2020-09-09,B-01,10713,ALBIS PLASTIC
K00296,Berlin,2020-02-21,A-01,12247,IBH HAMMER GMBH
K00302,Göppingen,2020-02-21,A-01,73037,SAXONIA-FR
K00304,Berlin,2021-08-10,A-01,13357,DITTEL
K00306,Seelbach,2020-02-21,A-01,77960,JULABO
K00307,Villingen-Schwenningen,2020-02-21,A-01,78050,WIELAND
K00308,Markgröningen,2020-01-25,A-01,71706,NORELEM NO
K00310,Berlin,2020-02-21,A-01,13409,FRIPA PAPIERFABRIK
K00312,Langenfeld,2020-02-21,A-01,40764,ALPHA METALS
K00313,Wirges,2020-01-25,A-01,56422,CHEMET GMBH
K00314,Garbsen,2020-02-21,A-01,30827,LPKF LASER & ELECTRONICS AG
K00321,Schmölln,2020-02-21,A-01,04626,HASCO
K00323,Braunschweig,2020-02-21,A-01,38112,KROSCHKE
K00325,Putzbrunn,2020-02-21,A-01,85640,MEGATRON K
K00328,Berlin,2021-08-10,A-01,12681,LEPKOJUS ALBA
K00331,Waldkirch,2021-08-31,A-01,79183,SFERAX
K00332,Pforzheim,2021-08-10,A-01,75181,CREDE
K00334,Velten,2020-02-21,A-01,16727,PK ELEKTRONIK
K00336,Gernsbach,2020-01-25,A-01,76593,BURSTER GM
K00337,Berlin,2020-02-21,A-01,12159,WAIT
K00341,Ludwigshafen,2020-02-21,A-01,67065,PHYSIODERM
K00355,Betzdorf/Sieg,2020-02-21,A-01,57518,SSI SCHÄFER SHOP
K00358,Wipperfürth,2020-02-21,A-01,51668,NAWROT
K00368,Nordheim,2020-01-25,A-01,74226,GEBRÜDER EBERHARD
K00370,Böblingen,2021-12-10,A-01,71034,AGILENT
K00371,Leipzig,2020-02-21,A-01,04416,SPOERLE LEIPZIG/ARROW
K00374,Berlin,2021-12-10,A-01,14059,BÖHNE
K00376,Ettlingen,2021-12-10,A-01,76275,SOMMER
K00382,Berlin,2020-01-25,A-01,10829,MOSER GMBH
K00385,Oehringen,2020-02-21,A-01,74613,HKT  HOHENLOHER
K00388,Berlin,2021-07-09,A-01,13407,ALBA
K00392,Berlin,2021-12-10,A-01,12357,CARL STAHL GMBH VELTEN
K00394,Stapelfeld - Braak,2021-03-24,A-01,22145,MÄDLER HAMBURG
K00401,Weissach,2020-02-21,A-01,71287,TAMPOFLEX
K00405,Schöneiche,2020-01-25,B-01,15566,HELLBUT
K00407,Esslingen,2020-02-21,A-01,73734,FUCHS
K00408,Berlin,2020-02-21,A-01,12055,NIELSEN
K00409,Ludwigsburg,2020-02-21,A-01,71636,P/A GMBH
K00410,Berlin,2021-11-26,A-01,13403,INITIAL
K00417,Unterschleißheim,2020-02-21,A-01,85716,KELLER & K
K00418,Bad Staffelstein,2021-12-10,A-01,96231,RÖSLER
K00419,Celle,2021-12-10,A-01,29223,HOSTMANN-STEINBERG
K00421,Altena-Dahle,2022-10-01,B-01,58754,MÖHLING GMBH & CO. KG
K00423,Puchheim b. München,2020-02-21,A-01,82178,MEILHAUS E
K00424,Neunkirchen,2020-02-21,A-01,57290,SCHÄFER
K00430,Vöhringen,2021-12-10,A-01,72189,CHEMIE-TECH
K00436,Erkrath,2020-02-21,A-01,40699,NORDSON EFD /GLT DEUTSCHLAND
K00437,Heidelberg,2020-01-25,A-01,69126,REICHELT CHEMIETECHNIK
K00444,Berlin,2020-01-25,A-01,13597,RICHTER
K00476,Tiefenbronn,2020-02-21,A-01,75233,PKT
K00480,Blankenfelde,2021-04-22,A-01,15827,TBN - ABSAUGTECHNIK GMBH
K00491,Groß-Kienitz,2021-10-09,A-01,15831,PROFILEX
K00497,Engen,2020-07-10,A-01,78234,FIXTEST
K00498,Syke,2020-02-21,A-01,28857,BALKHAUSEN BRADY
K00502,Berlin,2020-02-21,A-01,10559,BRAUER
K00503,Berlin,2021-10-13,A-01,12277,OTB
K00507,Berlin 20,2020-02-21,A-01,13597,IKEA BERLIN
K00512,Oberkochen,2020-02-21,A-01,73447,RÖCHLING
K00514,Aschheim,2020-01-25,A-01,85609,FARNELL
K00532,Gräfelfing,2021-10-13,A-01,82166,HADERSBERGER
K00535,Offenbach,2020-02-21,A-01,63069,VDE
K00537,Olpe / B,2020-02-21,A-01,57462,KEMPER METALLWERK
K00538,Remscheid-Lüttringhausen,2021-10-13,A-01,42899,WEHA-PLAST
K00555,Hamburg,2020-02-21,A-01,22587,ATLANTEX ANFAHRSCHUTZ GMBH
K00559,Bensheim,2020-01-25,A-01,64625,LEICA
K00560,Kissing,2020-09-29,A-01,86426,WEKA MEDIA GMBH & CO. KG
K00584,Trutnov,2021-01-10,A-01,CZ-54183,TYCO TRUTNOV
K00588,Rottendorf,2020-02-21,A-01,97228,FRANKONIA
K00592,Düsseldorf,2020-02-21,A-01,40008,BÜRKLIN OHG DÜSSELDORF
K00596,Zehdenick,2020-04-24,A-01,16792,DIEHL ADVANCED MOBILITY GMBH
K00608,Essen,2021-08-25,A-01,45128,IFM
K00615,Berlin,2020-01-25,A-01,10559,KUNZ INDUSTRIE-
K00620,Teltow,2021-02-12,A-01,14513,WSD PERMANENT SECURITY GMBH
K00621,Pozuelo de Alarcón (Madrid),2021-10-27,A-01,ES-28224,DODUCO
K00623,Berlin,2021-12-17,B-01,12347,BRENNTAG
K00626,München,2021-12-22,A-01,80807,AMAZON
K00627,Teltow,2020-02-21,A-01,14513,AUTOHAUS AM BAHNHOF TELTOW GMB
K00633,Teltow,2020-07-04,A-01,14513,TELTOWER DIAKONIE TDW
K00634,Nauen OT Wachow,2021-10-13,A-01,14641,LTG
K00636,Kleinmachnow,2021-10-14,A-01,14532,HEGENBART
K00638,München,2020-02-21,A-01,80339,NATIONAL
K00644,Braunschweig,2021-05-03,A-01,38132,PERSCHMANN HOFFMANN GROUP
K00650,Stahnsdorf,2021-10-13,A-01,14532,FÜLLNER
K00653,Saarbrücken,2021-10-13,A-01,66140,ANTERIST & SCHNEIDER
K00654,Rudolstadt,2021-08-07,B-01,07407,RATIOFORM VERPACKUNGEN GMBH
K00659,Berlin,2020-02-21,A-01,13156,VEMATEC GMBH
K00663,Berlin,2020-01-25,A-01,12349,WELZER
K00664,Teltow,2021-10-14,A-01,14513,SOLAR GMBH
K00665,Schorndorf,2020-01-25,B-01,73614,GF MACHINING (EHEM. AGIE)
K00667,Stuttgart,2020-02-21,A-01,70499,OVIVO / UT+S
K00669,Bielefeld,2020-02-21,A-01,33739,BOGE
K00681,Berlin,2020-02-21,A-01,12459,PROSOL GMBH
K00684,Berlin,2020-02-21,A-01,13509,HEYDRICH
K00687,Schwaigern,2020-01-25,B-01,74193,SÖHNER
K00691,Berlin,2020-02-21,A-01,13441,DUBLOSAN
K00692,Münsingen,2021-07-07,A-01,72525,HPM TECHNOLOGIE /PFEIFFER
K00694,Heppenheim,2020-02-21,A-01,64646,KLN
K00695,Aalen,2020-02-21,A-01,73431,FRANKE
K00697,Kirchheim/T.,2020-02-21,A-01,73219,DUNKES
K00705,Leipzig,2020-02-21,A-01,04315,BCD/BIESTERFELD CHEMIE
K00708,Berlin,2021-10-14,A-01,12163,VOIGTLÄNDER BÜROMASCHINEN
K00710,Freising,2020-02-21,A-01,85356,KÖSTLERATK
K00714,Stuttgart,2020-02-21,A-01,70563,STAPLES DEUTSCHLAND STUTTGART
K00715,Hamburg,2020-02-21,A-01,22771,PHILIPS COMPONENTS
K00720,Salzuflen,2020-02-21,A-01,32108,LICEFA
K00721,Berlin,2020-02-21,A-01,12681,RECALL/BÖHM INDUPA
K00722,Velen,2020-06-23,A-01,46342,TEKA
K00724,Dahlewitz,2021-09-15,A-01,15827,HILDEBRANDT & BARTSCH
K00731,Berlin,2021-10-14,A-01,12057,BORCHARDT
K00732,Berlin,2020-01-25,A-01,12277,GUK
K00733,Sarstedt,2021-05-25,A-01,31157,REKER
K00736,Berlin,2020-01-25,A-01,12105,IBS MAGNET
K00739,Berlin,2020-02-21,A-01,14050,KELSKI
K00740,Velten,2020-02-21,A-01,16727,WÜRFEL KUNSTSTOFFTECHNIK GMBH
K00742,Berlin,2020-02-21,A-01,12681,IPH
K00744,Berlin,2021-10-14,A-01,10365,BRONST
K00745,Berlin,2021-10-14,A-01,13509,SATTELMACHER
K00750,Berlin - Altglienicke,2020-02-21,A-01,12524,LÖWE
K00752,Neuhausen/Enzkreis,2020-02-21,A-01,75242,BORNBAUM
K00754,Strausberg,2020-02-21,A-01,15344,PRO EMV
K00755,Mahlow,2020-01-25,A-01,15831,TRESCAL (LIVINGSTON)
K00758,Nürnberg,2021-08-09,A-01,90016,DHL NÜRNBERG
K00762,Köln,2020-02-21,A-01,50656,GEZ
K00773,Berlin,2020-01-25,A-01,12459,BETECH GUMMI- UND
K00774,Paretz,2021-10-14,A-01,14669,SUTTER
K00780,Stuttgart,2020-01-25,B-01,70469,ERNST MÜLLER
K00784,WASBEK,2020-01-25,A-01,24647,KNUTH
K00785,Mönchengladbach,2020-02-21,A-01,41199,HEBRO
K00796,Ludwigsfelde,2021-10-22,A-01,14974,REINKE MECHANISCHE WERKSTATT
K00800,Kloster Lehnin  OT Prützke,2020-02-21,A-01,14797,REMONDIS REGION OST
K00805,Bonn,2020-02-21,A-01,53171,T-MOBIL
K00806,Kitzingen,2020-01-27,A-01,97318,ROTHE
K00810,Baden-Baden,2020-09-18,A-01,76532,"DME NORMALIEN, MILACRON"
K00811,Friedrichsdorf,2020-04-24,A-01,61361,COLORTRONI
K00822,Nürnberg,2020-02-21,A-01,90475,WITTMANN BATTENFELD
K00825,Furtwangen,2020-02-21,A-01,78120,GANTER
K00831,Ludwigsfelde,2021-02-11,A-01,14974,KRAUSS
K00833,Berlin,2020-02-21,A-01,12435,EROTEC
K00834,Wilhelmsdorf,2021-10-14,A-01,91489,MANFRED JACOB
K00836,Stahnsdorf,2020-02-21,A-01,14532,KRAUSE METALLBAU
K00839,Alfdorf,2021-10-14,A-01,73553,KALEJA
K00850,Kleinmachnow,2020-02-21,A-01,14532,KEINERT
K00851,Aldingen,2020-02-21,A-01,78554,SPRENGER
K00853,Stahnsdorf,2020-02-21,A-01,14532,ROSEMANN & SOHN GBR
K00857,Böblingen,2020-02-21,A-01,71034,HEWLETT-PACKARD
K00858,Isernhagen,2020-02-21,A-01,30907,SITRON
K00864,Steinheim,2021-10-14,A-01,71711,HAUBER & GRAF
K00870,Leingarten,2020-02-21,A-01,74211,GESSMANN KNIPPING
K00872,Sinsheim,2020-02-21,A-01,74889,WELLPAPPENWERK BRUCHSAL
K00874,Windach,2020-02-21,A-01,86949,DELO
K00877,Egelsbach,2020-02-26,A-01,63329,SMC EGELSBACH
K00883,Berlin,2021-10-14,A-01,10553,IME
K00885,Müncheberg,2020-01-25,A-01,15374,EROCONTUR
K00898,Kempten,2020-02-21,A-01,87437,LEBERT
K00901,Dresden,2021-05-26,A-01,01067,KNÜPPEL
K00902,Berlin,2020-02-21,A-01,13435,SCHRAUBEN SCHOLZ
K00903,Bad Belzig,2020-02-21,A-01,14806,PM LANDKREIS POTSD.
K00905,Neu - Isenburg,2021-07-22,A-01,63263,KEYENCE
K00906,Neuss,2020-01-25,A-01,41469,MITUTOYO
K00908,Giessen,2020-01-25,A-01,35394,WERTH
K00910,Eningen,2020-02-21,A-01,72800,ADELHELM LUBRICOAT GMBH
K00914,Gräfelfing,2020-02-21,A-01,82166,HÖNLE
K00917,Erzhausen,2020-02-21,A-01,64390,TOPCART
K00921,Goslar,2020-02-21,A-01,68640,JL GOSLAR
K00922,Stuttgart-Zuffenhausen,2020-02-21,A-01,70435,VON WIRTH
K00927,Lauffen / Neckar,2021-05-07,A-01,74348,SCHUNK
K00928,Berlin,2021-04-10,A-01,12099,MINIMAX
K00935,Renningen,2020-03-11,A-01,71272,WELO
K00937,Berlin,2020-02-21,A-01,12357,DALLMAYR
K00938,Potsdam,2020-02-21,A-01,14469,TÜV INDUSTRIE POTSDAM
K00939,Lambrecht,2020-02-21,A-01,67466,JOLA
K00943,Tione di Trento,2021-12-16,A-01,IT-38079,MARCHESI
K00946,Berlin,2020-02-21,A-01,12487,FRIEBAU FRIE-BAU
K00951,Düsseldorf,2020-01-25,A-01,40549,THREE BOND
K00952,Berlin,2020-02-21,A-01,13599,PISCHKE / PRO BLECH
K00958,Berlin,2020-02-21,A-01,13581,DMG BERLIN
K00962,Teltow,2021-10-14,A-01,14513,AUTOCENTRUM TELTOW
K00965,Berlin,2020-02-21,A-01,12489,CSE
K00967,Karben,2020-01-25,A-01,61184,SHC
K00979,Solingen,2021-09-23,A-01,42699,ITEM INDUSTRIETECHNIK
K00980,Straubenhardt,2020-02-21,A-01,75334,TBH
K00984,Ilmenau,2020-02-21,A-01,98693,TETRA
K00986,Hamburg,2020-02-21,A-01,20354,LEHMANN
K00989,Puchheim,2020-02-21,A-01,82178,STEMMER
K01000,Potsdam,2020-01-25,A-01,14482,PCH TECHNISCHER HANDEL GMBH
K01006,Berlin,2020-02-21,A-01,10623,TU BERLIN
K01019,Erkner,2020-12-10,A-01,15537,RELI
K01020,Schwelm,2020-02-21,A-01,58315,SCHMIDT-GEVELSBERG GMBH
K01026,Neumünster,2020-02-21,A-01,24539,HERBERT VOIGT
K01029,Frankfurt,2020-02-21,A-01,60486,AMEX
K01031,Landsham/Pliening,2021-12-15,A-01,85652,EPOXONIC GMBH
K01033,Pullach,2021-10-18,A-01,82049,SCHAHL
K01036,Werder (Havel),2020-01-25,A-01,14542,LJU
K01039,Wansdorf,2020-02-21,A-01,14641,INGO PAPPEN UND PAPIER
K01045,Berlin,2021-10-18,A-01,10827,FEST ELEKTRONIK
K01047,Reutlingen,2021-10-18,A-01,72766,BETZ
K01051,Teltow,2020-02-21,A-01,14513,WISAG TELTOW
K01054,Falkensee,2020-02-21,A-01,14612,STUCK
K01056,Köln,2020-02-21,A-01,50668,ARMCO
K01064,Oranienburg,2020-02-21,A-01,16515,GLEITSCHLIFF
K01069,Reutlingen,2021-10-18,A-01,72774,SFG
K01072,Berlin,2020-02-21,A-01,13125,LEUENDORFF
K01077,Wuppertal,2020-02-21,A-01,42279,DELTA V GMBH
K01078,Padova,2020-02-21,A-01,IT-35127,PRIMA ZANETTI S.R.L.
K01081,Stuttgart,2020-02-21,A-01,70327,KENT STUTTGART GMBH
K01087,Berlin,2020-02-21,A-01,13127,GARLEFF
K01095,Schnaitterbach,2020-02-21,A-01,92250,BUSCH
K01097,Berlin,2021-12-04,A-01,10407,AUCOTEAM
K01107,Murrhardt,2020-01-25,B-01,71540,BOSCH REXROTH MURRHARDT
K01109,Villingen-Schwenningen,2020-02-21,A-01,78024,STEINEL
K01110,Schramberg,2020-01-25,A-01,78713,TRUMPF LASER / HAAS LASER
K01115,Karlstein,2020-02-21,A-01,63791,DÜPERTHAL
K01116,Schneverdingen,2021-10-18,A-01,29640,ULLRICH
K01121,Castelleone / Cremona,2020-02-21,A-01,IT-26011,MARSILLI
K01125,Berlin,2021-10-18,A-01,12169,SEIDEL
K01126,Kleinmachnow,2021-10-18,A-01,14532,NH BERLIN / POTSDAM
K01130,Redwitz,2020-02-21,A-01,96257,METALOR/ DEUTSCHLAND
K01134,Kalefeld,2020-02-21,A-01,37589,BOSCH KALEFELD POWER TOOLS
K01143,Krefeld,2020-02-21,A-01,47705,CANON
K01144,Kelsterbach,2021-01-12,A-01,65451,FEDEX FEDERAL EXPRESS
K01153,Bielefeld,2021-10-18,A-01,33670,WAHL
K01166,Teltow,2020-02-21,A-01,14513,BLANKENBURG
K01168,Konstanz,2020-02-21,A-01,78464,CHRISTIANI
K01173,Taunusstein,2020-02-21,A-01,65232,PÜTZ
K01174,Velten,2020-02-21,A-01,16727,DFV
K01176,Bueckeburg,2020-02-21,A-01,31675,SE SPEZIAL-ELECTRONIC AG
K01181,Halver,2020-02-21,A-01,58542,FEBROTEC
K01194,Wetzikon,2020-02-21,A-01,CH-8623,KABA
K01195,Speyer,2020-02-21,A-01,67343,TYCO SPEYER
K01198,Usingen,2020-02-21,A-01,61250,HAUFE
K01200,Limburg,2020-02-21,A-01,65555,VIDEOJET
K01203,München,2020-02-21,A-01,81825,MAXON MOTOR
K01224,Wustermark,2020-01-25,B-01,14641,TRAFÖ
K01233,Berlin,2020-01-25,A-01,12681,SIECOM COMPUTERSYSTEME &
K01238,Luckenwalde,2021-08-09,A-01,14943,"GRIEßBACH,  GRIESSBACH"
K01239,Nettetal,2021-08-09,A-01,41334,FRANS MAAS DEUTSCHLAND GMBH
K01254,Leobersdorf,2020-02-21,A-01,AT-2544,NEUMAYER
K01255,Poing,2020-03-17,B-01,85586,EBV POING
K01257,Waldshut-Tiengen,2021-10-19,A-01,79761,STOLL
K01259,Göppingen,2020-02-21,A-01,73037,MIKSCH
K01263,Berlin,2020-02-21,A-01,12489,HERBST KÄLTETECHNIK
K01268,Stahnsdorf,2020-02-21,A-01,14532,M&S MASCHI
K01270,Berlin,2020-02-21,A-01,12103,STIEBEL
K01273,Goslar,2020-02-21,A-01,38644,PDV
K01274,Straubenhardt-Feldrennach,2020-02-21,A-01,75334,VESTER
K01276,Köln,2020-07-10,A-01,50739,FLUKE KÖLN
K01277,Fulda,2020-02-21,A-01,36039,JUMO
K01280,Dornstetten,2020-02-21,A-01,72280,ITW MORLOCK
K01282,Berlin,2020-01-25,B-01,12099,NOVAPAX
K01287,Lustenau,2020-02-21,A-01,AT-6890,BAYER
K01291,Berlin,2020-02-21,A-01,13355,FRAUNHOFER IZM
K01293,Potsdam,2020-02-21,A-01,14467,ADECCO
K01295,Tettnang,2020-02-21,A-01,88069,WENGLOR
K01296,Niefern,2020-02-21,A-01,75223,PRETEMA
K01297,Kriftel,2020-02-21,A-01,65830,BASAN
K01301,Aschheim,2020-02-21,A-01,85609,YAMAICHI
K01303,Köln,2020-02-21,A-01,51147,UPS KÖLN
K01307,Dorsten,2021-10-19,A-01,46282,BLINDENWER
K01312,Teltow,2020-02-21,A-01,14513,PENTAHOTEL COURTYARD
K01313,Berlin,2020-02-21,A-01,10787,DACH
K01319,Königslutter,2020-02-21,A-01,38154,ELMTEC
K01324,Ochsenhausen,2020-02-21,A-01,88416,PACKTECH
K01326,Berlin,2020-02-21,A-01,12247,IAHV ROLAND LIEBSKE
K01338,Berlin,2020-02-21,A-01,14163,KAISER & BROCKMANN GMBH
K01340,Stahnsdorf,2020-02-21,A-01,14532,MÄRKISCHER PARTY SERVICE
K01342,Grimma,2020-02-21,A-01,04668,B+N TORTECHNIK
K01346,Berlin,2020-02-21,A-01,12459,DUNKEL WERKZEUGBAU
K01349,Berlin,2020-02-21,A-01,12487,WERNER SCHOLZ
K01351,Strausberg,2020-02-21,A-01,15344,MLP
K01353,Höfen / Enz,2020-02-21,A-01,75339,SCHNEEBERGER GMBH
K01359,Flensburg,2020-02-21,A-01,24944,KRAFTFAHRT-BUNDESAMT
K01361,Berlin,2021-08-09,A-01,14167,HANSEN
K01364,Schalksmühle,2020-02-21,A-01,58579,LUMBERG CONNECT GMBH
K01366,Kalletal,2020-02-21,A-01,32689,GROCHE
K01368,Bochum,2020-02-21,A-01,44807,AIR PRODUCTS GMBH
K01373,Lüdenscheid,2020-02-21,A-01,58513,PERSONA SERVICE
K01374,Bielefeld,2020-02-21,A-01,33506,BERTELSMANN
K01375,Augsburg,2020-02-21,A-01,86131,WELTBILD
K01378,Puchheim b. München,2020-02-21,A-01,82178,ZETTLER MÜNCHEN
K01382,Berlin,2020-02-21,A-01,10625,WAZB ARZT WERKARZT
K01386,Berlin,2021-10-18,A-01,12101,STEMPEL FREIBERG BERLIN
K01388,Ettlingen,2020-02-21,A-01,76260,RAJAPACK
K01391,Villingen-Schwenningen,2020-02-21,A-01,78057,WALDMANN
K01392,Mittweida,2020-02-21,A-01,09648,SAV MITTWEIDA
K01394,Mannheim,2020-02-21,A-01,68219,REMAG
K01397,Mainz-Kastel,2021-06-07,A-01,55252,DOMINO
K01398,Großostheim,2020-02-21,A-01,63757,VIKING
K01399,Berlin,2020-01-25,A-01,13509,MÄRKISCHE ETIKETTEN
K01400,Pförring,2020-02-21,A-01,85104,POLLIN
K01401,Berlin,2020-10-19,A-01,13509,TRANSPAK
K01402,Berlin,2020-02-21,A-01,13599,NEUDORF
K01406,Wäschenbeuren,2020-02-21,A-01,73116,PROCESS-INFORMATIK GMBH
K01408,Berlin,2020-02-21,A-01,10589,SEGOR-ELECTRONICS
K01409,Fürth,2020-02-21,A-01,90765,SIEMENS ELEKTRO
K01410,Pleiskirchen,2020-02-21,A-01,84568,CADSOFT
K01411,München,2020-02-21,A-01,81739,SIEMENS MÜ
K01425,Berlin,2020-02-21,A-01,13629,GB502 BLN
K01453,Hanau,2020-02-21,A-01,63450,VAC VACUUMSCHMELZE
K01454,Berlin,2020-02-21,A-01,12357,ALTVATER / SULO / AWA/VEOLIA
K01604,Stahnsdorf,2020-02-21,A-01,14532,GEBÄUDEREINIGUNG BREITLING E.K
K01607,Berlin,2020-01-25,A-01,12487,WESSOLOWSKI MALEREI
K01615,Berlin,2022-01-27,A-01,12489,LEGLER OBJEKT UND KONZEPT GMBH
K01619,Berlin,2020-01-25,A-01,12487,GJH GETRÄNKEHANDEL
K01621,Großbeeren,2020-01-25,A-01,14979,MISCEA GMBH
