purchase_no,amount_including_vat,amount,expected_receipt_date,location_code,order_date,quantity_invoiced,quantity_received,quantity,really_receipt_datetime,requested_receipt_date
18000013,853.83,717.5,2020-03-20,A-01,2020-01-27,5000,5000,5000,2020-03-18,2020-03-20
39403559,45.48,42.5,2020-06-02,A-01,2020-09-01,500,500,500,2020-12-02,2020-06-02
39403559,45.47,42.5,2020-02-13,A-01,2020-01-16,500,500,500,2020-12-02,2020-02-13
O3 1-1393565-8,16.05,15.0,2020-06-02,A-01,2020-01-23,3000,3000,3000,2020-12-02,2020-06-02
O3 1393582-4,53.5,50.0,2020-06-02,A-01,2020-01-23,1000,1000,1000,2020-12-02,2020-06-02
25000041,53.5,50.0,2020-06-02,A-01,2020-01-30,10000,10000,10000,2020-12-02,2020-06-02
18000028,2177.7,1830.0,2020-03-27,A-01,2020-01-27,1000,1000,1000,2020-03-24,2020-03-27
00980107,127.45,107.1,2020-06-03,A-01,2020-01-27,1,1,1,2020-03-03,2020-06-03
11000055,317.87,267.12,2020-02-21,A-01,2020-01-27,6,6,6,2020-02-19,2020-02-21
11000032,404.08,339.56,2020-12-02,A-01,2020-05-02,400,400,400,2020-02-13,2020-12-02
11000037,125.72,105.65,2020-02-14,A-01,2020-01-24,8,8,8,2020-02-13,2020-02-14
S1 0-1412705-2,1459.24,1226.25,2020-02-28,A-01,2020-01-27,54500,54500,54500,2020-02-26,2020-02-28
RA00000010,65.45,55.0,2020-02-14,A-01,2020-01-24,2000,2000,2000,2020-02-23,2020-07-02
RA00000245,315.67,265.27,2020-02-18,A-01,2020-01-24,558,558,558,2020-02-23,2020-07-02
RA00000290,654.5,550.0,2020-02-14,A-01,2020-01-24,5000,5000,5000,2020-02-23,2020-07-02
RA00000320,841.33,707.0,2020-02-14,A-01,2020-01-24,2000,2000,2000,2020-02-23,2020-07-02
RA00000780,3688.58,3099.65,2020-02-24,A-01,2020-01-24,3840,3840,3840,2020-02-23,2020-07-02
S1 0-1485725-2,1028.16,864.0,2020-02-21,A-01,2020-01-27,8000,8000,8000,2020-02-18,2020-02-21
RA00000340,14684.86,12340.22,2020-07-02,A-01,2020-01-22,2304,2304,2304,2020-09-02,2020-05-02
RA00000340,14684.87,12340.22,2020-02-14,A-01,2020-01-31,2304,2304,2304,2020-09-02,2020-02-14
RA00000340,14684.86,12340.22,2020-02-14,A-01,2020-01-31,2304,2304,2304,2020-09-02,2020-02-14
RA00000350,3379.6,2840.0,2020-02-03,A-01,2020-01-27,40000,40000,40000,2020-02-27,2020-10-02
17200135,185.76,156.1,2020-02-18,A-01,2020-01-14,700,700,700,2020-02-17,2020-02-18
01062658,707.39,707.39,2020-02-28,A-01,2020-01-27,48,48,48,2020-02-26,2020-02-28
01062079,2145.6,2145.6,2020-02-28,A-01,2020-01-27,86,86,86,2020-02-26,2020-02-28
01077134,195.0,195.0,2020-02-28,A-01,2020-01-27,113,113,113,2020-02-26,2020-02-28
01061569,2456.7,2456.7,2020-02-28,A-01,2020-01-27,30,30,30,2020-02-26,2020-02-28
OE00300939,2427.66,2040.05,2020-03-27,A-01,2020-01-27,4303,4303,4303,2020-03-25,2020-03-27
RA00000380,3869.95,3252.06,2020-01-28,A-01,2020-07-01,26100,26100,26100,2020-01-19,2020-01-28
KU00033805,830.03,697.5,2020-06-16,A-01,2020-05-15,5000,5000,5000,2020-06-15,2020-06-16
KU00045310,928.2,780.0,2020-03-27,A-01,2020-01-28,6000,6000,6000,2020-03-26,2020-03-27
DMR0000008,2324.68,1953.51,2020-12-03,A-01,2020-01-29,39000,39000,39000,2020-03-03,2020-12-03
DMR0000020,163.86,137.7,2020-02-20,A-01,2020-01-29,5,5,5,2020-02-18,2020-02-20
DMR0000021,212.81,178.83,2020-02-20,A-01,2020-01-29,9,9,9,2020-02-18,2020-02-20
HDE0H03447,435.63,366.08,2020-02-28,A-01,2020-10-02,1280,1280,1280,2020-03-26,2020-02-28
HDE0H03448,544.55,457.6,2020-02-28,A-01,2020-10-02,1600,1600,1600,2020-03-26,2020-02-28
HDE0H03449,871.27,732.16,2020-03-04,A-01,2020-10-02,2560,2560,2560,2020-03-26,2020-02-28
HDE0H03450,544.54,457.6,2020-02-28,A-01,2020-10-02,1600,1600,1600,2020-03-26,2020-02-28
HDE0H03451,432.91,363.79,2020-02-28,A-01,2020-10-02,1272,1272,1272,2020-03-26,2020-02-28
HDE0H03452,432.91,363.79,2020-02-28,A-01,2020-10-02,1272,1272,1272,2020-03-26,2020-02-28
RA00000305,0.0,0.0,2020-02-13,A-PROD,2020-01-22,668,668,668,2020-12-02,2020-05-02
O3 4-1411320-1,20600.12,17758.72,2020-02-12,A-01,2020-01-30,1982,1982,1982,2020-01-12,2020-11-27
17200110,444.5,444.5,2020-06-03,A-01,2020-03-02,202,202,202,2020-05-03,2020-06-03
01061657,1475.68,1475.68,2020-06-03,A-01,2020-03-02,34,34,34,2020-05-03,2020-06-03
HES0068702,476.0,400.0,2020-04-17,A-01,2020-04-02,10000,10000,10000,2020-04-21,2020-04-17
HES0092806,768.79,646.04,2020-06-03,A-01,2020-04-02,20840,20840,20840,2020-08-03,2020-06-03
22001443,88.06,74.0,2020-02-14,A-01,2020-07-02,20,20,20,2020-02-16,2020-02-14
KU00057378,889.64,747.6,2033-03-03,A-01,2020-04-02,2400,2400,2400,2020-11-05,2020-06-03
KP0064C145,826.08,826.08,2020-02-24,A-01,2020-05-02,1721,1721,1721,2020-02-20,2020-02-19
28002654,1139.2,1139.2,2020-03-27,A-01,2020-03-13,99930,99930,99930,2020-03-26,2020-03-27
S1 0-1412705-3,559.3,470.0,2020-02-13,A-01,2020-01-16,20000,20000,20000,2020-12-02,2020-02-13
S1 0-1412705-6,625.94,526.0,2020-06-03,A-01,2020-05-02,20000,20000,20000,2020-04-03,2020-06-03
KU00068498,399.84,336.0,2020-03-18,A-01,2020-12-02,1000,1000,1000,2020-03-17,2020-03-18
17200122,1019.1,856.39,2020-04-29,A-01,2020-05-02,22244,22244,22244,2020-04-27,2020-04-29
17200142,2184.88,1836.03,2020-03-26,A-01,2020-05-02,25000,25000,25000,2020-03-24,2020-03-18
17200119,3600.94,3026.0,2020-04-29,A-01,2020-03-26,20000,20000,20000,2020-04-28,2020-04-24
17200145,1904.0,1600.0,2020-04-03,A-01,2020-05-02,25000,25000,25000,2020-02-03,2020-04-03
S1 0-1412705-7,985.32,828.0,2020-04-03,A-01,2020-05-02,30000,30000,30000,2020-02-03,2020-04-03
KP00001096,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001097,119.0,100.0,2020-11-02,A-01,2020-05-02,250,250,250,2020-10-02,2020-12-02
KP00001098,119.0,100.0,2020-11-02,A-01,2020-05-02,250,250,250,2020-10-02,2020-12-02
KP00001101,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001102,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001103,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001104,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001105,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001106,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001107,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001108,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001109,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
KP00001110,119.0,100.0,2020-11-02,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
01068191,96.91,96.91,2020-06-03,A-01,2020-10-01,30,30,30,2020-05-03,2020-06-03
22001656,1719.55,1445.0,2020-02-14,A-01,2020-07-02,10,10,10,2020-02-13,2020-02-14
RA00000340,14684.86,12340.22,2020-02-21,A-01,2020-02-21,2304,2304,2304,2020-10-03,2020-02-21
RA00000340,9534.97,8012.58,2020-06-03,A-01,2020-06-03,1496,1496,1496,2020-10-03,2020-06-03
M0000009,264.97,222.66,2020-11-02,A-01,2020-10-02,1,1,1,2020-10-02,2020-11-02
HDE0H03343,275.68,231.66,2020-03-13,A-01,2020-10-02,810,810,810,2020-03-26,2020-03-13
HDE0H03344,328.77,276.28,2020-03-13,A-01,2020-10-02,966,966,966,2020-03-26,2020-03-13
HDE0H03345,328.77,276.28,2020-03-13,A-01,2020-10-02,966,966,966,2020-03-26,2020-03-13
HDE0H03349,272.27,228.8,2020-03-13,A-01,2020-10-02,800,800,800,2020-03-26,2020-03-13
HDE0H03350,272.27,228.8,2020-03-31,A-01,2020-10-02,800,800,800,2020-03-26,2020-03-13
HDE0H03446,273.98,230.23,2020-03-31,A-01,2020-10-02,805,805,805,2020-03-26,2020-03-13
HDE0H03447,272.27,228.8,2020-03-13,A-01,2020-10-02,800,800,800,2020-03-26,2020-03-13
00469846,2360.75,2360.75,2020-02-28,Z-DIEHL,2020-07-02,18090,18090,18090,2020-02-26,2020-02-28
ABB0038949,3279.9,3279.9,2020-03-13,A-01,2020-11-02,19965,19965,19965,2020-12-03,2020-03-13
OE00492530,611.14,513.56,2020-03-20,A-01,2020-11-02,6700,6700,6700,2020-03-19,2020-03-13
39403559,45.48,42.5,2020-02-28,A-01,2020-01-31,500,500,500,2020-02-27,2020-02-28
25000040,53.5,50.0,2020-03-03,A-01,2020-02-25,10000,10000,10000,2020-02-27,2020-03-03
O3 2-1393565-2,5.35,5.0,2020-02-28,A-01,2020-02-14,1000,1000,1000,2020-02-27,2020-02-28
HDE0H04002,1532.13,1287.5,2020-03-20,A-01,2020-12-02,25000,25000,25000,2020-03-18,2020-03-20
HDE0210815,2275.28,1912.0,2020-04-29,A-01,2020-12-02,20000,20000,20000,2020-05-26,2020-04-24
HDE0H05003,3255.84,2736.0,2020-05-29,A-01,2020-03-26,20000,20000,20000,2020-05-26,2020-05-29
HDE0H39001,631.3,530.5,2020-03-27,A-01,2020-12-02,5000,5000,5000,2020-03-25,2020-03-27
HDE0H26001,903.1,758.91,2020-03-13,A-01,2020-12-02,3136,3136,3136,2020-11-03,2020-03-13
HDE0610275,714.0,600.0,2020-04-17,A-01,2020-12-02,10000,10000,10000,2020-04-20,2020-04-17
HDE0H06009,633.32,532.2,2020-04-30,A-01,2020-06-02,10000,10000,10000,2020-03-05,2020-04-30
M0000009,264.97,222.66,2020-02-13,A-01,2020-12-02,1,1,1,2020-02-13,2020-02-13
PVP0405439,200.34,168.35,2020-11-03,A-01,2020-12-02,4350,4350,4350,2020-03-19,2020-02-28
PVP0405439,289.21,243.04,2020-11-03,A-01,2020-12-02,6280,6280,6280,2020-03-19,2020-03-13
PVP0405439,251.92,211.69,2020-11-03,A-01,2020-12-02,5470,5470,5470,2020-03-19,2020-03-27
PVP0405439,393.75,330.89,2020-06-03,A-01,2020-12-02,8550,8550,8550,2020-03-19,1753-01-01
PVP0405439,326.98,274.77,2020-09-03,A-01,2020-12-02,7100,7100,7100,2020-03-19,1753-01-01
PVP0405439,124.34,104.49,2020-03-16,A-01,2019-10-14,2700,2700,2700,2020-03-19,2020-03-16
PVP0405439,690.8,580.5,2020-03-16,A-01,2019-10-14,15000,15000,15000,2020-03-19,2020-03-16
PVP0405439,1273.37,1070.06,2020-03-27,A-01,2020-12-02,27650,27650,27650,2020-03-19,2020-03-27
28000916,2148.3,2148.3,2020-04-03,A-01,2020-02-19,10230,10230,10230,2020-03-03,2020-04-03
22001338,498.68,419.06,2020-02-25,A-01,2019-12-17,2280,2280,2280,2020-02-24,2020-02-25
11000020,2208.37,1855.77,2020-12-03,A-01,2020-02-13,5214,5214,5214,2020-11-03,2020-02-21
M080000072,0.0,0.0,2020-02-18,A-01,2020-11-02,78,78,78,2020-02-13,2020-02-18
00986648,110.97,93.25,2020-02-19,A-01,2020-05-02,5,5,5,2020-02-18,2020-02-19
18000005,423.94,356.25,2020-03-20,A-01,2020-02-14,10000,10000,10000,2020-03-18,2020-03-20
18200831,4558.2,4260.0,2020-03-27,A-01,2020-02-14,2000,2000,2000,2020-03-29,2020-03-27
18200833,4898.72,4578.24,2020-03-13,A-01,2020-02-17,2008,2008,2008,2020-12-03,2020-03-13
HDE0987731,105.91,89.0,2020-02-14,A-01,2020-12-18,20000,20000,20000,2020-02-13,2020-02-14
18200837,1626.4,1520.0,2020-12-06,A-01,2020-02-14,500,500,500,2020-08-06,2020-12-06
M0000009,264.97,222.66,2020-02-18,A-01,2020-02-17,1,1,1,2020-02-17,2020-02-18
HES0015500,1073.8,1073.8,2020-04-29,A-01,2020-12-02,52000,52000,52000,2020-04-28,2020-04-29
28001477,18967.89,15939.4,2020-06-26,A-01,2020-02-17,10000,10000,10000,2020-06-24,2020-03-31
RA00000305,0.0,0.0,2020-02-26,A-PROD,2020-12-02,659,659,659,2020-01-03,2020-02-26
05920210,2688.98,2688.98,2020-06-29,A-01,2020-11-05,569700,569700,569700,2020-06-29,2020-06-29
M0000009,264.97,222.66,2020-02-20,A-01,2020-02-19,1,1,1,2020-02-19,2020-02-20
HDE0H03343,275.68,231.66,2020-03-27,A-01,2020-02-21,810,810,810,2020-04-14,2020-03-27
HDE0H03344,273.97,230.23,2020-03-27,A-01,2020-02-21,805,805,805,2020-04-14,2020-03-27
HDE0H03345,273.97,230.23,2020-03-27,A-01,2020-02-21,805,805,805,2020-04-14,2020-03-27
HDE0H03346,273.98,230.23,2020-03-27,A-01,2020-02-21,805,805,805,2020-04-14,2020-03-27
HDE0H03348,272.27,228.8,2020-03-27,A-01,2020-02-21,800,800,800,2020-04-14,2020-03-27
HDE0H03444,438.36,368.37,2020-03-27,A-01,2020-02-21,1288,1288,1288,2020-04-14,2020-03-27
HDE0H03445,493.15,414.41,2020-03-27,A-01,2020-02-21,1449,1449,1449,2020-04-14,2020-03-27
HDE0H03446,493.15,414.41,2020-03-27,A-01,2020-02-21,1449,1449,1449,2020-04-14,2020-03-27
HDE0H03447,272.27,228.8,2020-03-27,A-01,2020-02-21,800,800,800,2020-04-14,2020-03-27
HDE0H03448,326.73,274.56,2020-03-27,A-01,2020-02-21,960,960,960,2020-04-14,2020-03-27
HDE0H03449,326.72,274.56,2020-03-27,A-01,2020-02-21,960,960,960,2020-04-14,2020-03-27
HDE0H03450,217.82,183.04,2020-03-27,A-01,2020-02-21,640,640,640,2020-04-14,2020-03-27
O3 1-1393583-4,20.33,19.0,2020-03-13,A-01,2020-02-21,200,200,200,2020-10-03,2020-03-13
O3 1-1393583-5,20.33,19.0,2020-03-13,A-01,2020-02-21,200,200,200,2020-10-03,2020-03-13
39403559,45.48,42.5,2020-11-03,A-01,2020-02-21,500,500,500,2020-10-03,2020-03-13
HDE0953402,9875.95,8513.75,2020-07-24,A-01,2020-02-24,1225,1225,1225,2020-07-23,2020-07-24
HDE0H20006,6282.74,5279.61,2020-04-17,A-01,2020-03-26,6272,6272,6272,2020-04-15,2020-04-17
HDE0H20006,6282.7,5279.58,2020-04-30,A-01,2020-03-26,6272,6272,6272,2020-04-28,2020-04-30
HDE0H39001,631.3,530.5,2020-04-17,A-01,2020-02-24,5000,5000,5000,2020-04-27,2020-04-17
HDE0H39001,631.29,530.5,2020-04-29,A-01,2020-02-24,5000,5000,5000,2020-04-27,2020-04-29
HDE0H06006,633.79,532.6,2020-05-06,A-01,2020-02-24,10000,10000,10000,2020-04-06,2020-05-06
HDE0H06007,886.54,744.99,2020-05-06,A-01,2020-02-24,9500,9500,9500,2020-04-06,2020-05-06
KP0064C004,95.0,95.0,2020-02-27,A-01,2020-02-24,2400,2400,2400,2020-02-26,2020-02-28
HDE0H22013,9746.41,8402.08,2020-01-10,A-01,2020-07-09,9370,9370,9370,2020-09-28,2020-01-10
HDE0H22021,10046.02,8660.36,2020-01-10,A-01,2020-07-09,8820,8820,8820,2020-09-28,2020-01-10
M0000009,264.97,222.66,2020-02-25,A-01,2020-02-24,1,1,1,2020-02-24,2020-02-25
M0000009,264.97,222.66,2020-02-27,A-01,2020-02-26,1,1,1,2020-02-26,2020-02-27
RA00000020,0.0,0.0,2020-03-24,A-01,2020-02-19,100,100,100,2020-03-31,2020-04-03
RA00000030,145.05,121.89,2020-03-24,A-01,2020-02-19,300,300,300,2020-03-31,2020-04-03
RA00000040,1.5,1.26,2020-03-24,A-01,2020-02-19,200,200,200,2020-03-31,2020-04-03
RA00000060,0.0,0.0,2020-03-24,A-01,2020-02-19,200,200,200,2020-03-31,2020-04-03
RA00000170,119.0,100.0,2020-03-24,A-01,2020-02-19,200,200,200,2020-03-31,2020-04-03
RA00000180,0.0,0.0,2020-03-24,A-01,2020-02-19,100,100,100,2020-03-31,2020-04-03
RA00000190,0.0,0.0,2020-03-24,A-01,2020-02-19,100,100,100,2020-03-31,2020-04-03
RA00000040,54.15,45.51,2020-03-24,A-01,2020-10-03,7224,7224,7224,2020-03-31,2020-03-24
RA00000170,23.8,20.0,2020-03-24,A-01,2020-10-03,40,40,40,2020-03-31,2020-03-24
RA00000246,65.06,54.67,2020-03-24,A-PROD,2020-10-03,115,115,115,2020-03-31,2020-03-24
RA00000305,0.0,0.0,2020-12-03,A-PROD,2020-02-20,651,651,651,2020-11-03,2020-05-03
01064587,692.34,692.34,2020-03-27,A-01,2020-02-28,96,96,96,2020-03-23,2020-03-27
01065045,611.8,611.8,2020-03-27,A-01,2020-02-28,99,99,99,2020-03-23,2020-03-27
39403559,45.48,42.5,2020-03-20,A-01,2020-02-28,500,500,500,2020-03-16,2020-03-20
O3 1-1393583-1,20.33,19.0,2020-11-03,A-01,2020-02-28,200,200,200,2020-03-16,2020-03-20
O3 1393582-3,327.42,306.0,2020-11-03,A-01,2020-02-28,1800,1800,1800,2020-03-16,2020-03-20
O3 1-1393583-5,60.99,57.0,2020-11-03,A-01,2020-02-28,600,600,600,2020-03-16,2020-03-27
O3 2-1393565-2,5.35,5.0,2020-11-03,A-01,2020-02-28,1000,1000,1000,2020-03-16,2020-03-27
25000038,53.5,50.0,2020-11-03,A-01,2020-02-28,10000,10000,10000,2020-03-16,2020-03-27
00451187,1886.59,1886.59,2020-03-04,A-01,2020-02-03,22730,22730,22730,2020-05-04,2020-03-04
M0000009,264.97,222.66,2020-03-04,A-01,2020-03-04,1,1,1,2020-02-03,2020-03-04
00345677,823.42,691.95,2020-04-03,Z-DIEHL,2020-03-03,5187,5187,5187,2020-02-03,2020-04-03
00345655,823.42,691.95,2020-04-03,Z-DIEHL,2020-05-02,5187,5187,5187,2020-02-03,2020-04-03
RA00000340,14798.38,12435.61,2020-06-24,A-01,2020-04-03,2304,2304,2304,2020-06-22,2020-06-24
M0000009,264.97,222.66,2020-05-03,A-01,2020-04-03,1,1,1,2020-04-03,2020-05-03
RA00000250,6948.65,5839.2,2020-04-24,A-01,2019-11-29,3600,3600,3600,2020-04-23,2020-03-20
01061586,339.86,339.86,2020-03-20,A-01,2020-04-03,39,39,39,2020-03-17,2020-03-20
18200833,4879.2,4560.0,2020-09-04,A-01,2019-02-05,2000,2000,2000,2020-04-13,2020-09-04
19500012,975.0,975.0,2020-04-24,A-01,2020-06-03,150000,150000,150000,2020-03-30,2020-04-24
HDE0004011,1589.84,1336.0,2020-10-03,A-01,2020-06-03,100,100,100,2020-09-03,2020-10-03
27601088,555.0,555.0,2020-04-15,A-01,2020-01-04,30000,30000,30000,2020-04-14,2020-04-15
M0000009,264.97,222.66,2020-10-03,A-01,2020-09-03,1,1,1,2020-09-03,2020-10-03
PVP0492600,1408.96,1184.0,2020-05-15,A-01,2020-09-03,200000,200000,200000,2020-05-13,2020-05-15
O3 1485818-1,418.88,352.0,2020-09-04,A-01,2020-10-03,800,800,800,2020-04-23,2020-09-04
25000013,963.9,810.0,2020-04-24,A-01,2020-10-03,1080,1080,1080,2020-04-23,2020-04-24
25000051,65.45,55.0,2022-02-02,A-01,2020-10-03,10000,10000,10000,2020-03-16,2020-03-20
00980239,358.43,301.2,2020-03-20,A-01,2020-10-03,30,30,30,2020-03-18,2020-03-20
19899384,257.59,216.46,2020-03-04,A-01,2020-10-03,15800,15800,15800,2020-03-30,2020-03-04
18000028,1570.8,1320.0,2021-01-22,A-01,2020-10-12,500,500,500,2021-01-26,2021-11-01
00343013,4850.0,4850.0,2020-03-06,A-01,2020-11-03,250000,250000,250000,2020-02-06,2020-03-06
KU00022245-1,1440.0,1440.0,2020-08-04,A-01,2020-11-03,6000,6000,6000,2020-07-04,2020-08-04
38002522,913.07,913.07,2020-04-17,A-01,2020-06-03,20000,20000,20000,2020-04-14,2020-04-17
01066413,106.14,106.14,2020-12-03,A-01,2020-06-03,7,7,7,2020-03-17,2020-03-20
40063517,446.68,375.36,2020-03-06,A-01,2020-04-22,1200,1200,1200,2020-02-06,2020-03-06
RA00000305,0.0,0.0,2020-07-04,A-PROD,2020-03-13,651,651,651,2020-06-04,2020-03-27
O3 1412600-2,576.8,484.7,2020-05-14,A-01,2020-03-16,5000,5000,5000,2020-06-29,2020-08-05
O3 1412600-2,576.79,484.7,2020-01-07,A-01,2020-03-16,5000,5000,5000,2020-06-29,2020-08-05
O3 1412599-3,952.0,800.0,2020-04-30,A-01,2020-12-03,2000,2000,2000,2020-05-18,2020-04-30
O3 1412851-1,265.42,223.04,2020-05-26,A-01,2020-03-16,8000,8000,8000,2020-05-25,2020-04-17
M0000009,264.97,222.66,2020-03-17,A-01,2020-03-16,1,1,1,2020-03-16,2020-03-17
O3 1-1393565-8,10.7,10.0,2020-03-26,A-01,2020-03-20,2000,2000,2000,2020-03-25,2020-03-04
O3 1-1393565-7,5.35,5.0,2020-03-26,A-01,2020-03-20,1000,1000,1000,2020-03-25,2020-03-04
O3 1-1393565-9,5.35,5.0,2020-03-26,A-01,2020-03-20,1000,1000,1000,2020-03-25,2020-03-04
O3 1-1393583-5,60.99,57.0,2020-03-26,A-01,2020-03-26,600,600,600,2020-03-25,2020-09-04
01062548,510.42,510.42,2020-03-04,A-01,2020-03-16,32,32,32,2020-01-04,2020-03-27
39403559,45.48,42.5,2020-04-16,A-01,2020-03-17,500,500,500,2020-04-14,2020-04-17
25000040,53.5,50.0,2020-04-17,A-01,2020-03-17,10000,10000,10000,2020-04-14,2020-04-17
O3 1-1393583-0,67.41,63.0,2020-04-17,A-01,2020-03-17,1000,1000,1000,2020-04-14,2020-04-17
PVP0405439,331.12,278.25,2020-03-04,A-01,2020-03-19,7190,7190,7190,2020-04-13,2020-03-04
PVP0405439,805.93,677.25,2020-07-04,A-01,2020-03-19,17500,17500,17500,2020-04-13,2020-07-04
PVP0405439,705.07,592.5,2020-04-15,A-01,2020-03-19,15310,15310,15310,2020-04-13,2020-04-15
PVP0405439,25.79,21.67,2020-03-18,A-01,2020-03-18,560,560,560,2020-03-17,2020-03-18
01066413,163.63,163.63,2020-09-04,A-01,2020-02-13,32,32,32,2020-06-04,2020-09-04
00345655,823.42,691.95,2020-03-25,Z-DIEHL,2020-02-26,5187,5187,5187,2020-03-23,2020-03-25
00345677,823.42,691.95,2020-03-25,Z-DIEHL,2020-02-26,5187,5187,5187,2020-03-23,2020-03-25
27602381,16470.96,14199.1,2020-08-14,A-01,2020-03-19,1080,1080,1080,2020-08-17,2020-07-08
RA00000340,14684.86,12340.22,2020-04-06,A-01,2020-02-13,2304,2304,2304,2020-03-06,2020-04-06
D44000001,9881.76,8304.0,2020-04-27,A-01,2020-04-27,80,80,80,2020-04-27,2020-04-27
D44000001,617.61,519.0,2021-03-22,A-01,2020-03-20,5,5,5,2020-04-27,1753-01-01
KP0064B321,550.0,550.0,2020-04-20,A-01,2020-03-20,200,200,200,2020-12-05,2020-03-27
KP0064B321,981.75,825.0,2022-02-02,A-01,2020-04-17,300,300,300,2020-12-05,2020-07-05
KP0064B323,550.0,550.0,2020-04-20,A-01,2020-03-27,200,200,200,2020-12-05,2020-03-27
KP0064B323,981.75,825.0,2022-02-02,A-01,2020-07-05,300,300,300,2020-12-05,2020-07-05
29201643,400.0,400.0,2020-04-24,A-01,2020-09-04,5771,5771,5771,2020-04-19,2020-04-24
HDE0H03341,165.41,139.0,2020-04-17,A-01,2020-03-23,486,486,486,2020-06-21,2020-04-17
HDE0H03342,275.67,231.66,2020-04-17,A-01,2020-03-23,810,810,810,2020-06-21,2020-04-17
HDE0H03345,273.98,230.23,2020-04-17,A-01,2020-03-23,805,805,805,2020-06-21,2020-04-17
HDE0H03347,326.72,274.56,2020-04-17,A-01,2020-03-23,960,960,960,2020-06-21,2020-04-17
HDE0H03348,272.28,228.8,2020-04-17,A-01,2020-03-23,800,800,800,2020-06-21,2020-04-17
HDE0H03351,270.57,227.37,2020-04-17,A-01,2020-03-23,795,795,795,2020-06-21,2020-04-17
HDE0H03445,438.36,368.37,2020-04-17,A-01,2020-03-23,1288,1288,1288,2020-06-21,2020-04-17
HDE0H03446,493.14,414.41,2020-04-17,A-01,2020-03-23,1449,1449,1449,2020-06-21,2020-04-17
HDE0H03447,490.09,411.84,2020-04-17,A-01,2020-03-23,1440,1440,1440,2020-06-21,2020-04-17
HDE0H03448,272.27,228.8,2020-04-17,A-01,2020-03-23,800,800,800,2020-06-21,2020-04-17
