vendor_no,purchase_no,amount,location_code,order_date,qty_invoiced,qty_received,qty,receipt_date,requested_date
K00633,39403559,42.5,A-01,2020-09-01,500,500,500,2020-12-02,2020-06-02
K00633,39403559,42.5,A-01,2020-01-16,500,500,500,2020-12-02,2020-02-13
K00633,O3 1-1393565-8,15.0,A-01,2020-01-23,3000,3000,3000,2020-12-02,2020-06-02
K00633,O3 1393582-4,50.0,A-01,2020-01-23,1000,1000,1000,2020-12-02,2020-06-02
K00633,25000041,50.0,A-01,2020-01-30,10000,10000,10000,2020-12-02,2020-06-02
K00967,18000028,1830.0,A-01,2020-01-27,1000,1000,1000,2020-03-24,2020-03-27
K00951,00980107,107.1,A-01,2020-01-27,1,1,1,2020-03-03,2020-06-03
K00806,11000055,267.12,A-01,2020-01-27,6,6,6,2020-02-19,2020-02-21
K03393,11000032,339.56,A-01,2020-05-02,400,400,400,2020-02-13,2020-12-02
K03393,11000037,105.65,A-01,2020-01-24,8,8,8,2020-02-13,2020-02-14
K03216,S1 0-1412705-2,1226.25,A-01,2020-01-27,54500,54500,54500,2020-02-26,2020-02-28
K04797,RA00000010,55.0,A-01,2020-01-24,2000,2000,2000,2020-02-23,2020-07-02
K04797,RA00000245,265.27,A-01,2020-01-24,558,558,558,2020-02-23,2020-07-02
K04797,RA00000290,550.0,A-01,2020-01-24,5000,5000,5000,2020-02-23,2020-07-02
K04797,RA00000320,707.0,A-01,2020-01-24,2000,2000,2000,2020-02-23,2020-07-02
K04797,RA00000780,3099.65,A-01,2020-01-24,3840,3840,3840,2020-02-23,2020-07-02
K00043,S1 0-1485725-2,864.0,A-01,2020-01-27,8000,8000,8000,2020-02-18,2020-02-21
K04797,RA00000340,12340.22,A-01,2020-01-22,2304,2304,2304,2020-09-02,2020-05-02
K04797,RA00000340,12340.22,A-01,2020-01-31,2304,2304,2304,2020-09-02,2020-02-14
K04797,RA00000340,12340.22,A-01,2020-01-31,2304,2304,2304,2020-09-02,2020-02-14
K04797,RA00000350,2840.0,A-01,2020-01-27,40000,40000,40000,2020-02-27,2020-10-02
K03068,17200135,156.1,A-01,2020-01-14,700,700,700,2020-02-17,2020-02-18
K00130,01062658,707.39,A-01,2020-01-27,48,48,48,2020-02-26,2020-02-28
K00130,01062079,2145.6,A-01,2020-01-27,86,86,86,2020-02-26,2020-02-28
K00130,01077134,195.0,A-01,2020-01-27,113,113,113,2020-02-26,2020-02-28
K00130,01061569,2456.7,A-01,2020-01-27,30,30,30,2020-02-26,2020-02-28
K04185,OE00300939,2040.05,A-01,2020-01-27,4303,4303,4303,2020-03-25,2020-03-27
K04797,RA00000380,3252.06,A-01,2020-07-01,26100,26100,26100,2020-01-19,2020-01-28
K03154,KU00033805,697.5,A-01,2020-05-15,5000,5000,5000,2020-06-15,2020-06-16
K03160,KU00045310,780.0,A-01,2020-01-28,6000,6000,6000,2020-03-26,2020-03-27
K03252,DMR0000008,1953.51,A-01,2020-01-29,39000,39000,39000,2020-03-03,2020-12-03
K02437,DMR0000020,137.7,A-01,2020-01-29,5,5,5,2020-02-18,2020-02-20
K02437,DMR0000021,178.83,A-01,2020-01-29,9,9,9,2020-02-18,2020-02-20
K04152,HDE0H03447,366.08,A-01,2020-10-02,1280,1280,1280,2020-03-26,2020-02-28
K04152,HDE0H03448,457.6,A-01,2020-10-02,1600,1600,1600,2020-03-26,2020-02-28
K04152,HDE0H03449,732.16,A-01,2020-10-02,2560,2560,2560,2020-03-26,2020-02-28
K04152,HDE0H03450,457.6,A-01,2020-10-02,1600,1600,1600,2020-03-26,2020-02-28
K04152,HDE0H03451,363.79,A-01,2020-10-02,1272,1272,1272,2020-03-26,2020-02-28
K04152,HDE0H03452,363.79,A-01,2020-10-02,1272,1272,1272,2020-03-26,2020-02-28
K04797,RA00000305,0.0,A-PROD,2020-01-22,668,668,668,2020-12-02,2020-05-02
K04386,O3 4-1411320-1,17758.72,A-01,2020-01-30,1982,1982,1982,2020-01-12,2020-11-27
K00130,17200110,444.5,A-01,2020-03-02,202,202,202,2020-05-03,2020-06-03
K00130,01061657,1475.68,A-01,2020-03-02,34,34,34,2020-05-03,2020-06-03
K04717,HES0068702,400.0,A-01,2020-04-02,10000,10000,10000,2020-04-21,2020-04-17
K02742,HES0092806,646.04,A-01,2020-04-02,20840,20840,20840,2020-08-03,2020-06-03
K04852,22001443,74.0,A-01,2020-07-02,20,20,20,2020-02-16,2020-02-14
K00016,KU00057378,747.6,A-01,2020-04-02,2400,2400,2400,2020-11-05,2020-06-03
K04840,KP0064C145,826.08,A-01,2020-05-02,1721,1721,1721,2020-02-20,2020-02-19
K04386,28002654,1139.2,A-01,2020-03-13,99930,99930,99930,2020-03-26,2020-03-27
K03216,S1 0-1412705-3,470.0,A-01,2020-01-16,20000,20000,20000,2020-12-02,2020-02-13
K03216,S1 0-1412705-6,526.0,A-01,2020-05-02,20000,20000,20000,2020-04-03,2020-06-03
K03398,KU00068498,336.0,A-01,2020-12-02,1000,1000,1000,2020-03-17,2020-03-18
K02809,17200122,856.39,A-01,2020-05-02,22244,22244,22244,2020-04-27,2020-04-29
K03545,17200142,1836.03,A-01,2020-05-02,25000,25000,25000,2020-03-24,2020-03-18
K02699,17200119,3026.0,A-01,2020-03-26,20000,20000,20000,2020-04-28,2020-04-24
K02814,17200145,1600.0,A-01,2020-05-02,25000,25000,25000,2020-02-03,2020-04-03
K03216,S1 0-1412705-7,828.0,A-01,2020-05-02,30000,30000,30000,2020-02-03,2020-04-03
K04403,KP00001096,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001097,100.0,A-01,2020-05-02,250,250,250,2020-10-02,2020-12-02
K04403,KP00001098,100.0,A-01,2020-05-02,250,250,250,2020-10-02,2020-12-02
K04403,KP00001101,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001102,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001103,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001104,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001105,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001106,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001107,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001108,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001109,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K04403,KP00001110,100.0,A-01,2020-04-02,250,250,250,2020-10-02,2020-11-02
K00130,01068191,96.91,A-01,2020-10-01,30,30,30,2020-05-03,2020-06-03
K04790,22001656,1445.0,A-01,2020-07-02,10,10,10,2020-02-13,2020-02-14
K04848,RA00000340,12340.22,A-01,2020-02-21,2304,2304,2304,2020-10-03,2020-02-21
K04848,RA00000340,8012.58,A-01,2020-06-03,1496,1496,1496,2020-10-03,2020-06-03
K00876,M0000009,222.66,A-01,2020-10-02,1,1,1,2020-10-02,2020-11-02
K04152,HDE0H03343,231.66,A-01,2020-10-02,810,810,810,2020-03-26,2020-03-13
K04152,HDE0H03344,276.28,A-01,2020-10-02,966,966,966,2020-03-26,2020-03-13
K04152,HDE0H03345,276.28,A-01,2020-10-02,966,966,966,2020-03-26,2020-03-13
K04152,HDE0H03349,228.8,A-01,2020-10-02,800,800,800,2020-03-26,2020-03-13
K04152,HDE0H03350,228.8,A-01,2020-10-02,800,800,800,2020-03-26,2020-03-13
K04152,HDE0H03446,230.23,A-01,2020-10-02,805,805,805,2020-03-26,2020-03-13
K04152,HDE0H03447,228.8,A-01,2020-10-02,800,800,800,2020-03-26,2020-03-13
K00074,00469846,2360.75,Z-DIEHL,2020-07-02,18090,18090,18090,2020-02-26,2020-02-28
K04386,ABB0038949,3279.9,A-01,2020-11-02,19965,19965,19965,2020-12-03,2020-03-13
K04279,OE00492530,513.56,A-01,2020-11-02,6700,6700,6700,2020-03-19,2020-03-13
K00633,39403559,42.5,A-01,2020-01-31,500,500,500,2020-02-27,2020-02-28
K00633,25000040,50.0,A-01,2020-02-25,10000,10000,10000,2020-02-27,2020-03-03
K00633,O3 2-1393565-2,5.0,A-01,2020-02-14,1000,1000,1000,2020-02-27,2020-02-28
K02742,HDE0H04002,1287.5,A-01,2020-12-02,25000,25000,25000,2020-03-18,2020-03-20
K03094,HDE0210815,1912.0,A-01,2020-12-02,20000,20000,20000,2020-05-26,2020-04-24
K03094,HDE0H05003,2736.0,A-01,2020-03-26,20000,20000,20000,2020-05-26,2020-05-29
K03447,HDE0H39001,530.5,A-01,2020-12-02,5000,5000,5000,2020-03-25,2020-03-27
K04152,HDE0H26001,758.91,A-01,2020-12-02,3136,3136,3136,2020-11-03,2020-03-13
K04491,HDE0610275,600.0,A-01,2020-12-02,10000,10000,10000,2020-04-20,2020-04-17
K04660,HDE0H06009,532.2,A-01,2020-06-02,10000,10000,10000,2020-03-05,2020-04-30
K00876,M0000009,222.66,A-01,2020-12-02,1,1,1,2020-02-13,2020-02-13
K04803,PVP0405439,168.35,A-01,2020-12-02,4350,4350,4350,2020-03-19,2020-02-28
K04803,PVP0405439,243.04,A-01,2020-12-02,6280,6280,6280,2020-03-19,2020-03-13
K04803,PVP0405439,211.69,A-01,2020-12-02,5470,5470,5470,2020-03-19,2020-03-27
K04803,PVP0405439,104.49,A-01,2019-10-14,2700,2700,2700,2020-03-19,2020-03-16
K04803,PVP0405439,580.5,A-01,2019-10-14,15000,15000,15000,2020-03-19,2020-03-16
K04803,PVP0405439,1070.06,A-01,2020-12-02,27650,27650,27650,2020-03-19,2020-03-27
K04386,28000916,2148.3,A-01,2020-02-19,10230,10230,10230,2020-03-03,2020-04-03
K02729,22001338,419.06,A-01,2019-12-17,2280,2280,2280,2020-02-24,2020-02-25
K00806,11000020,1855.77,A-01,2020-02-13,5214,5214,5214,2020-11-03,2020-02-21
K00967,M080000072,0.0,A-01,2020-11-02,78,78,78,2020-02-13,2020-02-18
K02440,00986648,93.25,A-01,2020-05-02,5,5,5,2020-02-18,2020-02-19
K02570,18000005,356.25,A-01,2020-02-14,10000,10000,10000,2020-03-18,2020-03-20
K03665,18200831,4260.0,A-01,2020-02-14,2000,2000,2000,2020-03-29,2020-03-27
K03665,18200833,4578.24,A-01,2020-02-17,2008,2008,2008,2020-12-03,2020-03-13
K02791,HDE0987731,89.0,A-01,2020-12-18,20000,20000,20000,2020-02-13,2020-02-14
K03665,18200837,1520.0,A-01,2020-02-14,500,500,500,2020-08-06,2020-12-06
K00876,M0000009,222.66,A-01,2020-02-17,1,1,1,2020-02-17,2020-02-18
K04386,HES0015500,1073.8,A-01,2020-12-02,52000,52000,52000,2020-04-28,2020-04-29
K02734,28001477,15939.4,A-01,2020-02-17,10000,10000,10000,2020-06-24,2020-03-31
K04797,RA00000305,0.0,A-PROD,2020-12-02,659,659,659,2020-01-03,2020-02-26
K04386,05920210,2688.98,A-01,2020-11-05,569700,569700,569700,2020-06-29,2020-06-29
K00876,M0000009,222.66,A-01,2020-02-19,1,1,1,2020-02-19,2020-02-20
K04152,HDE0H03343,231.66,A-01,2020-02-21,810,810,810,2020-04-14,2020-03-27
K04152,HDE0H03344,230.23,A-01,2020-02-21,805,805,805,2020-04-14,2020-03-27
K04152,HDE0H03345,230.23,A-01,2020-02-21,805,805,805,2020-04-14,2020-03-27
K04152,HDE0H03346,230.23,A-01,2020-02-21,805,805,805,2020-04-14,2020-03-27
K04152,HDE0H03348,228.8,A-01,2020-02-21,800,800,800,2020-04-14,2020-03-27
K04152,HDE0H03444,368.37,A-01,2020-02-21,1288,1288,1288,2020-04-14,2020-03-27
K04152,HDE0H03445,414.41,A-01,2020-02-21,1449,1449,1449,2020-04-14,2020-03-27
K04152,HDE0H03446,414.41,A-01,2020-02-21,1449,1449,1449,2020-04-14,2020-03-27
K04152,HDE0H03447,228.8,A-01,2020-02-21,800,800,800,2020-04-14,2020-03-27
K04152,HDE0H03448,274.56,A-01,2020-02-21,960,960,960,2020-04-14,2020-03-27
K04152,HDE0H03449,274.56,A-01,2020-02-21,960,960,960,2020-04-14,2020-03-27
K04152,HDE0H03450,183.04,A-01,2020-02-21,640,640,640,2020-04-14,2020-03-27
K00633,O3 1-1393583-4,19.0,A-01,2020-02-21,200,200,200,2020-10-03,2020-03-13
K00633,O3 1-1393583-5,19.0,A-01,2020-02-21,200,200,200,2020-10-03,2020-03-13
K00633,39403559,42.5,A-01,2020-02-21,500,500,500,2020-10-03,2020-03-13
K00295,HDE0953402,8513.75,A-01,2020-02-24,1225,1225,1225,2020-07-23,2020-07-24
K02747,HDE0H20006,5279.61,A-01,2020-03-26,6272,6272,6272,2020-04-15,2020-04-17
K02747,HDE0H20006,5279.58,A-01,2020-03-26,6272,6272,6272,2020-04-28,2020-04-30
K03447,HDE0H39001,530.5,A-01,2020-02-24,5000,5000,5000,2020-04-27,2020-04-17
K03447,HDE0H39001,530.5,A-01,2020-02-24,5000,5000,5000,2020-04-27,2020-04-29
K04660,HDE0H06006,532.6,A-01,2020-02-24,10000,10000,10000,2020-04-06,2020-05-06
K04660,HDE0H06007,744.99,A-01,2020-02-24,9500,9500,9500,2020-04-06,2020-05-06
K03806,KP0064C004,95.0,A-01,2020-02-24,2400,2400,2400,2020-02-26,2020-02-28
K04660,HDE0H22013,8402.08,A-01,2020-07-09,9370,9370,9370,2020-09-28,2020-01-10
K04660,HDE0H22021,8660.36,A-01,2020-07-09,8820,8820,8820,2020-09-28,2020-01-10
K00876,M0000009,222.66,A-01,2020-02-24,1,1,1,2020-02-24,2020-02-25
K00876,M0000009,222.66,A-01,2020-02-26,1,1,1,2020-02-26,2020-02-27
K04797,RA00000020,0.0,A-01,2020-02-19,100,100,100,2020-03-31,2020-04-03
K04797,RA00000030,121.89,A-01,2020-02-19,300,300,300,2020-03-31,2020-04-03
K04797,RA00000040,1.26,A-01,2020-02-19,200,200,200,2020-03-31,2020-04-03
K04797,RA00000060,0.0,A-01,2020-02-19,200,200,200,2020-03-31,2020-04-03
K04797,RA00000170,100.0,A-01,2020-02-19,200,200,200,2020-03-31,2020-04-03
K04797,RA00000180,0.0,A-01,2020-02-19,100,100,100,2020-03-31,2020-04-03
K04797,RA00000190,0.0,A-01,2020-02-19,100,100,100,2020-03-31,2020-04-03
K04797,RA00000040,45.51,A-01,2020-10-03,7224,7224,7224,2020-03-31,2020-03-24
K04797,RA00000170,20.0,A-01,2020-10-03,40,40,40,2020-03-31,2020-03-24
K04797,RA00000246,54.67,A-PROD,2020-10-03,115,115,115,2020-03-31,2020-03-24
K04797,RA00000305,0.0,A-PROD,2020-02-20,651,651,651,2020-11-03,2020-05-03
K00130,01064587,692.34,A-01,2020-02-28,96,96,96,2020-03-23,2020-03-27
K00130,01065045,611.8,A-01,2020-02-28,99,99,99,2020-03-23,2020-03-27
K00633,39403559,42.5,A-01,2020-02-28,500,500,500,2020-03-16,2020-03-20
K00633,O3 1-1393583-1,19.0,A-01,2020-02-28,200,200,200,2020-03-16,2020-03-20
K00633,O3 1393582-3,306.0,A-01,2020-02-28,1800,1800,1800,2020-03-16,2020-03-20
K00633,O3 1-1393583-5,57.0,A-01,2020-02-28,600,600,600,2020-03-16,2020-03-27
K00633,O3 2-1393565-2,5.0,A-01,2020-02-28,1000,1000,1000,2020-03-16,2020-03-27
K00633,25000038,50.0,A-01,2020-02-28,10000,10000,10000,2020-03-16,2020-03-27
K04386,00451187,1886.59,A-01,2020-02-03,22730,22730,22730,2020-05-04,2020-03-04
K00876,M0000009,222.66,A-01,2020-03-04,1,1,1,2020-02-03,2020-03-04
K00074,00345677,691.95,Z-DIEHL,2020-03-03,5187,5187,5187,2020-02-03,2020-04-03
K00074,00345655,691.95,Z-DIEHL,2020-05-02,5187,5187,5187,2020-02-03,2020-04-03
K04848,RA00000340,12435.61,A-01,2020-04-03,2304,2304,2304,2020-06-22,2020-06-24
K00876,M0000009,222.66,A-01,2020-04-03,1,1,1,2020-04-03,2020-05-03
K04850,RA00000250,5839.2,A-01,2019-11-29,3600,3600,3600,2020-04-23,2020-03-20
K00130,01061586,339.86,A-01,2020-04-03,39,39,39,2020-03-17,2020-03-20
K03665,18200833,4560.0,A-01,2019-02-05,2000,2000,2000,2020-04-13,2020-09-04
K02633,19500012,975.0,A-01,2020-06-03,150000,150000,150000,2020-03-30,2020-04-24
K03475,HDE0004011,1336.0,A-01,2020-06-03,100,100,100,2020-09-03,2020-10-03
K04386,27601088,555.0,A-01,2020-01-04,30000,30000,30000,2020-04-14,2020-04-15
K00876,M0000009,222.66,A-01,2020-09-03,1,1,1,2020-09-03,2020-10-03
K04068,PVP0492600,1184.0,A-01,2020-09-03,200000,200000,200000,2020-05-13,2020-05-15
K04370,O3 1485818-1,352.0,A-01,2020-10-03,800,800,800,2020-04-23,2020-09-04
K04370,25000013,810.0,A-01,2020-10-03,1080,1080,1080,2020-04-23,2020-04-24
K01401,25000051,55.0,A-01,2020-10-03,10000,10000,10000,2020-03-16,2020-03-20
K00623,00980239,301.2,A-01,2020-10-03,30,30,30,2020-03-18,2020-03-20
K00206,19899384,216.46,A-01,2020-10-03,15800,15800,15800,2020-03-30,2020-03-04
K00967,18000028,1320.0,A-01,2020-10-12,500,500,500,2021-01-26,2021-11-01
K02606,00343013,4850.0,A-01,2020-11-03,250000,250000,250000,2020-02-06,2020-03-06
K04386,KU00022245-1,1440.0,A-01,2020-11-03,6000,6000,6000,2020-07-04,2020-08-04
K04386,38002522,913.07,A-01,2020-06-03,20000,20000,20000,2020-04-14,2020-04-17
K00130,01066413,106.14,A-01,2020-06-03,7,7,7,2020-03-17,2020-03-20
K00016,40063517,375.36,A-01,2020-04-22,1200,1200,1200,2020-02-06,2020-03-06
K04797,RA00000305,0.0,A-PROD,2020-03-13,651,651,651,2020-06-04,2020-03-27
K03252,O3 1412600-2,484.7,A-01,2020-03-16,5000,5000,5000,2020-06-29,2020-08-05
K03252,O3 1412600-2,484.7,A-01,2020-03-16,5000,5000,5000,2020-06-29,2020-08-05
K03880,O3 1412599-3,800.0,A-01,2020-12-03,2000,2000,2000,2020-05-18,2020-04-30
K03239,O3 1412851-1,223.04,A-01,2020-03-16,8000,8000,8000,2020-05-25,2020-04-17
K00876,M0000009,222.66,A-01,2020-03-16,1,1,1,2020-03-16,2020-03-17
K00633,O3 1-1393565-8,10.0,A-01,2020-03-20,2000,2000,2000,2020-03-25,2020-03-04
K00633,O3 1-1393565-7,5.0,A-01,2020-03-20,1000,1000,1000,2020-03-25,2020-03-04
K00633,O3 1-1393565-9,5.0,A-01,2020-03-20,1000,1000,1000,2020-03-25,2020-03-04
K00633,O3 1-1393583-5,57.0,A-01,2020-03-26,600,600,600,2020-03-25,2020-09-04
K00130,01062548,510.42,A-01,2020-03-16,32,32,32,2020-01-04,2020-03-27
K00633,39403559,42.5,A-01,2020-03-17,500,500,500,2020-04-14,2020-04-17
K00633,25000040,50.0,A-01,2020-03-17,10000,10000,10000,2020-04-14,2020-04-17
K00633,O3 1-1393583-0,63.0,A-01,2020-03-17,1000,1000,1000,2020-04-14,2020-04-17
K04803,PVP0405439,278.25,A-01,2020-03-19,7190,7190,7190,2020-04-13,2020-03-04
K04803,PVP0405439,677.25,A-01,2020-03-19,17500,17500,17500,2020-04-13,2020-07-04
K04803,PVP0405439,592.5,A-01,2020-03-19,15310,15310,15310,2020-04-13,2020-04-15
K04803,PVP0405439,21.67,A-01,2020-03-18,560,560,560,2020-03-17,2020-03-18
K00130,01066413,163.63,A-01,2020-02-13,32,32,32,2020-06-04,2020-09-04
K00074,00345655,691.95,Z-DIEHL,2020-02-26,5187,5187,5187,2020-03-23,2020-03-25
K00074,00345677,691.95,Z-DIEHL,2020-02-26,5187,5187,5187,2020-03-23,2020-03-25
K00268,27602381,14199.1,A-01,2020-03-19,1080,1080,1080,2020-08-17,2020-07-08
K04848,RA00000340,12340.22,A-01,2020-02-13,2304,2304,2304,2020-03-06,2020-04-06
K04428,D44000001,8304.0,A-01,2020-04-27,80,80,80,2020-04-27,2020-04-27
K04374,KP0064B321,550.0,A-01,2020-03-20,200,200,200,2020-12-05,2020-03-27
K04374,KP0064B321,825.0,A-01,2020-04-17,300,300,300,2020-12-05,2020-07-05
K04374,KP0064B323,550.0,A-01,2020-03-27,200,200,200,2020-12-05,2020-03-27
K04374,KP0064B323,825.0,A-01,2020-07-05,300,300,300,2020-12-05,2020-07-05
K04386,29201643,400.0,A-01,2020-09-04,5771,5771,5771,2020-04-19,2020-04-24
K04152,HDE0H03341,139.0,A-01,2020-03-23,486,486,486,2020-06-21,2020-04-17
K04152,HDE0H03342,231.66,A-01,2020-03-23,810,810,810,2020-06-21,2020-04-17
K04152,HDE0H03345,230.23,A-01,2020-03-23,805,805,805,2020-06-21,2020-04-17
K04152,HDE0H03347,274.56,A-01,2020-03-23,960,960,960,2020-06-21,2020-04-17
K04152,HDE0H03348,228.8,A-01,2020-03-23,800,800,800,2020-06-21,2020-04-17
K04152,HDE0H03351,227.37,A-01,2020-03-23,795,795,795,2020-06-21,2020-04-17
K04152,HDE0H03445,368.37,A-01,2020-03-23,1288,1288,1288,2020-06-21,2020-04-17
K04152,HDE0H03446,414.41,A-01,2020-03-23,1449,1449,1449,2020-06-21,2020-04-17
K04152,HDE0H03447,411.84,A-01,2020-03-23,1440,1440,1440,2020-06-21,2020-04-17
K04152,HDE0H03448,228.8,A-01,2020-03-23,800,800,800,2020-06-21,2020-04-17
K04152,HDE0H03448,45.76,A-01,2020-03-23,160,160,160,2020-06-21,2020-04-17
K04152,HDE0H03449,228.8,A-01,2020-03-23,800,800,800,2020-06-21,2020-04-17
K04152,HDE0H03451,227.37,A-01,2020-03-23,795,795,795,2020-06-21,2020-04-17
K04386,29403625,2459.05,A-01,2020-09-04,93500,93500,93500,2020-04-26,2020-04-24
K04152,HDE0H26001,1517.82,A-01,2020-03-24,6272,6272,6272,2020-03-26,2020-03-27
K00633,39403559,42.5,A-01,2020-03-30,500,500,500,2020-04-26,2020-04-27
K00633,O3 1-1393565-6,6.3,A-01,2020-09-04,900,900,900,2020-04-26,2020-04-24
K00633,25000038,50.0,A-01,2020-04-17,10000,10000,10000,2020-04-26,2020-04-24
K00633,29300357,13.0,A-01,2020-03-04,1000,1000,1000,2020-04-26,2020-04-24
K00876,M0000009,445.32,A-01,2020-03-25,2,2,2,2020-03-30,2020-03-31
K00876,M0000009,222.66,A-01,2020-03-25,1,1,1,2020-03-30,2020-03-27
K04386,KP0064C108,400.0,A-PROD,2020-03-04,2000,2000,2000,2020-07-04,2020-03-04
K04386,KP0026M935,400.0,A-PROD,2020-03-04,2000,2000,2000,2020-07-04,2020-03-04
K04386,KP0100M659,400.0,A-PROD,2020-03-04,2000,2000,2000,2020-07-04,2020-03-04
K02975,ABB0038944,941.15,A-01,2020-03-25,4515,4515,4515,2020-12-05,2020-04-30
K04386,KU00022240-1,400.01,A-01,2020-03-13,991,991,991,2020-04-19,2020-04-17
K04386,28000916,2212.35,A-01,2020-04-15,10535,10535,10535,2020-04-28,2020-04-29
K00046,KU00026259,94.71,A-01,2020-03-26,150,150,150,2020-02-04,2020-03-04
K03806,KP0064C005,95.0,Z-KIEBURG,2020-03-27,2250,2250,2250,2020-06-04,2020-03-04
K03806,KP0064C006,95.0,Z-KIEBURG,2020-03-27,2250,2250,2250,2020-06-04,2020-03-04
K04769,KP0064B003,729.8,A-01,2020-03-27,349,349,349,2020-04-20,2020-03-04
K04769,KP0064B004,729.8,A-01,2020-03-27,349,349,349,2020-04-20,2020-03-04
K04803,PVP0405439,774.0,A-01,2020-03-31,20000,20000,20000,2020-11-05,2020-04-24
K04803,PVP0405439,477.56,A-01,2020-03-31,12340,12340,12340,2020-11-05,2020-06-05
K04803,PVP0405439,296.44,A-01,2020-03-31,7660,7660,7660,2020-11-05,2020-12-05
K04803,PVP0405439,249.62,A-01,2020-03-31,6450,6450,6450,2020-11-05,2020-12-05
K04803,PVP0405439,291.8,A-01,2020-03-31,7540,7540,7540,2020-11-05,2020-05-18
K04803,PVP0405439,232.59,A-01,2020-03-31,6010,6010,6010,2020-11-05,2020-05-18
K03753,22001644,119.6,A-01,2020-03-31,4000,4000,4000,2020-07-04,2020-08-04
K04797,RA00000430,682.0,A-01,2020-03-26,1364,1364,1364,2020-06-23,2020-09-04
K04797,RA00000430,384.0,A-01,2020-03-26,768,768,768,2020-06-23,2020-09-04
K04797,RA00000490,1094.0,A-01,2020-03-26,2188,2188,2188,2020-06-23,2020-09-04
K04797,RA00000510,6307.2,A-01,2020-03-26,2880,2880,2880,2020-06-23,2020-09-04
K04797,RA00000520,878.2,A-01,2020-03-26,2000,2000,2000,2020-06-23,2020-09-04
K04797,RA00000530,450.0,A-01,2020-03-26,2000,2000,2000,2020-06-23,2020-09-04
K04797,RA00000570,323.2,A-01,2020-03-26,1000,1000,1000,2020-06-23,2020-09-04
K04797,RA00000580,309.88,A-01,2020-03-26,2040,2040,2040,2020-06-23,2020-09-04
K04797,RA00000680,139.8,A-01,2020-03-26,2000,2000,2000,2020-06-23,2020-09-04
K03665,18200832,861.0,A-01,2020-01-04,300,300,300,2020-05-13,2020-05-15
K02517,HDE0900204,286.2,A-01,2020-02-04,6000,6000,6000,2020-10-05,2020-07-05
K03447,HDE0H39001,530.5,A-01,2020-03-04,5000,5000,5000,2020-09-06,2020-07-05
K03447,HDE0H39001,530.5,A-01,2020-03-04,5000,5000,5000,2020-09-06,2020-12-06
